"Date","M04140USM336NNBR"
1912-01-01,57.9
1912-02-01,57.3
1912-03-01,57.5
1912-04-01,57.6
1912-05-01,58.1
1912-06-01,58.4
1912-07-01,58.3
1912-08-01,58.9
1912-09-01,59.6
1912-10-01,60.8
1912-11-01,60.9
1912-12-01,61.9
1913-01-01,63.3
1913-02-01,64.3
1913-03-01,65.2
1913-04-01,65.7
1913-05-01,66
1913-06-01,66.4
1913-07-01,66.2
1913-08-01,66.1
1913-09-01,65.9
1913-10-01,65.3
1913-11-01,64.2
1913-12-01,62.9
1914-01-01,61.2
1914-02-01,60.8
1914-03-01,61.2
1914-04-01,61.1
1914-05-01,60.5
1914-06-01,59.9
1914-07-01,59
1914-08-01,59.2
1914-09-01,59.4
1914-10-01,59.6
1914-11-01,59.5
1914-12-01,58.8
1915-01-01,58.2
1915-02-01,58
1915-03-01,58.1
1915-04-01,58.8
1915-05-01,59.1
1915-06-01,59.6
1915-07-01,60.1
1915-08-01,60.4
1915-09-01,61
1915-10-01,62.1
1915-11-01,63.1
1915-12-01,64.5
1916-01-01,67.3
1916-02-01,68.7
1916-03-01,71
1916-04-01,74.2
1916-05-01,77.3
1916-06-01,79.2
1916-07-01,82.3
1916-08-01,84
1916-09-01,86
1916-10-01,88.2
1916-11-01,90.8
1916-12-01,93.6
1917-01-01,98.8
1917-02-01,103.5
1917-03-01,107.3
1917-04-01,111.9
1917-05-01,115.4
1917-06-01,118.7
1917-07-01,123.3
1917-08-01,127.5
1917-09-01,131.5
1917-10-01,134.4
1917-11-01,134.2
1917-12-01,132.8
1918-01-01,139.3
1918-02-01,137.6
1918-03-01,136.1
1918-04-01,135.8
1918-05-01,137.9
1918-06-01,138.2
1918-07-01,139.4
1918-08-01,139.5
1918-09-01,140.6
1918-10-01,142.1
1918-11-01,142.6
1918-12-01,140.2
1919-01-01,136.1
1919-02-01,134.7
1919-03-01,132.1
1919-04-01,125.4
1919-05-01,123.9
1919-06-01,122
1919-07-01,121.9
1919-08-01,121.5
1919-09-01,121.2
1919-10-01,121.5
1919-11-01,120.8
1919-12-01,121.6
1920-01-01,122.2
1920-02-01,122.2
1920-03-01,122.3
1920-04-01,123.5
1920-05-01,124
1920-06-01,123.8
1920-07-01,124.4
1920-08-01,124.8
1920-09-01,125.1
1920-10-01,126.1
1920-11-01,125.8
1920-12-01,126.5
1921-01-01,126.1
1921-02-01,126.5
1921-03-01,126.6
1921-04-01,118.7
1921-05-01,114.6
1921-06-01,113.6
1921-07-01,106.1
1921-08-01,98.7
1921-09-01,94.6
1921-10-01,90.4
1921-11-01,88.1
1921-12-01,86.9
1922-01-01,85.4
1922-02-01,84.7
1922-03-01,82.8
1922-04-01,82.7
1922-05-01,82.9
1922-06-01,83.5
1922-07-01,84.2
1922-08-01,85.1
1922-09-01,86.2
1922-10-01,87.3
1922-11-01,88.6
1922-12-01,90
1923-01-01,91.9
1923-02-01,94.1
1923-03-01,96
1923-04-01,98.4
1923-05-01,100.4
1923-06-01,101.9
1923-07-01,103.6
1923-08-01,105.1
1923-09-01,106.2
1923-10-01,107.7
1923-11-01,110.4
1923-12-01,110.6
1924-01-01,112.6
1924-02-01,112.7
1924-03-01,113
1924-04-01,112.6
1924-05-01,111
1924-06-01,108.3
1924-07-01,107.3
1924-08-01,105.3
1924-09-01,104.2
1924-10-01,102
1924-11-01,101.4
1924-12-01,101.2
1925-01-01,101.9
1925-02-01,102.3
1925-03-01,102.9
1925-04-01,103
1925-05-01,102.3
1925-06-01,100.7
1925-07-01,100.2
1925-08-01,100.3
1925-09-01,99.7
1925-10-01,99.7
1925-11-01,99.5
1925-12-01,99.6
1926-01-01,99.8
1926-02-01,100
1926-03-01,99.6
1926-04-01,100.2
1926-05-01,100.1
1926-06-01,99.8
1926-07-01,99.8
1926-08-01,99.5
1926-09-01,99.9
1926-10-01,99.6
1926-11-01,99.9
1926-12-01,99.8
1927-01-01,98.7
1927-02-01,98
1927-03-01,97
1927-04-01,96.6
1927-05-01,95.9
1927-06-01,96.4
1927-07-01,96.3
1927-08-01,96.3
1927-09-01,95.9
1927-10-01,94.9
1927-11-01,95.2
1927-12-01,93.5
1928-01-01,93.4
1928-02-01,93.4
1928-03-01,93.3
1928-04-01,93.4
1928-05-01,94.3
1928-06-01,93.8
1928-07-01,92.9
1928-08-01,92.4
1928-09-01,92.7
