"Date","TYRCA1MCD"
2021-04-01,0.8
2021-05-01,0.76
2021-06-01,0.76
2021-07-01,0.81
2021-08-01,0.81
2021-09-01,0.79
2021-10-01,0.83
2021-11-01,0.83
2021-12-01,0.82
2022-01-01,0.88
2022-02-01,0.79
2022-03-01,0.79
2022-04-01,0.82
2022-05-01,0.95
2022-06-01,1.19
2022-07-01,2.29
2022-08-01,3.41
2022-09-01,3.63
2022-10-01,4.1
2022-11-01,5.23
2022-12-01,5.63
2023-01-01,5.69
2023-02-01,6.25
2023-03-01,6.33
2023-04-01,6.33
2023-05-01,6.44
2023-06-01,5.97
2023-07-01,7.04
2023-08-01,7.04
2023-09-01,7.37
2023-10-01,7.41
2023-11-01,7.41
