"Date","TP3HA32"
2001-10-01,3.393
2001-11-01,3.251
2001-12-01,3.464
2002-01-01,3.431
2002-02-01,3.389
2002-03-01,3.413
2002-04-01,3.297
2002-05-01,3.243
2002-06-01,3.1
2002-07-01,3.051
2002-08-01,2.833
2002-09-01,2.633
2002-10-01,2.812
2002-11-01,2.844
2002-12-01,2.775
2003-01-01,2.663
2003-02-01,2.448
2003-03-01,2.437
2003-04-01,2.656
2003-05-01,2.342
2003-06-01,2.216
2003-07-01,2.602
2003-08-01,2.758
2003-09-01,2.618
2003-10-01,2.507
2003-11-01,2.334
2003-12-01,2.261
2004-01-01,2.19
2004-02-01,2.098
2004-03-01,1.882
2004-04-01,2.214
2004-05-01,2.377
2004-06-01,2.364
2004-07-01,2.296
2004-08-01,2.198
2004-09-01,2.131
2004-10-01,2.094
2004-11-01,2.049
2004-12-01,1.926
2005-01-01,1.876
2005-02-01,1.759
2005-03-01,1.868
2005-04-01,1.79
2005-05-01,1.726
2005-06-01,1.686
2005-07-01,1.871
2005-08-01,1.903
2005-09-01,1.816
2005-10-01,1.984
2005-11-01,2.045
2005-12-01,2.02
2006-01-01,1.924
2006-02-01,1.863
2006-03-01,2.038
2006-04-01,2.303
2006-05-01,2.365
2006-06-01,2.409
2006-07-01,2.384
2006-08-01,2.185
2006-09-01,2.176
2006-10-01,2.249
2006-11-01,2.096
2006-12-01,2.141
2007-01-01,2.307
2007-02-01,2.265
2007-03-01,2.161
2007-04-01,2.258
2007-05-01,2.355
2007-06-01,2.58
2007-07-01,2.527
2007-08-01,2.384
2007-09-01,2.208
2007-10-01,2.171
2007-11-01,1.9
2007-12-01,1.98
2008-01-01,1.723
2008-02-01,1.816
2008-03-01,1.728
2008-04-01,1.87
2008-05-01,1.96
2008-06-01,2.147
2008-07-01,2.047
2008-08-01,2.087
2008-09-01,2.214
2008-10-01,2.825
2008-11-01,2.971
2008-12-01,2.221
2009-01-01,2.231
2009-02-01,2.119
2009-03-01,2.09
2009-04-01,2.108
2009-05-01,2.206
2009-06-01,2.196
2009-07-01,2.2
2009-08-01,2.226
2009-09-01,2.161
2009-10-01,2.072
2009-11-01,1.923
2009-12-01,2.01
2010-01-01,2.009
2010-02-01,2.09
2010-03-01,2.156
2010-04-01,2.054
2010-05-01,1.808
2010-06-01,1.769
2010-07-01,1.85
2010-08-01,1.667
2010-09-01,1.515
2010-10-01,1.282
2010-11-01,1.384
2010-12-01,1.741
2011-01-01,1.816
2011-02-01,1.995
2011-03-01,1.736
2011-04-01,1.619
2011-05-01,1.54
2011-06-01,1.535
2011-07-01,1.372
2011-08-01,0.8
2011-09-01,0.746
2011-10-01,0.788
2011-11-01,0.558
2011-12-01,0.549
2012-01-01,0.491
2012-02-01,0.395
2012-03-01,0.525
2012-04-01,0.423
2012-05-01,0.25
2012-06-01,0.103
2012-07-01,0.013
2012-08-01,0.092
2012-09-01,0.015
2012-10-01,-0.022
2012-11-01,-0.07
2012-12-01,-0.083
2013-01-01,0.072
2013-02-01,0.159
2013-03-01,0.152
2013-04-01,0.015
2013-05-01,0.276
2013-06-01,0.868
2013-07-01,1.01
2013-08-01,1.083
2013-09-01,1.17
2013-10-01,0.981
2013-11-01,1.12
2013-12-01,1.28
2014-01-01,1.128
2014-02-01,1.042
2014-03-01,1.02
2014-04-01,0.965
2014-05-01,0.776
2014-06-01,0.804
2014-07-01,0.681
2014-08-01,0.616
2014-09-01,0.828
2014-10-01,0.743
2014-11-01,0.782
2014-12-01,0.75
2015-01-01,0.558
2015-02-01,0.572
2015-03-01,0.542
2015-04-01,0.414
2015-05-01,0.653
2015-06-01,0.775
2015-07-01,0.76
2015-08-01,0.768
2015-09-01,0.921
2015-10-01,0.836
2015-11-01,0.923
2015-12-01,0.954
2016-01-01,0.936
2016-02-01,0.769
2016-03-01,0.642
2016-04-01,0.472
2016-05-01,0.47
2016-06-01,0.414
2016-07-01,0.287
2016-08-01,0.328
2016-09-01,0.354
2016-10-01,0.347
2016-11-01,0.552
2016-12-01,0.766
2017-01-01,0.616
2017-02-01,0.554
2017-03-01,0.605
2017-04-01,0.505
2017-05-01,0.577
2017-06-01,0.56
2017-07-01,0.68
2017-08-01,0.577
2017-09-01,0.52
2017-10-01,0.648
2017-11-01,0.639
2017-12-01,0.63
2018-01-01,0.643
2018-02-01,0.831
2018-03-01,0.82
2018-04-01,0.805
2018-05-01,0.89
2018-06-01,0.844
2018-07-01,0.832
2018-08-01,0.863
2018-09-01,0.959
2018-10-01,1.117
2018-11-01,1.19
2018-12-01,1.096
2019-01-01,0.988
2019-02-01,0.846
2019-03-01,0.71
2019-04-01,0.641
2019-05-01,0.62
2019-06-01,0.435
2019-07-01,0.399
2019-08-01,0.15
2019-09-01,0.221
2019-10-01,0.253
2019-11-01,0.279
2019-12-01,0.252
2020-01-01,0.14
2020-02-01,-0.029
2020-03-01,-0.02
2020-04-01,-0.339
2020-05-01,-0.351
2020-06-01,-0.496
2020-07-01,-0.768
