"Date","HQMCB67Y6M"
1984-01-01,8.71
1984-02-01,10.41
1984-03-01,10.8
1984-04-01,11.12
1984-05-01,12.21
1984-06-01,12.49
1984-07-01,12.33
1984-08-01,11.81
1984-09-01,12.33
1984-10-01,10.06
1984-11-01,9.96
1984-12-01,11.07
1985-01-01,10.7
1985-02-01,9.55
1985-03-01,9.79
1985-04-01,9.69
1985-05-01,9.67
1985-06-01,9.25
1985-07-01,10.48
1985-08-01,10.91
1985-09-01,11.51
1985-10-01,11.42
1985-11-01,10.94
1985-12-01,10.27
1986-01-01,9.32
1986-02-01,9.5
1986-03-01,8.48
1986-04-01,8.18
1986-05-01,9.27
1986-06-01,10.07
1986-07-01,9.59
1986-08-01,9.84
1986-09-01,10.03
1986-10-01,10.13
1986-11-01,9.82
1986-12-01,9.54
1987-01-01,9.54
1987-02-01,9.48
1987-03-01,9.49
1987-04-01,10.36
1987-05-01,11.12
1987-06-01,10.56
1987-07-01,10.25
1987-08-01,10.28
1987-09-01,10.47
1987-10-01,10.45
1987-11-01,9.84
1987-12-01,9.97
1988-01-01,9.38
1988-02-01,9.24
1988-03-01,9.54
1988-04-01,10.2
1988-05-01,10.61
1988-06-01,10.23
1988-07-01,10.42
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.91
1988-11-01,9.84
1988-12-01,9.77
1989-01-01,9.84
1989-02-01,9.95
1989-03-01,9.9
1989-04-01,9.71
1989-05-01,9.62
1989-06-01,9.25
1989-07-01,9.32
1989-08-01,9.3
1989-09-01,9.26
1989-10-01,9.16
1989-11-01,9.04
1989-12-01,8.96
1990-01-01,9.02
1990-02-01,9.26
1990-03-01,9.51
1990-04-01,9.63
1990-05-01,9.92
1990-06-01,9.74
1990-07-01,9.8
1990-08-01,10.56
1990-09-01,10.79
1990-10-01,10.88
1990-11-01,10.53
1990-12-01,10.17
1991-01-01,10.12
1991-02-01,9.72
1991-03-01,10.04
1991-04-01,9.84
1991-05-01,10.02
1991-06-01,10.29
1991-07-01,10.23
1991-08-01,9.91
1991-09-01,9.79
1991-10-01,10.08
1991-11-01,10.18
1991-12-01,10.28
1992-01-01,10.27
1992-02-01,10.17
1992-03-01,10.08
1992-04-01,10.02
1992-05-01,9.86
1992-06-01,9.85
1992-07-01,9.96
1992-08-01,9.95
1992-09-01,10.08
1992-10-01,10.49
1992-11-01,10.18
1992-12-01,9.68
1993-01-01,9.66
1993-02-01,9.41
1993-03-01,9.11
1993-04-01,9.31
1993-05-01,9.48
1993-06-01,9.28
1993-07-01,8.95
1993-08-01,8.38
1993-09-01,8.31
1993-10-01,8.35
