"Date","TP10L13"
2003-08-01,2.31
2003-09-01,2.18
2003-10-01,2.07
2003-11-01,1.94
2003-12-01,1.95
2004-01-01,1.84
2004-02-01,1.69
2004-03-01,1.37
2004-04-01,1.81
2004-05-01,2.03
2004-06-01,2.06
2004-07-01,1.93
2004-08-01,1.76
2004-09-01,1.7
2004-10-01,1.61
2004-11-01,1.54
2004-12-01,1.5
2005-01-01,1.58
2005-02-01,1.5
2005-03-01,1.63
2005-04-01,1.55
2005-05-01,1.53
2005-06-01,1.57
2005-07-01,1.79
2005-08-01,1.81
2005-09-01,1.6
2005-10-01,1.86
2005-11-01,2.04
2005-12-01,2.11
2006-01-01,1.98
2006-02-01,2.02
2006-03-01,2.15
2006-04-01,2.34
2006-05-01,2.35
2006-06-01,2.47
2006-07-01,2.47
2006-08-01,2.27
2006-09-01,2.34
2006-10-01,2.45
2006-11-01,2.34
2006-12-01,2.26
2007-01-01,2.44
2007-02-01,2.34
2007-03-01,2.08
2007-04-01,2.15
2007-05-01,2.27
2007-06-01,2.65
2007-07-01,2.61
2007-08-01,2.41
2007-09-01,2.17
2007-10-01,2.05
2007-11-01,1.44
2007-12-01,1.37
2008-01-01,0.94
2008-02-01,0.75
2008-03-01,0.35
2008-04-01,0.69
2008-05-01,0.81
2008-06-01,0.97
2008-07-01,0.84
2008-08-01,1.13
2008-09-01,1.53
2008-10-01,2.58
2008-11-01,3.39
2008-12-01,3.44
2009-01-01,2.56
2009-02-01,1.84
2009-03-01,1.74
2009-04-01,1.33
2009-05-01,1.3
2009-06-01,1.19
2009-07-01,1.31
2009-08-01,1.43
2009-09-01,1.11
2009-10-01,0.79
2009-11-01,0.36
2009-12-01,0.26
2010-01-01,0.1
2010-02-01,-0.02
2010-03-01,0.02
2010-04-01,0.01
2010-05-01,-0.06
2010-06-01,0.09
2010-07-01,0.04
2010-08-01,-0.18
2010-09-01,-0.21
2010-10-01,-0.71
2010-11-01,-0.6
2010-12-01,-0.52
2011-01-01,-0.97
2011-02-01,-1.03
2011-03-01,-1.61
2011-04-01,-1.86
2011-05-01,-1.73
2011-06-01,-1.4
2011-07-01,-1.37
2011-08-01,-0.99
2011-09-01,-1.06
2011-10-01,-0.99
2011-11-01,-1.06
2011-12-01,-1.05
2012-01-01,-1.48
2012-02-01,-2.05
2012-03-01,-2.42
2012-04-01,-1.96
2012-05-01,-1.46
2012-06-01,-0.6
2012-07-01,-0.81
2012-08-01,-1.37
2012-09-01,-1.86
2012-10-01,-1.78
2012-11-01,-1.06
2012-12-01,-1.03
2013-01-01,-2.01
2013-02-01,-4.12
2013-03-01,-4.8
2013-04-01,-2.61
2013-05-01,-0.16
2013-06-01,0.01
