"Date","GS6M"
1981-09-01,16.36
1981-10-01,15.06
1981-11-01,12.12
1981-12-01,12.44
1982-01-01,13.9
1982-02-01,14.81
1982-03-01,13.83
1982-04-01,13.87
1982-05-01,13.13
1982-06-01,13.76
1982-07-01,12.8
1982-08-01,10.51
1982-09-01,9.83
1982-10-01,8.63
1982-11-01,8.8
1982-12-01,8.59
1983-01-01,8.33
1983-02-01,8.65
1983-03-01,8.86
1983-04-01,8.78
1983-05-01,8.7
1983-06-01,9.44
1983-07-01,9.85
1983-08-01,10.16
1983-09-01,9.73
1983-10-01,9.39
1983-11-01,9.48
1983-12-01,9.76
1984-01-01,9.56
1984-02-01,9.77
1984-03-01,10.27
1984-04-01,10.47
1984-05-01,11.02
1984-06-01,11.24
1984-07-01,11.27
1984-08-01,11.37
1984-09-01,11.19
1984-10-01,10.52
1984-11-01,9.34
1984-12-01,8.76
1985-01-01,8.45
1985-02-01,8.87
1985-03-01,9.45
1985-04-01,8.71
1985-05-01,8.07
1985-06-01,7.46
1985-07-01,7.57
1985-08-01,7.71
1985-09-01,7.64
1985-10-01,7.71
1985-11-01,7.68
1985-12-01,7.5
1986-01-01,7.53
1986-02-01,7.47
1986-03-01,6.89
1986-04-01,6.36
1986-05-01,6.47
1986-06-01,6.56
1986-07-01,6.12
1986-08-01,5.79
1986-09-01,5.57
1986-10-01,5.48
1986-11-01,5.64
1986-12-01,5.78
1987-01-01,5.67
1987-02-01,5.83
1987-03-01,5.86
1987-04-01,6.19
1987-05-01,6.35
1987-06-01,6.28
1987-07-01,6.05
1987-08-01,6.46
1987-09-01,6.99
1987-10-01,7.04
1987-11-01,6.5
1987-12-01,6.68
1988-01-01,6.56
1988-02-01,6.21
1988-03-01,6.18
1988-04-01,6.5
1988-05-01,6.89
1988-06-01,7.04
1988-07-01,7.35
1988-08-01,7.79
1988-09-01,7.82
1988-10-01,7.9
1988-11-01,8.3
1988-12-01,8.7
1989-01-01,8.85
1989-02-01,9.05
1989-03-01,9.39
1989-04-01,9.17
1989-05-01,8.91
1989-06-01,8.38
1989-07-01,8.01
1989-08-01,8.17
1989-09-01,8.16
1989-10-01,8.03
1989-11-01,7.89
1989-12-01,7.81
1990-01-01,7.96
1990-02-01,8.12
1990-03-01,8.28
1990-04-01,8.27
1990-05-01,8.19
1990-06-01,8.05
1990-07-01,7.92
1990-08-01,7.77
1990-09-01,7.7
1990-10-01,7.53
1990-11-01,7.39
1990-12-01,7.03
1991-01-01,6.58
1991-02-01,6.19
1991-03-01,6.2
1991-04-01,5.98
1991-05-01,5.87
1991-06-01,6.02
1991-07-01,5.97
1991-08-01,5.63
1991-09-01,5.48
1991-10-01,5.26
1991-11-01,4.8
1991-12-01,4.26
1992-01-01,4.01
1992-02-01,4.08
1992-03-01,4.33
1992-04-01,4
1992-05-01,3.88
1992-06-01,3.9
1992-07-01,3.38
1992-08-01,3.31
1992-09-01,3.04
1992-10-01,3.13
1992-11-01,3.44
1992-12-01,3.47
1993-01-01,3.24
1993-02-01,3.16
1993-03-01,3.15
1993-04-01,3.06
1993-05-01,3.17
1993-06-01,3.29
1993-07-01,3.26
1993-08-01,3.24
1993-09-01,3.15
1993-10-01,3.22
1993-11-01,3.36
1993-12-01,3.34
1994-01-01,3.25
1994-02-01,3.53
1994-03-01,3.91
1994-04-01,4.25
1994-05-01,4.79
1994-06-01,4.72
1994-07-01,4.95
1994-08-01,5.08
1994-09-01,5.24
1994-10-01,5.62
1994-11-01,5.98
1994-12-01,6.5
1995-01-01,6.51
1995-02-01,6.31
1995-03-01,6.17
1995-04-01,6.05
1995-05-01,5.93
1995-06-01,5.66
1995-07-01,5.62
1995-08-01,5.65
1995-09-01,5.54
1995-10-01,5.56
1995-11-01,5.51
1995-12-01,5.35
1996-01-01,5.13
1996-02-01,4.97
1996-03-01,5.16
1996-04-01,5.27
1996-05-01,5.33
1996-06-01,5.46
