"Date","M0879BUSM027SNBR"
1946-01-01,11.6
1946-02-01,11.6
1946-03-01,11.8
1946-04-01,12
1946-05-01,12.2
1946-06-01,12.5
1946-07-01,12.6
1946-08-01,12.7
1946-09-01,12.6
1946-10-01,12.9
1946-11-01,13.2
1946-12-01,13.3
1947-01-01,13.5
1947-02-01,13.4
1947-03-01,13.6
1947-04-01,13.8
1947-05-01,13.9
1947-06-01,14
1947-07-01,14.1
1947-08-01,14.1
1947-09-01,14.1
1947-10-01,14
1947-11-01,14.3
1947-12-01,13.8
1948-01-01,15.2
1948-02-01,14.9
1948-03-01,14.8
1948-04-01,14.5
1948-05-01,14.6
1948-06-01,14.7
1948-07-01,14.9
1948-08-01,15
1948-09-01,15.2
1948-10-01,15.4
1948-11-01,15.8
1948-12-01,15
1949-01-01,15.6
1949-02-01,15.4
1949-03-01,15.5
1949-04-01,15.6
1949-05-01,15.6
1949-06-01,15.7
1949-07-01,15.6
1949-08-01,15.6
1949-09-01,15.7
1949-10-01,15.9
1949-11-01,16.2
1949-12-01,16.3
1950-01-01,17.1
1950-02-01,17.2
1950-03-01,17.3
1950-04-01,17.3
1950-05-01,17.5
1950-06-01,17.6
1950-07-01,17.8
1950-08-01,18
1950-09-01,19.6
1950-10-01,18.4
1950-11-01,18.3
1950-12-01,20.4
1951-01-01,17.8
1951-02-01,17.9
1951-03-01,18.4
1951-04-01,18.3
1951-05-01,18.4
1951-06-01,18.4
1951-07-01,18.3
1951-08-01,18.4
1951-09-01,18.5
1951-10-01,18.7
1951-11-01,18.4
1951-12-01,19
1952-01-01,17.7
1952-02-01,18.6
1952-03-01,18.7
1952-04-01,18.9
1952-05-01,19
1952-06-01,19.2
1952-07-01,19.2
1952-08-01,19.2
1952-09-01,19.3
1952-10-01,19.5
1952-11-01,19.9
1952-12-01,20
1953-01-01,19.1
1953-02-01,19.9
1953-03-01,20.2
1953-04-01,20.6
1953-05-01,20.8
1953-06-01,21
1953-07-01,21
1953-08-01,20.9
1953-09-01,20.9
1953-10-01,21.2
1953-11-01,21.5
1953-12-01,21.2
1954-01-01,22.1
1954-02-01,22.2
1954-03-01,21.9
1954-04-01,21.8
1954-05-01,21.8
1954-06-01,21.7
1954-07-01,22.3
1954-08-01,22.3
1954-09-01,22.7
1954-10-01,22.7
1954-11-01,22.9
1954-12-01,23.1
1955-01-01,23.4
1955-02-01,23.6
1955-03-01,23.9
1955-04-01,23.9
1955-05-01,24.1
1955-06-01,24.1
1955-07-01,24.7
1955-08-01,25.2
1955-09-01,25.3
1955-10-01,25
1955-11-01,25.1
1955-12-01,26.4
1956-01-01,26
1956-02-01,26.2
1956-03-01,26.1
1956-04-01,26.4
1956-05-01,26.7
1956-06-01,26.9
1956-07-01,26.9
1956-08-01,27
1956-09-01,27.3
1956-10-01,27.9
1956-11-01,28.2
1956-12-01,27.8
1957-01-01,28.3
1957-02-01,28.4
1957-03-01,28.8
1957-04-01,29.1
1957-05-01,29.3
1957-06-01,29.6
1957-07-01,29.9
1957-08-01,29.9
1957-09-01,30.1
1957-10-01,30.1
1957-11-01,30.2
1957-12-01,29.9
1958-01-01,29.9
1958-02-01,30
1958-03-01,30.1
1958-04-01,30.2
1958-05-01,30.3
1958-06-01,30.4
1958-07-01,30.5
1958-08-01,30.7
1958-09-01,30.8
1958-10-01,30.8
1958-11-01,30.9
1958-12-01,31.1
1959-01-01,31.6
1959-02-01,32
1959-03-01,32.2
1959-04-01,32.3
1959-05-01,32.6
1959-06-01,32.9
1959-07-01,33.2
1959-08-01,33.7
1959-09-01,34.1
1959-10-01,34.3
1959-11-01,34.7
1959-12-01,35.4
1960-01-01,36.1
1960-02-01,36.4
1960-03-01,36.4
1960-04-01,36.5
1960-05-01,36.7
1960-06-01,36.7
1960-07-01,37.1
1960-08-01,37.2
1960-09-01,37.5
1960-10-01,37.7
1960-11-01,37.8
1960-12-01,37.6
1961-01-01,37.6
1961-02-01,37.7
1961-03-01,37.9
1961-04-01,37.7
1961-05-01,37.9
1961-06-01,38.3
1961-07-01,38.5
1961-08-01,38.9
1961-09-01,39.3
1961-10-01,39.8
1961-11-01,40.1
1961-12-01,40.7
1962-01-01,40.3
1962-02-01,40.7
1962-03-01,41.1
1962-04-01,41.7
1962-05-01,42.1
1962-06-01,42.6
1962-07-01,43
1962-08-01,43.5
1962-09-01,44.1
1962-10-01,44.2
1962-11-01,44.4
1962-12-01,45.5
1963-01-01,45.7
1963-02-01,46
1963-03-01,46.2
1963-04-01,46.5
1963-05-01,47.2
1963-06-01,47.8
1963-07-01,48.2
1963-08-01,48.5
1963-09-01,48.7
1963-10-01,49.2
1963-11-01,49.6
1963-12-01,50.5
1964-01-01,50.2
1964-02-01,50.4
1964-03-01,50.6
1964-04-01,50.8
1964-05-01,51.3
1964-06-01,51.8
1964-07-01,52.1
1964-08-01,52.5
1964-09-01,52.8
1964-10-01,53
1964-11-01,53.4
1964-12-01,54.3
1965-01-01,54.7
1965-02-01,55.1
1965-03-01,55.5
1965-04-01,56
1965-05-01,56.7
1965-06-01,57.7
1965-07-01,58
1965-08-01,58.4
1965-09-01,59
1965-10-01,59.4
1965-11-01,59.9
1965-12-01,60.5
1966-01-01,61.3
1966-02-01,62
1966-03-01,62.3
1966-04-01,62.8
1966-05-01,63.3
1966-06-01,63.4
1966-07-01,63.7
1966-08-01,64.1
1966-09-01,65
