"Date","TYRCA36MCD"
2021-04-01,1.11
2021-05-01,1.17
2021-06-01,1.17
2021-07-01,1.3
2021-08-01,1.3
2021-09-01,1.23
2021-10-01,1.39
2021-11-01,1.39
2021-12-01,1.65
2022-01-01,1.72
2022-02-01,2.42
2022-03-01,2.42
2022-04-01,2.69
2022-05-01,3.69
2022-06-01,4.19
2022-07-01,4.34
2022-08-01,4.15
2022-09-01,4.9
2022-10-01,5.85
2022-11-01,6.09
2022-12-01,5.71
2023-01-01,5.81
2023-02-01,5.43
2023-03-01,6.16
2023-04-01,6.16
2023-05-01,5.32
2023-06-01,5.25
2023-07-01,6.14
2023-08-01,6.14
2023-09-01,6.2
2023-10-01,6.51
2023-11-01,6.51
