"Date","EXPINF19YR"
1982-01-01,5.6192074
1982-02-01,5.5035448
1982-03-01,5.1178509
1982-04-01,5.1821822
1982-05-01,5.1952374
1982-06-01,5.1115177
1982-07-01,5.3546839
1982-08-01,5.1773982
1982-09-01,5.2297687
1982-10-01,4.9310321
1982-11-01,4.3964549
1982-12-01,4.5301963
1983-01-01,4.391739
1983-02-01,4.530187
1983-03-01,4.3312374
1983-04-01,4.4175577
1983-05-01,4.2415381
1983-06-01,4.4229761
1983-07-01,4.5202282
1983-08-01,4.6332929
1983-09-01,4.7194657
1983-10-01,4.6046129
1983-11-01,4.6856081
1983-12-01,4.7041443
1984-01-01,4.673098
1984-02-01,4.6589203
1984-03-01,4.7884769
1984-04-01,4.8838715
1984-05-01,4.9983538
1984-06-01,5.2461065
1984-07-01,5.2353669
1984-08-01,4.9898034
1984-09-01,5.0048782
1984-10-01,4.7882532
1984-11-01,4.647645
1984-12-01,4.6690964
1985-01-01,4.7402952
1985-02-01,4.6880592
1985-03-01,4.8667367
1985-04-01,4.6551
1985-05-01,4.6365578
1985-06-01,4.2991168
1985-07-01,4.2801549
1985-08-01,4.4146821
1985-09-01,4.3329393
1985-10-01,4.3276087
1985-11-01,4.2306944
1985-12-01,4.1246088
1986-01-01,3.9372752
1986-02-01,3.9138868
1986-03-01,3.5943111
1986-04-01,3.4562976
1986-05-01,3.5126521
1986-06-01,3.7665477
1986-07-01,3.5431699
1986-08-01,3.5192012
1986-09-01,3.3477802
1986-10-01,3.5215041
1986-11-01,3.4642218
1986-12-01,3.3788708
1987-01-01,3.4263723
1987-02-01,3.4204413
1987-03-01,3.3150094
1987-04-01,3.5070318
1987-05-01,3.8095454
1987-06-01,3.7334444
1987-07-01,3.7926772
1987-08-01,3.8571364
1987-09-01,3.9363372
1987-10-01,4.0137814
1987-11-01,3.9786655
1987-12-01,4.0497236
1988-01-01,4.0327293
1988-02-01,3.6937186
1988-03-01,3.6672182
1988-04-01,3.8342738
1988-05-01,3.8584392
