"Date","M13021USM156NNBR"
1900-01-01,4.16
1900-02-01,4.15
1900-03-01,4.13
1900-04-01,4.12
1900-05-01,4.14
1900-06-01,4.15
1900-07-01,4.16
1900-08-01,4.16
1900-09-01,4.17
1900-10-01,4.17
1900-11-01,4.14
1900-12-01,4.1
1901-01-01,4.1
1901-02-01,4.09
1901-03-01,4.06
1901-04-01,4.05
1901-05-01,4.06
1901-06-01,4.04
1901-07-01,4.06
1901-08-01,4.08
1901-09-01,4.07
1901-10-01,4.08
1901-11-01,4.07
1901-12-01,4.08
1902-01-01,4.05
1902-02-01,4.05
1902-03-01,4.05
1902-04-01,4.01
1902-05-01,4.02
1902-06-01,4.03
1902-07-01,4.04
1902-08-01,4.06
1902-09-01,4.07
1902-10-01,4.09
1902-11-01,4.11
1902-12-01,4.11
1903-01-01,4.12
1903-02-01,4.11
1903-03-01,4.14
1903-04-01,4.17
1903-05-01,4.17
1903-06-01,4.21
1903-07-01,4.26
1903-08-01,4.32
1903-09-01,4.33
1903-10-01,4.32
1903-11-01,4.35
1903-12-01,4.33
1904-01-01,4.32
1904-02-01,4.31
1904-03-01,4.33
1904-04-01,4.28
1904-05-01,4.28
1904-06-01,4.25
1904-07-01,4.22
1904-08-01,4.2
1904-09-01,4.19
1904-10-01,4.15
1904-11-01,4.16
1904-12-01,4.12
1905-01-01,4.08
1905-02-01,4.06
1905-03-01,4.06
1905-04-01,4.07
1905-05-01,4.07
1905-06-01,4.07
1905-07-01,4.06
1905-08-01,4.06
1905-09-01,4.05
1905-10-01,4.06
1905-11-01,4.07
1905-12-01,4.06
1906-01-01,4.07
1906-02-01,4.08
1906-03-01,4.11
1906-04-01,4.12
1906-05-01,4.15
1906-06-01,4.16
1906-07-01,4.19
1906-08-01,4.23
1906-09-01,4.25
1906-10-01,4.24
1906-11-01,4.24
1906-12-01,4.26
1907-01-01,4.26
1907-02-01,4.3
1907-03-01,4.34
1907-04-01,4.36
1907-05-01,4.38
1907-06-01,4.45
1907-07-01,4.47
1907-08-01,4.55
1907-09-01,4.59
1907-10-01,4.68
1907-11-01,4.87
1907-12-01,4.83
1908-01-01,4.75
1908-02-01,4.69
1908-03-01,4.7
1908-04-01,4.65
1908-05-01,4.59
1908-06-01,4.56
1908-07-01,4.55
1908-08-01,4.5
1908-09-01,4.47
1908-10-01,4.45
1908-11-01,4.4
1908-12-01,4.34
1909-01-01,4.34
1909-02-01,4.32
1909-03-01,4.34
1909-04-01,4.32
1909-05-01,4.32
1909-06-01,4.32
1909-07-01,4.32
1909-08-01,4.32
1909-09-01,4.33
1909-10-01,4.34
1909-11-01,4.35
1909-12-01,4.36
1910-01-01,4.35
1910-02-01,4.37
1910-03-01,4.38
1910-04-01,4.42
1910-05-01,4.44
1910-06-01,4.47
1910-07-01,4.49
1910-08-01,4.5
1910-09-01,4.48
1910-10-01,4.46
1910-11-01,4.46
1910-12-01,4.45
1911-01-01,4.43
1911-02-01,4.43
1911-03-01,4.43
1911-04-01,4.43
1911-05-01,4.4
1911-06-01,4.41
1911-07-01,4.41
1911-08-01,4.43
1911-09-01,4.45
1911-10-01,4.45
1911-11-01,4.45
1911-12-01,4.44
1912-01-01,4.44
1912-02-01,4.42
1912-03-01,4.43
1912-04-01,4.45
1912-05-01,4.44
1912-06-01,4.44
1912-07-01,4.44
1912-08-01,4.45
1912-09-01,4.46
1912-10-01,4.48
1912-11-01,4.51
1912-12-01,4.51
1913-01-01,4.51
1913-02-01,4.52
1913-03-01,4.55
1913-04-01,4.6
1913-05-01,4.64
1913-06-01,4.69
1913-07-01,4.72
1913-08-01,4.7
1913-09-01,4.68
1913-10-01,4.69
1913-11-01,4.7
1913-12-01,4.72
1914-01-01,4.64
1914-02-01,4.58
1914-03-01,4.56
1914-04-01,4.57
1914-05-01,4.57
1914-06-01,4.54
1914-07-01,4.58
1914-08-01,4.6
1914-09-01,4.61
1914-10-01,4.63
1914-11-01,4.65
1914-12-01,4.66
1915-01-01,4.68
1915-02-01,4.67
1915-03-01,4.68
1915-04-01,4.65
1915-05-01,4.67
1915-06-01,4.7
1915-07-01,4.71
1915-08-01,4.71
1915-09-01,4.71
1915-10-01,4.66
1915-11-01,4.57
1915-12-01,4.55
1916-01-01,4.53
1916-02-01,4.52
1916-03-01,4.53
1916-04-01,4.54
1916-05-01,4.55
1916-06-01,4.55
1916-07-01,4.56
1916-08-01,4.56
1916-09-01,4.54
1916-10-01,4.5
1916-11-01,4.48
1916-12-01,4.49
1917-01-01,4.45
1917-02-01,4.51
1917-03-01,4.54
1917-04-01,4.63
1917-05-01,4.72
1917-06-01,4.77
1917-07-01,4.81
1917-08-01,4.85
1917-09-01,4.96
1917-10-01,5.01
1917-11-01,5.1
1917-12-01,5.19
1918-01-01,5.19
1918-02-01,5.16
1918-03-01,5.2
1918-04-01,5.28
1918-05-01,5.25
1918-06-01,5.27
