"Date","M010ADUSM561SNBR"
1877-01-01,4.6
1877-02-01,4.7
1877-03-01,4.7
1877-04-01,4.7
1877-05-01,4.8
1877-06-01,4.8
1877-07-01,4.9
1877-08-01,5
1877-09-01,5.1
1877-10-01,5.2
1877-11-01,5.3
1877-12-01,5.4
1878-01-01,5.5
1878-02-01,5.6
1878-03-01,5.7
1878-04-01,5.7
1878-05-01,5.7
1878-06-01,5.7
1878-07-01,5.6
1878-08-01,5.5
1878-09-01,5.5
1878-10-01,5.4
1878-11-01,5.3
1878-12-01,5.3
1879-01-01,5.3
1879-02-01,5.4
1879-03-01,5.5
1879-04-01,5.7
1879-05-01,5.9
1879-06-01,6.3
1879-07-01,6.6
1879-08-01,7
1879-09-01,7.4
1879-10-01,7.8
1879-11-01,8.2
1879-12-01,8.6
1880-01-01,8.9
1880-02-01,9.1
1880-03-01,9.2
1880-04-01,9.3
1880-05-01,9.3
1880-06-01,9.3
1880-07-01,9.3
1880-08-01,9.2
1880-09-01,9.2
1880-10-01,9.2
1880-11-01,9.2
1880-12-01,9.2
1881-01-01,9.3
1881-02-01,9.4
1881-03-01,9.4
1881-04-01,9.5
1881-05-01,9.6
1881-06-01,9.8
1881-07-01,9.9
1881-08-01,10
1881-09-01,10
1881-10-01,10.1
1881-11-01,10.2
1881-12-01,10.3
1882-01-01,10.4
1882-02-01,10.5
1882-03-01,10.6
1882-04-01,10.7
1882-05-01,10.8
1882-06-01,10.9
1882-07-01,11
1882-08-01,11.1
1882-09-01,11.1
1882-10-01,11.2
1882-11-01,11.3
1882-12-01,11.4
1883-01-01,11.5
1883-02-01,11.5
1883-03-01,11.6
1883-04-01,11.5
1883-05-01,11.5
1883-06-01,11.3
1883-07-01,11.2
1883-08-01,11
1883-09-01,10.8
1883-10-01,10.6
1883-11-01,10.5
1883-12-01,10.4
1884-01-01,10.3
1884-02-01,10.2
1884-03-01,10.2
1884-04-01,10.2
1884-05-01,10.2
1884-06-01,10.1
1884-07-01,10.1
1884-08-01,10.1
1884-09-01,10
1884-10-01,10
