"Date","EXPINF24YR"
1982-01-01,5.3465314
1982-02-01,5.2392166
1982-03-01,4.8870205
1982-04-01,4.9468257
1982-05-01,4.9646228
1982-06-01,4.8872423
1982-07-01,5.102791
1982-08-01,4.9441963
1982-09-01,4.995452
1982-10-01,4.7317103
1982-11-01,4.2476389
1982-12-01,4.3704471
1983-01-01,4.2424841
1983-02-01,4.3706699
1983-03-01,4.1934391
1983-04-01,4.2673637
1983-05-01,4.1070822
1983-06-01,4.2759098
1983-07-01,4.3587331
1983-08-01,4.4583325
1983-09-01,4.5379909
1983-10-01,4.4339555
1983-11-01,4.5071944
1983-12-01,4.524233
1984-01-01,4.4944212
1984-02-01,4.4836478
1984-03-01,4.6027822
1984-04-01,4.6846868
1984-05-01,4.7885118
1984-06-01,5.0128993
1984-07-01,5.0011811
1984-08-01,4.7822233
1984-09-01,4.7963317
1984-10-01,4.5961517
1984-11-01,4.4742317
1984-12-01,4.494708
1985-01-01,4.5596495
1985-02-01,4.5140986
1985-03-01,4.6740192
1985-04-01,4.4817416
1985-05-01,4.4671031
1985-06-01,4.1614372
1985-07-01,4.1453315
1985-08-01,4.2677748
1985-09-01,4.193129
1985-10-01,4.1886858
1985-11-01,4.1014413
1985-12-01,4.0068627
1986-01-01,3.8385012
1986-02-01,3.8162829
1986-03-01,3.5282253
1986-04-01,3.4066803
1986-05-01,3.4595279
1986-06-01,3.6858142
1986-07-01,3.4828339
1986-08-01,3.4628083
1986-09-01,3.3070484
1986-10-01,3.4650059
1986-11-01,3.4150032
1986-12-01,3.3339742
1987-01-01,3.3787612
1987-02-01,3.3726687
1987-03-01,3.2792505
1987-04-01,3.4507209
1987-05-01,3.7242171
1987-06-01,3.6533
1987-07-01,3.7080373
1987-08-01,3.7650281
1987-09-01,3.8359018
1987-10-01,3.9040802
1987-11-01,3.8778969
1987-12-01,3.9420164
1988-01-01,3.9295608
1988-02-01,3.6191026
1988-03-01,3.5959359
1988-04-01,3.7450364
1988-05-01,3.7657816
1988-06-01,3.8314952
1988-07-01,3.7780611
1988-08-01,3.7755837
1988-09-01,3.8375506
1988-10-01,3.7454813
1988-11-01,3.7141251
1988-12-01,3.7982951
1989-01-01,3.9316609
1989-02-01,3.8547799
1989-03-01,3.9580398
1989-04-01,3.8953249
1989-05-01,3.7508775
1989-06-01,3.6657431
1989-07-01,3.4975583
1989-08-01,3.37769
1989-09-01,3.5565381
1989-10-01,3.5687537
1989-11-01,3.4723435
1989-12-01,3.4692142
1990-01-01,3.5450316
1990-02-01,3.6785877
1990-03-01,3.6810919
1990-04-01,3.6736463
1990-05-01,3.813873
1990-06-01,3.6762651
1990-07-01,3.6047512
1990-08-01,3.5747797
1990-09-01,3.7478328
1990-10-01,3.6705126
1990-11-01,3.6683965
1990-12-01,3.5722924
1991-01-01,3.5722115
1991-02-01,3.5199965
1991-03-01,3.6344189
1991-04-01,3.5490904
1991-05-01,3.5734684
1991-06-01,3.6433425
1991-07-01,3.6484415
1991-08-01,3.6254701
1991-09-01,3.5036102
1991-10-01,3.4260313
1991-11-01,3.4036967
1991-12-01,3.3569988
1992-01-01,3.2717335
1992-02-01,3.4333256
1992-03-01,3.4478668
1992-04-01,3.4814806
1992-05-01,3.5074293
1992-06-01,3.4330237
1992-07-01,3.3355201
1992-08-01,3.2406062
1992-09-01,3.160637
1992-10-01,3.0702559
1992-11-01,3.2650013
1992-12-01,3.3413886
1993-01-01,3.2555147
1993-02-01,3.1498803
1993-03-01,3.0074849
1993-04-01,3.0496929
1993-05-01,3.0118009
1993-06-01,3.0020971
1993-07-01,2.9622993
1993-08-01,2.9982842
1993-09-01,2.8900385
1993-10-01,2.8876314
1993-11-01,2.9368841
1993-12-01,2.997286
1994-01-01,3.0197542
1994-02-01,2.9819463
1994-03-01,3.14438
1994-04-01,3.3601019
1994-05-01,3.3372766
1994-06-01,3.3640359
1994-07-01,3.4587605
1994-08-01,3.3294274
1994-09-01,3.3573196
1994-10-01,3.4947918
1994-11-01,3.5802716
1994-12-01,3.5900247
1995-01-01,3.6404988
1995-02-01,3.5704156
1995-03-01,3.4210845
1995-04-01,3.3774452
1995-05-01,3.2191065
1995-06-01,2.9919433
1995-07-01,3.0378187
1995-08-01,3.1067168
1995-09-01,3.0691562
1995-10-01,3.0330147
1995-11-01,3.0030993
1995-12-01,2.8622732
1996-01-01,2.8894397
1996-02-01,2.8846062
1996-03-01,2.9717454
1996-04-01,3.0628303
1996-05-01,3.1905648
1996-06-01,3.2644396
1996-07-01,3.1813602
1996-08-01,3.1892428
1996-09-01,3.2559874
1996-10-01,3.1938707
1996-11-01,3.1372814
1996-12-01,3.0177656
1997-01-01,3.1716719
1997-02-01,3.1702303
1997-03-01,3.1776084
1997-04-01,3.2685253
1997-05-01,3.2190612
1997-06-01,3.2132656
1997-07-01,3.1356704
1997-08-01,3.0961171
1997-09-01,3.0926339
1997-10-01,3.0781318
1997-11-01,3.0622249
1997-12-01,2.9801326
1998-01-01,2.9573201
1998-02-01,2.9342116
1998-03-01,2.9445471
1998-04-01,2.9377973
1998-05-01,2.9814943
1998-06-01,2.9414274
1998-07-01,2.9408429
1998-08-01,2.9314614
1998-09-01,2.8006696
1998-10-01,2.5501056
1998-11-01,2.6590901
1998-12-01,2.6250102
1999-01-01,2.6894612
1999-02-01,2.7186243
1999-03-01,2.8315161
1999-04-01,2.8359109
1999-05-01,2.8788108
1999-06-01,2.9594137
1999-07-01,3.0026115
1999-08-01,3.0368632
1999-09-01,3.0730138
1999-10-01,3.0994107
1999-11-01,3.1053845
1999-12-01,3.1528223
2000-01-01,3.197157
2000-02-01,3.2525159
2000-03-01,3.2315194
2000-04-01,3.1147274
2000-05-01,3.1822671
2000-06-01,3.2142197
2000-07-01,3.0464976
2000-08-01,3.0253679
2000-09-01,2.9624838
2000-10-01,2.942803
2000-11-01,2.9410565
2000-12-01,2.8765041
2001-01-01,2.6234243
2001-02-01,2.7209813
2001-03-01,2.6227443
2001-04-01,2.6794295
2001-05-01,2.8143713
2001-06-01,2.882207
2001-07-01,2.8516715
2001-08-01,2.7608215
2001-09-01,2.7914448
2001-10-01,2.6530991
2001-11-01,2.5590461
2001-12-01,2.7276385
2002-01-01,2.8643846
2002-02-01,2.8098328
2002-03-01,2.8086103
2002-04-01,2.9802439
2002-05-01,2.8545987
2002-06-01,2.8165671
2002-07-01,2.7516276
2002-08-01,2.5599294
2002-09-01,2.4261327
