"Date","CPIEALL"
1982-12-01,100
1983-01-01,100.4
1983-02-01,100.5
1983-03-01,100.6
1983-04-01,101.2
1983-05-01,101.7
1983-06-01,102
1983-07-01,102.4
1983-08-01,102.7
1983-09-01,103.2
1983-10-01,103.4
1983-11-01,103.5
1983-12-01,103.7
1984-01-01,104.4
1984-02-01,105.1
1984-03-01,105.3
1984-04-01,105.7
1984-05-01,106
1984-06-01,106.3
1984-07-01,106.7
1984-08-01,107.2
1984-09-01,107.6
1984-10-01,107.8
1984-11-01,107.9
1984-12-01,108
1985-01-01,108.3
1985-02-01,108.8
1985-03-01,109.2
1985-04-01,109.7
1985-05-01,110.1
1985-06-01,110.5
1985-07-01,110.8
1985-08-01,111.1
1985-09-01,111.4
1985-10-01,111.7
1985-11-01,112.1
1985-12-01,112.4
1986-01-01,112.9
1986-02-01,112.7
1986-03-01,112.3
1986-04-01,112.3
1986-05-01,112.6
1986-06-01,113.1
1986-07-01,113.3
1986-08-01,113.6
1986-09-01,114.1
1986-10-01,114.2
1986-11-01,114.2
1986-12-01,114.4
1987-01-01,115.2
1987-02-01,115.7
1987-03-01,116.1
1987-04-01,116.7
1987-05-01,117.1
1987-06-01,117.7
1987-07-01,117.9
1987-08-01,118.6
1987-09-01,119
1987-10-01,119.3
1987-11-01,119.5
1987-12-01,119.5
1988-01-01,120
1988-02-01,120.3
1988-03-01,120.9
1988-04-01,121.5
1988-05-01,121.9
1988-06-01,122.5
1988-07-01,123
1988-08-01,123.6
1988-09-01,124.2
1988-10-01,124.6
1988-11-01,124.8
1988-12-01,124.9
1989-01-01,125.7
1989-02-01,126.3
1989-03-01,127.1
1989-04-01,127.9
1989-05-01,128.6
1989-06-01,129
1989-07-01,129.6
1989-08-01,129.8
1989-09-01,130
1989-10-01,130.8
1989-11-01,131.1
1989-12-01,131.4
1990-01-01,133
1990-02-01,133.6
1990-03-01,134.4
1990-04-01,134.6
1990-05-01,134.9
1990-06-01,135.8
1990-07-01,136.6
1990-08-01,137.9
1990-09-01,138.8
1990-10-01,139.6
1990-11-01,140
1990-12-01,140.1
1991-01-01,141.2
1991-02-01,141.6
1991-03-01,141.9
1991-04-01,142
1991-05-01,142.4
1991-06-01,142.9
1991-07-01,143.2
1991-08-01,143.6
1991-09-01,144
1991-10-01,144.1
1991-11-01,144.5
1991-12-01,144.8
1992-01-01,145.4
1992-02-01,146
1992-03-01,146.7
1992-04-01,146.8
1992-05-01,147
1992-06-01,147.3
1992-07-01,147.8
1992-08-01,148.2
1992-09-01,148.4
1992-10-01,149
1992-11-01,149.2
1992-12-01,149.2
1993-01-01,150.1
1993-02-01,150.7
1993-03-01,151.2
1993-04-01,151.7
1993-05-01,152
1993-06-01,152.2
1993-07-01,152.4
1993-08-01,152.8
1993-09-01,152.9
1993-10-01,153.4
1993-11-01,153.6
1993-12-01,153.8
1994-01-01,154.4
1994-02-01,155
1994-03-01,155.6
1994-04-01,155.7
1994-05-01,155.8
1994-06-01,156.3
1994-07-01,156.9
1994-08-01,157.5
1994-09-01,157.7
1994-10-01,157.9
1994-11-01,158
1994-12-01,158
1995-01-01,158.9
1995-02-01,159.5
1995-03-01,160
1995-04-01,160.5
1995-05-01,160.8
1995-06-01,161.2
