"Date","CPIEOTRGS"
1982-12-01,100
1983-01-01,101.2
1983-02-01,101.9
1983-03-01,101.9
1983-04-01,102.5
1983-05-01,102.7
1983-06-01,103
1983-07-01,104
1983-08-01,104.7
1983-09-01,105.9
1983-10-01,106.3
1983-11-01,106.9
1983-12-01,107.2
1984-01-01,107.8
1984-02-01,108.2
1984-03-01,108.4
1984-04-01,108.7
1984-05-01,108.9
1984-06-01,109.4
1984-07-01,110.2
1984-08-01,110.5
1984-09-01,111.8
1984-10-01,112.3
1984-11-01,112.7
1984-12-01,112.8
1985-01-01,113.6
1985-02-01,114.2
1985-03-01,114.4
1985-04-01,114.8
1985-05-01,115.1
1985-06-01,115.4
1985-07-01,116.1
1985-08-01,116.5
1985-09-01,117.9
1985-10-01,118.5
1985-11-01,118.6
1985-12-01,119
1986-01-01,119.9
1986-02-01,120.4
1986-03-01,120.8
1986-04-01,121.1
1986-05-01,121.3
1986-06-01,121.5
1986-07-01,122.3
1986-08-01,122.7
1986-09-01,123.9
1986-10-01,124.3
1986-11-01,124.5
1986-12-01,124.8
1987-01-01,125.8
1987-02-01,126.4
1987-03-01,126.8
1987-04-01,127.1
1987-05-01,127.5
1987-06-01,127.9
1987-07-01,128.7
1987-08-01,129.3
1987-09-01,130.5
1987-10-01,130.9
1987-11-01,131.1
1987-12-01,131.4
1988-01-01,132.7
1988-02-01,133.8
1988-03-01,134.3
1988-04-01,134.5
1988-05-01,134.9
1988-06-01,135.3
1988-07-01,136.4
1988-08-01,137
1988-09-01,138.6
1988-10-01,139.1
1988-11-01,139.6
1988-12-01,140.1
1989-01-01,142.2
1989-02-01,143
1989-03-01,143.5
1989-04-01,143.9
1989-05-01,144.9
1989-06-01,145.9
1989-07-01,146.8
1989-08-01,148.1
1989-09-01,148.5
1989-10-01,149
1989-11-01,149.2
1989-12-01,150.4
1990-01-01,151.7
1990-02-01,152.3
1990-03-01,153.2
1990-04-01,154
1990-05-01,154.7
1990-06-01,156
1990-07-01,157.4
1990-08-01,158.1
1990-09-01,159.3
1990-10-01,159.8
1990-11-01,160.3
1990-12-01,161.3
1991-01-01,163.2
1991-02-01,164.4
1991-03-01,165.1
1991-04-01,166
1991-05-01,166.5
1991-06-01,167.5
1991-07-01,168
1991-08-01,169.2
1991-09-01,170.7
1991-10-01,171.3
1991-11-01,171.9
1991-12-01,172.7
1992-01-01,173.7
1992-02-01,174.6
1992-03-01,175.2
1992-04-01,175.7
1992-05-01,176.8
1992-06-01,177.2
1992-07-01,177.8
1992-08-01,179
1992-09-01,180.4
1992-10-01,181.1
1992-11-01,181.2
1992-12-01,182.3
1993-01-01,184.5
1993-02-01,185.1
1993-03-01,186
1993-04-01,186.5
1993-05-01,187.7
1993-06-01,187.6
1993-07-01,188
1993-08-01,186.9
1993-09-01,185
1993-10-01,185.3
1993-11-01,185.7
1993-12-01,186.3
1994-01-01,187.3
1994-02-01,187.4
1994-03-01,187.7
1994-04-01,188.9
1994-05-01,189.6
1994-06-01,190.1
1994-07-01,190.4
1994-08-01,191.4
1994-09-01,192.2
1994-10-01,192.8
1994-11-01,193.3
1994-12-01,193.7
1995-01-01,194.1
1995-02-01,195.3
1995-03-01,195.3
1995-04-01,195.7
1995-05-01,196.4
1995-06-01,196.8
1995-07-01,197.3
1995-08-01,198.8
1995-09-01,200.7
1995-10-01,201.2
1995-11-01,201.7
1995-12-01,201.8
1996-01-01,202.9
1996-02-01,203.6
1996-03-01,204.1
1996-04-01,204.3
1996-05-01,205.1
1996-06-01,205.2
1996-07-01,205.7
1996-08-01,207
1996-09-01,208
1996-10-01,208.4
1996-11-01,209
1996-12-01,208.6
1997-01-01,209.9
1997-02-01,211
1997-03-01,212.1
1997-04-01,213.7
1997-05-01,214.1
1997-06-01,213.9
1997-07-01,214.2
1997-08-01,215.7
1997-09-01,217.2
1997-10-01,218.5
1997-11-01,219
1997-12-01,219.3
1998-01-01,220.2
1998-02-01,221.6
1998-03-01,221.5
1998-04-01,223.1
1998-05-01,224.6
1998-06-01,224.5
1998-07-01,225.6
1998-08-01,225.9
1998-09-01,227.4
1998-10-01,228.1
1998-11-01,227.8
1998-12-01,233.8
1999-01-01,237.3
1999-02-01,237.3
1999-03-01,236.7
1999-04-01,238.4
1999-05-01,238.3
1999-06-01,238.5
1999-07-01,240.3
1999-08-01,240.3
