"Date","TY6MCD"
2021-04-01,0.05
2021-05-01,0.05
2021-06-01,0.03
2021-07-01,0.06
2021-08-01,0.06
2021-09-01,0.06
2021-10-01,0.05
2021-11-01,0.05
2021-12-01,0.07
2022-01-01,0.1
2022-02-01,0.49
2022-03-01,0.49
2022-04-01,0.69
2022-05-01,1.06
2022-06-01,1.41
2022-07-01,2.51
2022-08-01,2.91
2022-09-01,3.32
2022-10-01,3.92
2022-11-01,4.57
2022-12-01,4.7
2023-01-01,4.76
2023-02-01,4.8
2023-03-01,5.17
2023-04-01,5.17
2023-05-01,4.94
2023-06-01,5.06
2023-07-01,5.47
2023-08-01,5.47
2023-09-01,5.48
2023-10-01,5.53
2023-11-01,5.53
