"Date","ORSLIND"
1982-01-01,-0.14
1982-02-01,0.43
1982-03-01,1.02
1982-04-01,1.23
1982-05-01,1.5
1982-06-01,1.08
1982-07-01,0.83
1982-08-01,0
1982-09-01,0.48
1982-10-01,0.53
1982-11-01,1.5
1982-12-01,1.84
1983-01-01,3.45
1983-02-01,2.8
1983-03-01,3.16
1983-04-01,3
1983-05-01,2.88
1983-06-01,3.29
1983-07-01,1.07
1983-08-01,1.26
1983-09-01,2.13
1983-10-01,3.2
1983-11-01,3.02
1983-12-01,2.6
1984-01-01,2.85
1984-02-01,3.02
1984-03-01,2.45
1984-04-01,1.96
1984-05-01,1.23
1984-06-01,1.39
1984-07-01,2.47
1984-08-01,2.72
1984-09-01,1.9
1984-10-01,1.19
1984-11-01,1.02
1984-12-01,1.36
1985-01-01,1.97
1985-02-01,1.4
1985-03-01,2.08
1985-04-01,1.89
1985-05-01,2.44
1985-06-01,2.75
1985-07-01,2.37
1985-08-01,2.47
1985-09-01,2.92
1985-10-01,2.35
1985-11-01,1.9
1985-12-01,1.37
1986-01-01,1.24
1986-02-01,1.32
1986-03-01,1.71
1986-04-01,2.44
1986-05-01,2.4
1986-06-01,2.54
1986-07-01,2.23
1986-08-01,2.69
1986-09-01,2.81
1986-10-01,3.06
1986-11-01,2.9
1986-12-01,2.85
1987-01-01,2.54
1987-02-01,2.81
1987-03-01,2.21
1987-04-01,2.03
1987-05-01,1.88
1987-06-01,2.23
1987-07-01,2.47
1987-08-01,1.9
1987-09-01,2.03
1987-10-01,1.82
1987-11-01,2.11
1987-12-01,2.37
1988-01-01,2.2
1988-02-01,2.41
1988-03-01,2.54
1988-04-01,1.94
1988-05-01,1.6
1988-06-01,1.99
1988-07-01,2.83
1988-08-01,2.69
1988-09-01,2.25
1988-10-01,2.11
1988-11-01,2.55
1988-12-01,2.09
1989-01-01,1.78
1989-02-01,1.38
1989-03-01,1.7
1989-04-01,1.37
1989-05-01,1.94
1989-06-01,2.72
1989-07-01,1.98
1989-08-01,1.85
1989-09-01,1.87
1989-10-01,1.33
1989-11-01,1.79
1989-12-01,2.44
1990-01-01,3.15
1990-02-01,1.74
1990-03-01,1.45
1990-04-01,1.23
1990-05-01,1.32
1990-06-01,1.18
1990-07-01,0.63
1990-08-01,1.49
1990-09-01,0.31
1990-10-01,0.69
1990-11-01,0.81
1990-12-01,1.15
1991-01-01,0.72
1991-02-01,1.03
1991-03-01,0.84
1991-04-01,1.11
1991-05-01,1.05
1991-06-01,1.65
1991-07-01,1.49
1991-08-01,1.18
1991-09-01,1.32
1991-10-01,1.29
1991-11-01,0.06
1991-12-01,0.5
1992-01-01,1.46
1992-02-01,1.65
1992-03-01,1.88
1992-04-01,2.22
1992-05-01,2.75
1992-06-01,1.94
1992-07-01,2.62
1992-08-01,1.81
1992-09-01,1.52
1992-10-01,1.73
1992-11-01,2.18
1992-12-01,1.75
1993-01-01,2.06
1993-02-01,2.62
1993-03-01,2.52
1993-04-01,2.09
1993-05-01,1.83
1993-06-01,2.01
1993-07-01,2.28
1993-08-01,2.47
1993-09-01,3.12
1993-10-01,3.21
1993-11-01,2.46
1993-12-01,2.6
1994-01-01,2.61
1994-02-01,2.18
1994-03-01,2.44
1994-04-01,2.19
1994-05-01,2.62
1994-06-01,2.8
1994-07-01,2.56
1994-08-01,2.27
1994-09-01,2.28
1994-10-01,2.29
1994-11-01,2.59
1994-12-01,2.43
1995-01-01,2.19
1995-02-01,1.69
1995-03-01,1.3
1995-04-01,1.27
1995-05-01,1.36
1995-06-01,1.98
1995-07-01,1.9
1995-08-01,2.18
1995-09-01,2.25
1995-10-01,1.44
1995-11-01,1.08
1995-12-01,1.31
1996-01-01,1.4
1996-02-01,0.9
1996-03-01,1.08
1996-04-01,1.5
1996-05-01,1.43
1996-06-01,1.93
1996-07-01,2.21
1996-08-01,2.19
1996-09-01,1.62
1996-10-01,1.98
1996-11-01,1.92
1996-12-01,1.14
1997-01-01,1.72
1997-02-01,1.93
1997-03-01,2.39
1997-04-01,2.34
1997-05-01,2.41
1997-06-01,2.06
1997-07-01,1.53
1997-08-01,1.54
1997-09-01,1.5
1997-10-01,1.6
1997-11-01,1.53
1997-12-01,2.2
1998-01-01,1.4
1998-02-01,1.19
1998-03-01,1.29
1998-04-01,1.09
1998-05-01,1.08
1998-06-01,0.9
1998-07-01,0.88
1998-08-01,1.06
1998-09-01,1.62
1998-10-01,1.43
1998-11-01,1.58
1998-12-01,1.44
1999-01-01,1.85
1999-02-01,1.8
1999-03-01,1.64
1999-04-01,1.85
1999-05-01,1.22
1999-06-01,1.26
1999-07-01,1.86
1999-08-01,2.13
1999-09-01,2.05
1999-10-01,2.24
1999-11-01,2.38
1999-12-01,2.07
2000-01-01,1.58
2000-02-01,1.3
2000-03-01,1.41
2000-04-01,1.73
2000-05-01,1.39
2000-06-01,1.09
2000-07-01,1.17
2000-08-01,1.29
2000-09-01,1.36
2000-10-01,1.61
