"Date","TP10L16"
2006-08-01,2.29
2006-09-01,2.32
2006-10-01,2.41
2006-11-01,2.29
2006-12-01,2.24
2007-01-01,2.42
2007-02-01,2.34
2007-03-01,2.15
2007-04-01,2.23
2007-05-01,2.34
2007-06-01,2.67
2007-07-01,2.63
2007-08-01,2.44
2007-09-01,2.24
2007-10-01,2.17
2007-11-01,1.71
2007-12-01,1.72
2008-01-01,1.34
2008-02-01,1.25
2008-03-01,0.91
2008-04-01,1.15
2008-05-01,1.27
2008-06-01,1.44
2008-07-01,1.37
2008-08-01,1.56
2008-09-01,1.75
2008-10-01,2.9
2008-11-01,3.73
2008-12-01,2.83
2009-01-01,2.35
2009-02-01,2.1
2009-03-01,1.99
2009-04-01,1.58
2009-05-01,1.71
2009-06-01,1.8
2009-07-01,1.79
2009-08-01,1.77
2009-09-01,1.47
2009-10-01,1.28
2009-11-01,0.97
2009-12-01,0.96
2010-01-01,0.91
2010-02-01,0.89
2010-03-01,0.92
2010-04-01,0.88
2010-05-01,0.69
2010-06-01,0.72
2010-07-01,0.67
2010-08-01,0.42
2010-09-01,0.35
2010-10-01,-0.12
2010-11-01,-0.1
2010-12-01,0.29
2011-01-01,0.11
2011-02-01,0.21
2011-03-01,-0.12
2011-04-01,-0.25
2011-05-01,-0.4
2011-06-01,-0.45
2011-07-01,-0.59
2011-08-01,-0.8
2011-09-01,-0.75
2011-10-01,-0.68
2011-11-01,-0.95
2011-12-01,-0.92
2012-01-01,-1.09
2012-02-01,-1.39
2012-03-01,-1.36
2012-04-01,-1.35
2012-05-01,-1.3
2012-06-01,-1.09
2012-07-01,-1.2
2012-08-01,-1.33
2012-09-01,-1.63
2012-10-01,-1.61
2012-11-01,-1.51
2012-12-01,-1.61
2013-01-01,-1.73
2013-02-01,-1.97
2013-03-01,-2.07
2013-04-01,-1.88
2013-05-01,-1.53
2013-06-01,-1.06
2013-07-01,-1.18
2013-08-01,-1.11
2013-09-01,-1.03
2013-10-01,-1.25
2013-11-01,-1.28
2013-12-01,-1.25
2014-01-01,-1.4
2014-02-01,-1.62
2014-03-01,-1.57
2014-04-01,-1.51
2014-05-01,-1.56
2014-06-01,-1.53
2014-07-01,-1.5
2014-08-01,-1.33
2014-09-01,-1.05
2014-10-01,-1
2014-11-01,-1
2014-12-01,-0.47
2015-01-01,-0.46
2015-02-01,-1
2015-03-01,-1.28
2015-04-01,-1.62
2015-05-01,-1.4
2015-06-01,-1.12
2015-07-01,-0.65
2015-08-01,0.19
2015-09-01,0.43
2015-10-01,0.06
2015-11-01,-0.29
2015-12-01,-0.32
2016-01-01,-0.56
2016-02-01,-1.01
2016-03-01,-3.03
2016-04-01,-4.08
2016-05-01,-4.79
2016-06-01,-5.05
