"Date","LTGOVTBD"
1925-01-01,3.96
1925-02-01,3.95
1925-03-01,3.96
1925-04-01,3.93
1925-05-01,3.87
1925-06-01,3.79
1925-07-01,3.79
1925-08-01,3.85
1925-09-01,3.85
1925-10-01,3.82
1925-11-01,3.79
1925-12-01,3.8
1926-01-01,3.77
1926-02-01,3.71
1926-03-01,3.71
1926-04-01,3.7
1926-05-01,3.67
1926-06-01,3.67
1926-07-01,3.68
1926-08-01,3.7
1926-09-01,3.7
1926-10-01,3.68
1926-11-01,3.62
1926-12-01,3.56
1927-01-01,3.51
1927-02-01,3.48
1927-03-01,3.37
1927-04-01,3.35
1927-05-01,3.31
1927-06-01,3.34
1927-07-01,3.36
1927-08-01,3.32
1927-09-01,3.3
1927-10-01,3.29
1927-11-01,3.23
1927-12-01,3.17
1928-01-01,3.18
1928-02-01,3.19
1928-03-01,3.17
1928-04-01,3.2
1928-05-01,3.24
1928-06-01,3.29
1928-07-01,3.42
1928-08-01,3.48
1928-09-01,3.46
1928-10-01,3.47
1928-11-01,3.38
1928-12-01,3.45
1929-01-01,3.52
1929-02-01,3.62
1929-03-01,3.74
1929-04-01,3.64
1929-05-01,3.64
1929-06-01,3.69
1929-07-01,3.64
1929-08-01,3.71
1929-09-01,3.7
1929-10-01,3.61
1929-11-01,3.35
1929-12-01,3.36
1930-01-01,3.43
1930-02-01,3.41
1930-03-01,3.29
1930-04-01,3.37
1930-05-01,3.31
1930-06-01,3.25
1930-07-01,3.25
1930-08-01,3.26
1930-09-01,3.24
1930-10-01,3.21
1930-11-01,3.19
1930-12-01,3.22
1931-01-01,3.2
1931-02-01,3.3
1931-03-01,3.27
1931-04-01,3.26
1931-05-01,3.16
1931-06-01,3.13
1931-07-01,3.15
1931-08-01,3.18
1931-09-01,3.25
1931-10-01,3.63
1931-11-01,3.63
1931-12-01,3.93
1932-01-01,4.26
1932-02-01,4.11
1932-03-01,3.92
1932-04-01,3.68
1932-05-01,3.76
1932-06-01,3.76
1932-07-01,3.58
1932-08-01,3.45
1932-09-01,3.42
1932-10-01,3.43
1932-11-01,3.45
1932-12-01,3.35
1933-01-01,3.22
1933-02-01,3.31
1933-03-01,3.42
1933-04-01,3.42
1933-05-01,3.3
1933-06-01,3.21
1933-07-01,3.2
1933-08-01,3.21
1933-09-01,3.19
1933-10-01,3.22
1933-11-01,3.46
1933-12-01,3.53
1934-01-01,3.5
1934-02-01,3.32
1934-03-01,3.2
1934-04-01,3.11
1934-05-01,3.02
1934-06-01,2.98
1934-07-01,2.92
1934-08-01,3.03
1934-09-01,3.2
1934-10-01,3.1
1934-11-01,3.07
1934-12-01,3.01
1935-01-01,2.88
1935-02-01,2.79
1935-03-01,2.77
1935-04-01,2.74
1935-05-01,2.72
1935-06-01,2.72
1935-07-01,2.69
1935-08-01,2.76
1935-09-01,2.85
1935-10-01,2.85
1935-11-01,2.83
1935-12-01,2.84
1936-01-01,2.81
1936-02-01,2.78
1936-03-01,2.73
1936-04-01,2.7
