"Date","TP30A29"
1999-04-01,3.872
1999-05-01,3.863
1999-06-01,3.921
1999-07-01,3.977
1999-08-01,4.003
1999-09-01,4.052
1999-10-01,4.123
1999-11-01,4.101
1999-12-01,4.197
2000-01-01,4.319
2000-02-01,4.159
2000-03-01,4.076
2000-04-01,3.888
2000-05-01,3.965
2000-06-01,3.912
2000-07-01,3.854
2000-08-01,3.868
2000-09-01,3.92
2000-10-01,3.885
2000-11-01,3.84
2000-12-01,3.742
2001-01-01,3.626
2001-02-01,3.516
2001-03-01,3.455
2001-04-01,3.559
2001-05-01,3.466
2001-06-01,3.457
2001-07-01,3.47
2001-08-01,3.412
2001-09-01,3.42
2001-10-01,3.434
2001-11-01,3.293
2001-12-01,3.518
2002-01-01,3.486
2002-02-01,3.467
2002-03-01,3.506
2002-04-01,3.398
2002-05-01,3.343
2002-06-01,3.196
2002-07-01,3.137
2002-08-01,2.912
2002-09-01,2.706
2002-10-01,2.886
2002-11-01,2.921
2002-12-01,2.845
2003-01-01,2.738
2003-02-01,2.527
2003-03-01,2.518
2003-04-01,2.741
2003-05-01,2.426
2003-06-01,2.29
2003-07-01,2.663
2003-08-01,2.81
2003-09-01,2.69
2003-10-01,2.596
2003-11-01,2.421
2003-12-01,2.341
2004-01-01,2.262
2004-02-01,2.171
2004-03-01,1.955
2004-04-01,2.294
2004-05-01,2.473
2004-06-01,2.45
2004-07-01,2.379
2004-08-01,2.269
2004-09-01,2.196
2004-10-01,2.164
2004-11-01,2.12
2004-12-01,2.008
2005-01-01,1.961
2005-02-01,1.843
2005-03-01,1.95
2005-04-01,1.871
2005-05-01,1.803
2005-06-01,1.767
2005-07-01,1.954
2005-08-01,1.989
2005-09-01,1.904
2005-10-01,2.066
2005-11-01,2.125
2005-12-01,2.098
2006-01-01,2
2006-02-01,1.953
2006-03-01,2.125
2006-04-01,2.386
2006-05-01,2.445
2006-06-01,2.488
2006-07-01,2.459
2006-08-01,2.263
2006-09-01,2.254
2006-10-01,2.331
2006-11-01,2.181
2006-12-01,2.222
2007-01-01,2.394
2007-02-01,2.353
2007-03-01,2.246
2007-04-01,2.337
2007-05-01,2.431
2007-06-01,2.658
2007-07-01,2.603
2007-08-01,2.462
2007-09-01,2.285
2007-10-01,2.25
2007-11-01,1.976
2007-12-01,2.062
2008-01-01,1.806
2008-02-01,1.896
2008-03-01,1.807
2008-04-01,1.953
2008-05-01,2.043
2008-06-01,2.231
2008-07-01,2.13
2008-08-01,2.171
2008-09-01,2.298
2008-10-01,2.94
2008-11-01,3.124
2008-12-01,2.497
2009-01-01,2.604
2009-02-01,2.493
2009-03-01,2.397
2009-04-01,2.395
2009-05-01,2.478
2009-06-01,2.458
2009-07-01,2.377
2009-08-01,2.294
2009-09-01,2.189
2009-10-01,2.087
2009-11-01,1.937
2009-12-01,2.021
2010-01-01,2.024
2010-02-01,2.096
2010-03-01,2.151
2010-04-01,2.043
2010-05-01,1.803
2010-06-01,1.776
2010-07-01,1.855
2010-08-01,1.659
2010-09-01,1.504
2010-10-01,1.258
2010-11-01,1.36
2010-12-01,1.718
2011-01-01,1.785
2011-02-01,1.957
2011-03-01,1.689
2011-04-01,1.57
2011-05-01,1.488
2011-06-01,1.48
2011-07-01,1.31
2011-08-01,0.741
2011-09-01,0.691
2011-10-01,0.73
2011-11-01,0.497
2011-12-01,0.494
2012-01-01,0.432
2012-02-01,0.338
2012-03-01,0.467
2012-04-01,0.367
2012-05-01,0.193
2012-06-01,0.05
2012-07-01,-0.049
2012-08-01,0.022
2012-09-01,-0.068
2012-10-01,-0.127
2012-11-01,-0.191
2012-12-01,-0.21
2013-01-01,-0.066
2013-02-01,0.019
2013-03-01,0.002
2013-04-01,-0.141
2013-05-01,0.124
2013-06-01,0.72
2013-07-01,0.889
2013-08-01,0.962
2013-09-01,1.048
2013-10-01,0.855
2013-11-01,0.995
2013-12-01,1.156
2014-01-01,1.009
2014-02-01,0.925
2014-03-01,0.906
2014-04-01,0.852
2014-05-01,0.663
2014-06-01,0.695
2014-07-01,0.571
2014-08-01,0.509
2014-09-01,0.731
2014-10-01,0.64
2014-11-01,0.675
2014-12-01,0.653
2015-01-01,0.471
2015-02-01,0.486
2015-03-01,0.46
2015-04-01,0.334
2015-05-01,0.572
2015-06-01,0.7
2015-07-01,0.69
2015-08-01,0.721
2015-09-01,0.875
2015-10-01,0.78
2015-11-01,0.877
2015-12-01,0.916
2016-01-01,0.896
2016-02-01,0.731
2016-03-01,0.624
2016-04-01,0.455
2016-05-01,0.459
2016-06-01,0.408
2016-07-01,0.285
2016-08-01,0.324
2016-09-01,0.345
2016-10-01,0.339
2016-11-01,0.552
2016-12-01,0.77
2017-01-01,0.62
2017-02-01,0.551
2017-03-01,0.608
2017-04-01,0.514
2017-05-01,0.584
2017-06-01,0.561
2017-07-01,0.672
2017-08-01,0.57
2017-09-01,0.505
2017-10-01,0.632
2017-11-01,0.62
2017-12-01,0.607
2018-01-01,0.619
2018-02-01,0.805
2018-03-01,0.795
2018-04-01,0.779
2018-05-01,0.869
2018-06-01,0.83
2018-07-01,0.82
2018-08-01,0.85
2018-09-01,0.944
2018-10-01,1.104
2018-11-01,1.179
2018-12-01,1.084
2019-01-01,0.97
2019-02-01,0.828
2019-03-01,0.689
2019-04-01,0.613
2019-05-01,0.585
2019-06-01,0.389
2019-07-01,0.342
2019-08-01,0.109
2019-09-01,0.194
2019-10-01,0.213
2019-11-01,0.238
2019-12-01,0.21
2020-01-01,0.094
2020-02-01,-0.084
2020-03-01,0.037
2020-04-01,-0.271
2020-05-01,-0.317
2020-06-01,-0.527
2020-07-01,-0.858
