"Date","EXPINF22YR"
2000-01-01,3.2073645
2000-02-01,3.2651129
2000-03-01,3.2435761
2000-04-01,3.1220446
2000-05-01,3.192651
2000-06-01,3.2264743
2000-07-01,3.0509623
2000-08-01,3.0291626
2000-09-01,2.9639335
2000-10-01,2.9433403
2000-11-01,2.9413854
2000-12-01,2.8743665
2001-01-01,2.6102529
2001-02-01,2.7109919
2001-03-01,2.6080176
2001-04-01,2.6676859
2001-05-01,2.8081638
2001-06-01,2.8785712
2001-07-01,2.8468425
2001-08-01,2.7521456
2001-09-01,2.785059
2001-10-01,2.6391558
2001-11-01,2.5408216
2001-12-01,2.7174173
2002-01-01,2.8585571
2002-02-01,2.801461
2002-03-01,2.7999106
2002-04-01,2.9797011
2002-05-01,2.8490733
2002-06-01,2.8088902
2002-07-01,2.7413455
2002-08-01,2.5415105
2002-09-01,2.402159
2002-10-01,2.3243842
2002-11-01,2.3848163
2002-12-01,2.4984777
2003-01-01,2.4229849
2003-02-01,2.4233623
2003-03-01,2.2947869
2003-04-01,2.3212074
2003-05-01,2.3279773
2003-06-01,2.1985262
2003-07-01,2.2212234
2003-08-01,2.4707648
2003-09-01,2.5534763
2003-10-01,2.3239554
2003-11-01,2.469644
2003-12-01,2.5196472
2004-01-01,2.4922466
2004-02-01,2.4558804
2004-03-01,2.3814391
2004-04-01,2.3568532
2004-05-01,2.5934915
2004-06-01,2.6715402
2004-07-01,2.6296558
2004-08-01,2.6004684
2004-09-01,2.4925053
2004-10-01,2.5076001
2004-11-01,2.4676726
2004-12-01,2.5157844
2005-01-01,2.520103
2005-02-01,2.52029
2005-03-01,2.5961648
2005-04-01,2.6289998
2005-05-01,2.5267112
2005-06-01,2.4455443
2005-07-01,2.4981844
2005-08-01,2.5817081
2005-09-01,2.483115
2005-10-01,2.6273959
2005-11-01,2.638356
2005-12-01,2.6270478
2006-01-01,2.559893
2006-02-01,2.6081938
2006-03-01,2.6040714
2006-04-01,2.6918872
2006-05-01,2.7165173
2006-06-01,2.7232981
2006-07-01,2.7677863
2006-08-01,2.6784869
2006-09-01,2.6008562
2006-10-01,2.5862558
2006-11-01,2.5162957
2006-12-01,2.4859712
2007-01-01,2.6127574
2007-02-01,2.6515922
2007-03-01,2.5494139
2007-04-01,2.5693978
2007-05-01,2.6020938
2007-06-01,2.711177
2007-07-01,2.7093721
2007-08-01,2.5822426
2007-09-01,2.5239415
2007-10-01,2.5741522
2007-11-01,2.4951424
2007-12-01,2.308021
2008-01-01,2.3381537
2008-02-01,2.269822
2008-03-01,2.1753843
2008-04-01,2.2247143
2008-05-01,2.395757
2008-06-01,2.4408244
2008-07-01,2.4656025
2008-08-01,2.4674581
2008-09-01,2.3666959
2008-10-01,2.3243962
2008-11-01,2.2722407
2008-12-01,1.9451423
2009-01-01,1.9734464
2009-02-01,2.0174392
2009-03-01,2.0213191
2009-04-01,2.0096661
2009-05-01,2.1406007
2009-06-01,2.262991
2009-07-01,2.2820976
2009-08-01,2.306802
2009-09-01,2.2751855
2009-10-01,2.2116401
2009-11-01,2.2600026
2009-12-01,2.1653634
2010-01-01,2.320496
2010-02-01,2.258321
2010-03-01,2.2413247
2010-04-01,2.3003317
2010-05-01,2.2687573
2010-06-01,2.1603779
2010-07-01,2.0518884
2010-08-01,2.0198661
2010-09-01,1.9320397
2010-10-01,1.9093985
2010-11-01,1.8857123
2010-12-01,2.0021018
2011-01-01,2.1681351
2011-02-01,2.1803748
2011-03-01,2.2207201
2011-04-01,2.2623951
2011-05-01,2.2025605
2011-06-01,2.1001222
2011-07-01,2.1641917
2011-08-01,1.9934023
2011-09-01,1.8755083
2011-10-01,1.8835004
2011-11-01,1.8982313
2011-12-01,1.9171981
2012-01-01,1.8935616
2012-02-01,1.8485903
2012-03-01,1.8801411
2012-04-01,1.9236188
2012-05-01,1.8511707
2012-06-01,1.7699549
2012-07-01,1.8073311
2012-08-01,1.7996519
2012-09-01,1.8181314
2012-10-01,1.8091176
2012-11-01,1.8185969
2012-12-01,1.8100064
2013-01-01,1.8084355
2013-02-01,1.8444635
2013-03-01,1.757772
2013-04-01,1.7813294
2013-05-01,1.7541917
2013-06-01,1.8551232
2013-07-01,1.9341977
2013-08-01,2.0040669
2013-09-01,2.0773554
2013-10-01,1.9852188
2013-11-01,1.9830948
2013-12-01,2.0211838
2014-01-01,2.0819383
2014-02-01,2.0210474
2014-03-01,2.0152156
2014-04-01,2.1018672
2014-05-01,2.0929571
2014-06-01,2.0711127
2014-07-01,2.10088
2014-08-01,2.0982875
2014-09-01,2.1147429
2014-10-01,2.1009302
2014-11-01,2.064804
2014-12-01,2.0632322
2015-01-01,1.9791203
2015-02-01,1.8730011
2015-03-01,1.9925441
2015-04-01,1.9729415
2015-05-01,2.033709
2015-06-01,2.0555669
2015-07-01,2.1016191
2015-08-01,2.0530445
2015-09-01,2.06216312
2015-10-01,2.0087622
2015-11-01,2.0567291
2015-12-01,2.05798573
2016-01-01,2.08789948
2016-02-01,1.98698286
2016-03-01,1.9526815
2016-04-01,1.97237613
2016-05-01,2.00040894
2016-06-01,1.99356657
2016-07-01,1.90774323
2016-08-01,1.92422022
2016-09-01,1.97056448
2016-10-01,1.963723
2016-11-01,2.00071763
2016-12-01,2.14045721
2017-01-01,2.12017872
2017-02-01,2.126041
2017-03-01,2.11121622
2017-04-01,2.08039217
2017-05-01,2.07284846
2017-06-01,2.00695475
2017-07-01,2.07421328
2017-08-01,2.0491416
2017-09-01,2.05680769
2017-10-01,2.09959667
2017-11-01,2.1204373
2017-12-01,2.16194701
2018-01-01,2.150389
2018-02-01,2.23385603
2018-03-01,2.16709645
2018-04-01,2.17215692
2018-05-01,2.25256161
2018-06-01,2.22973199
2018-07-01,2.2496799
2018-08-01,2.28464981
2018-09-01,2.27096828
2018-10-01,2.30144791
2018-11-01,2.29213738
2018-12-01,2.24840903
2019-01-01,2.14964632
2019-02-01,2.16017008
2019-03-01,1.95481878
2019-04-01,1.97523621
2019-05-01,2.01121703
2019-06-01,1.90404425
2019-07-01,1.9308958
2019-08-01,1.91926576
2019-09-01,1.84454958
2019-10-01,1.90707929
2019-11-01,1.93869821
2019-12-01,1.96625442
2020-01-01,1.97942718
2020-02-01,1.89363741
2020-03-01,1.63577712
2020-04-01,1.59124939
2020-05-01,1.60138193
2020-06-01,1.62997022
2020-07-01,1.68387357
2020-08-01,1.67694581
2020-09-01,1.68915459
2020-10-01,1.68576636
2020-11-01,1.71639678
2020-12-01,1.74072488
2021-01-01,1.71852874
2021-02-01,1.74869787
2021-03-01,1.80835134
2021-04-01,1.8658638
2021-05-01,1.85835397
2021-06-01,1.8651566
2021-07-01,1.88764176
2021-08-01,1.8398519
2021-09-01,1.88205576
2021-10-01,1.88625464
2021-11-01,1.97851646
2021-12-01,1.97461497
2022-01-01,2.01799978
2022-02-01,2.10175666
2022-03-01,2.10446724
2022-04-01,2.30113918
2022-05-01,2.41692081
2022-06-01,2.41784291
2022-07-01,2.30604735
2022-08-01,2.20313636
2022-09-01,2.38401672
2022-10-01,2.43176381
2022-11-01,2.48150639
2022-12-01,2.30739437
2023-01-01,2.36521571
2023-02-01,2.22488174
2023-03-01,2.36373049
2023-04-01,2.2218237
2023-05-01,2.26975309
2023-06-01,1.99036477
2023-07-01,2.19498253
2023-08-01,2.2469824
2023-09-01,2.30577927
2023-10-01,2.41736251
2023-11-01,2.43374797
2023-12-01,2.33550325
