"Date","MED6"
1971-01-01,6.3
1971-02-01,6.01
1971-03-01,5.7
1971-04-01,6.34
1971-05-01,7.23
1971-06-01,7.33
1971-07-01,7.09
1971-08-01,8.13
1971-09-01,8.35
1971-10-01,6.75
1971-11-01,6.39
1971-12-01,6.38
1972-01-01,5.64
1972-02-01,5.54
1972-03-01,5.68
1972-04-01,5.85
1972-05-01,5.41
1972-06-01,5.45
1972-07-01,6.14
1972-08-01,6.08
1972-09-01,6.15
1972-10-01,6.22
1972-11-01,6.09
1972-12-01,6.22
1973-01-01,6.35
1973-02-01,7.37
1973-03-01,8.42
1973-04-01,8.32
1973-05-01,8.63
1973-06-01,8.89
1973-07-01,10.46
1973-08-01,11.47
1973-09-01,11.17
1973-10-01,9.49
1973-11-01,9.63
1973-12-01,10.37
1974-01-01,9.32
1974-02-01,8.49
1974-03-01,9.24
1974-04-01,10.49
1974-05-01,11.62
1974-06-01,12.03
1974-07-01,13.48
1974-08-01,13.64
1974-09-01,12.74
1974-10-01,10.97
1974-11-01,10.03
1974-12-01,10.28
1975-01-01,8.61
1975-02-01,7.48
1975-03-01,7.43
1975-04-01,7.91
1975-05-01,7.3
1975-06-01,6.94
1975-07-01,7.96
1975-08-01,8.19
1975-09-01,8.41
1975-10-01,7.86
1975-11-01,7.45
1975-12-01,7.3
1976-01-01,6.07
1976-02-01,6.17
1976-03-01,6.37
1976-04-01,5.99
1976-05-01,6.65
1976-06-01,6.92
1976-07-01,6.38
1976-08-01,6.18
1976-09-01,6
1976-10-01,5.79
1976-11-01,5.64
1976-12-01,5.28
1977-01-01,5.57
1977-02-01,5.56
1977-03-01,5.53
1977-04-01,5.45
1977-05-01,6.12
1977-06-01,6.13
1977-07-01,6.1
1977-08-01,6.51
1977-09-01,6.79
1977-10-01,7.44
1977-11-01,7.35
1977-12-01,7.46
1978-01-01,7.64
1978-02-01,7.64
1978-03-01,8.16
1978-04-01,7.75
1978-05-01,8.18
1978-06-01,8.78
1978-07-01,9.02
1978-08-01,8.81
1978-09-01,9.36
1978-10-01,10.43
1978-11-01,11.83
1978-12-01,12.03
1979-01-01,11.76
1979-02-01,11.06
1979-03-01,10.9
1979-04-01,10.77
1979-05-01,10.91
1979-06-01,10.52
1979-07-01,10.83
1979-08-01,11.52
1979-09-01,12.64
1979-10-01,14.49
1979-11-01,14.75
1979-12-01,14.28
1980-01-01,14.28
1980-02-01,15.38
1980-03-01,18.64
1980-04-01,17.11
1980-05-01,11.18
1980-06-01,9.47
1980-07-01,9.53
1980-08-01,11.21
1980-09-01,12.45
1980-10-01,13.52
1980-11-01,15.97
1980-12-01,17.82
1981-01-01,16.76
1981-02-01,17.02
1981-03-01,15.38
1981-04-01,15.93
1981-05-01,18.32
1981-06-01,17.03
1981-07-01,18.2
1981-08-01,18.78
1981-09-01,17.99
1981-10-01,16.61
1981-11-01,13.65
1981-12-01,13.99
1982-01-01,14.98
1982-02-01,15.8
1982-03-01,14.95
1982-04-01,15.2
1982-05-01,14.51
1982-06-01,15.59
1982-07-01,14.89
1982-08-01,12.5
1982-09-01,12.58
1982-10-01,10.66
1982-11-01,9.97
1982-12-01,9.71
1983-01-01,9.16
1983-02-01,9.4
1983-03-01,9.38
1983-04-01,9.33
