"Date","TP10L17"
2007-08-01,2.44
2007-09-01,2.24
2007-10-01,2.19
2007-11-01,1.75
2007-12-01,1.78
2008-01-01,1.42
2008-02-01,1.35
2008-03-01,1.03
2008-04-01,1.27
2008-05-01,1.38
2008-06-01,1.54
2008-07-01,1.48
2008-08-01,1.61
2008-09-01,1.81
2008-10-01,2.85
2008-11-01,3.32
2008-12-01,2.52
2009-01-01,2.21
2009-02-01,2.03
2009-03-01,1.93
2009-04-01,1.61
2009-05-01,1.72
2009-06-01,1.83
2009-07-01,1.81
2009-08-01,1.77
2009-09-01,1.55
2009-10-01,1.36
2009-11-01,1.1
2009-12-01,1.11
2010-01-01,1.08
2010-02-01,1.08
2010-03-01,1.13
2010-04-01,1.1
2010-05-01,0.89
2010-06-01,0.88
2010-07-01,0.83
2010-08-01,0.59
2010-09-01,0.5
2010-10-01,0.06
2010-11-01,0.11
2010-12-01,0.49
2011-01-01,0.38
2011-02-01,0.49
2011-03-01,0.19
2011-04-01,0.06
2011-05-01,-0.09
2011-06-01,-0.14
2011-07-01,-0.31
2011-08-01,-0.62
2011-09-01,-0.59
2011-10-01,-0.49
2011-11-01,-0.79
2011-12-01,-0.8
2012-01-01,-0.94
2012-02-01,-1.19
2012-03-01,-1.16
2012-04-01,-1.17
2012-05-01,-1.21
2012-06-01,-1.08
2012-07-01,-1.19
2012-08-01,-1.26
2012-09-01,-1.57
2012-10-01,-1.56
2012-11-01,-1.53
2012-12-01,-1.61
2013-01-01,-1.65
2013-02-01,-1.81
2013-03-01,-1.89
2013-04-01,-1.77
2013-05-01,-1.44
2013-06-01,-0.88
2013-07-01,-0.85
2013-08-01,-0.8
2013-09-01,-0.71
2013-10-01,-0.98
2013-11-01,-1.01
2013-12-01,-0.89
2014-01-01,-1.02
2014-02-01,-1.2
2014-03-01,-1.12
2014-04-01,-1.04
2014-05-01,-1.17
2014-06-01,-1.14
2014-07-01,-1.1
2014-08-01,-1
2014-09-01,-0.72
2014-10-01,-0.73
2014-11-01,-0.71
2014-12-01,-0.33
2015-01-01,-0.49
2015-02-01,-0.84
2015-03-01,-0.94
2015-04-01,-1.25
2015-05-01,-1.09
2015-06-01,-0.92
2015-07-01,-0.69
2015-08-01,-0.12
2015-09-01,-0.04
2015-10-01,-0.21
2015-11-01,-0.23
2015-12-01,-0.22
2016-01-01,-0.37
2016-02-01,-0.64
2016-03-01,-1.2
2016-04-01,-1.35
2016-05-01,-1.38
2016-06-01,-1.34
2016-07-01,-1.04
2016-08-01,-0.76
2016-09-01,-0.96
2016-10-01,-1.44
2016-11-01,-1.23
2016-12-01,-1.54
2017-01-01,-2.21
2017-02-01,-2.97
2017-03-01,-2.56
2017-04-01,-2.17
2017-05-01,-1.64
2017-06-01,-1.83
