"Date","ATLSBUBEI"
2015-01-01,88.33562
2015-02-01,89.52779
2015-03-01,93.91851
2015-04-01,91.43681
2015-05-01,92.69312
2015-06-01,92.05122
2015-07-01,89.2875
2015-08-01,97.53385
2015-09-01,99.45322
2015-10-01,97.05824
2015-11-01,97.81676
2015-12-01,95.83467
2016-01-01,96.92968
2016-02-01,94.83401
2016-03-01,95.93616
2016-04-01,98.02985
2016-05-01,89.17377
2016-06-01,88.31049
2016-07-01,88.90655
2016-08-01,87.27869
2016-09-01,90.17211
2016-10-01,92.21151
2016-11-01,95.13334
2016-12-01,95.1319
2017-01-01,92.7454
2017-02-01,102.2772
2017-03-01,103.5058
2017-04-01,107.1968
2017-05-01,101.6792
2017-06-01,98.18374
2017-07-01,89.59905
2017-08-01,95.43449
2017-09-01,93.03184
2017-10-01,98.49754
2017-11-01,94.16138
2017-12-01,107.2039
2018-01-01,107.882
2018-02-01,110.2291
2018-03-01,109.2534
2018-04-01,115.5923
2018-05-01,114.632
2018-06-01,113.5369
2018-07-01,115.1182
2018-08-01,117.0967
2018-09-01,117.7053
2018-10-01,120.5285
2018-11-01,121.642
2018-12-01,116.2718
2019-01-01,104.424
2019-02-01,96.30399
2019-03-01,95.99884
2019-04-01,101.5169
2019-05-01,104.8812
2019-06-01,104.2395
2019-07-01,94.88969
2019-08-01,92.38857
2019-09-01,87.7662
2019-10-01,88.61639
2019-11-01,90.90861
2019-12-01,93.02451
2020-01-01,103.0721
2020-02-01,103.8947
2020-03-01,83.71452
2020-04-01,47.50996
2020-05-01,25.52114
2020-06-01,34.52319
2020-07-01,56.97071
