"Date","UTSLIND"
1982-01-01,0.1
1982-02-01,0.12
1982-03-01,0.67
1982-04-01,-0.14
1982-05-01,0.27
1982-06-01,0.04
1982-07-01,-0.01
1982-08-01,-0.64
1982-09-01,-1.21
1982-10-01,0.39
1982-11-01,1.01
1982-12-01,1.84
1983-01-01,1.82
1983-02-01,2.17
1983-03-01,2.14
1983-04-01,2.66
1983-05-01,2.77
1983-06-01,3.91
1983-07-01,4.19
1983-08-01,4.41
1983-09-01,5.15
1983-10-01,5.04
1983-11-01,4.87
1983-12-01,4.07
1984-01-01,3.02
1984-02-01,3.59
1984-03-01,3.32
1984-04-01,3.86
1984-05-01,2.78
1984-06-01,3.1
1984-07-01,1.8
1984-08-01,2.06
1984-09-01,1.39
1984-10-01,1.56
1984-11-01,1.17
1984-12-01,1.31
1985-01-01,1.47
1985-02-01,1.38
1985-03-01,1.43
1985-04-01,1.87
1985-05-01,2.57
1985-06-01,2.62
1985-07-01,2.76
1985-08-01,2.77
1985-09-01,2.89
1985-10-01,2.05
1985-11-01,0.93
1985-12-01,1.68
1986-01-01,1.69
1986-02-01,2.46
1986-03-01,2.75
1986-04-01,1.88
1986-05-01,1.25
1986-06-01,0.75
1986-07-01,1.07
1986-08-01,1.14
1986-09-01,0.88
1986-10-01,1.45
1986-11-01,2.14
1986-12-01,2
1987-01-01,2.41
1987-02-01,2.28
1987-03-01,2.52
1987-04-01,2.74
1987-05-01,2.88
1987-06-01,3.15
1987-07-01,2.94
1987-08-01,3.37
1987-09-01,2.68
1987-10-01,3.13
1987-11-01,3.18
1987-12-01,3.37
1988-01-01,3.33
1988-02-01,3.02
1988-03-01,2.83
1988-04-01,2.64
1988-05-01,2.91
1988-06-01,2.99
1988-07-01,3.07
1988-08-01,1.94
1988-09-01,2
1988-10-01,2.84
1988-11-01,2.6
1988-12-01,2.08
1989-01-01,2.22
1989-02-01,2.31
1989-03-01,1.63
1989-04-01,1.55
1989-05-01,1.4
1989-06-01,1.11
1989-07-01,1.51
1989-08-01,1.5
1989-09-01,1.53
1989-10-01,1.7
1989-11-01,1.95
1989-12-01,1.59
1990-01-01,1.32
1990-02-01,1.17
1990-03-01,0.97
1990-04-01,1.12
1990-05-01,1.43
1990-06-01,2.25
1990-07-01,1.95
1990-08-01,2.13
1990-09-01,1.83
1990-10-01,1.06
1990-11-01,0.93
1990-12-01,0.49
1991-01-01,0.74
1991-02-01,1.35
1991-03-01,1.38
1991-04-01,1.89
1991-05-01,1.33
1991-06-01,1.31
1991-07-01,1.81
1991-08-01,1.27
1991-09-01,1.23
1991-10-01,1.31
1991-11-01,1.2
1991-12-01,1.84
1992-01-01,1.93
1992-02-01,1.58
1992-03-01,2.27
1992-04-01,2.59
1992-05-01,2.57
1992-06-01,2.32
1992-07-01,2.66
1992-08-01,1.93
1992-09-01,2.04
1992-10-01,2.41
1992-11-01,2.1
1992-12-01,2.86
1993-01-01,2.06
1993-02-01,2.6
1993-03-01,2.76
1993-04-01,2.69
1993-05-01,2.75
1993-06-01,2.65
