"Date","TP10J16"
2006-02-01,2.04
2006-03-01,2.19
2006-04-01,2.4
2006-05-01,2.43
2006-06-01,2.52
2006-07-01,2.5
2006-08-01,2.29
2006-09-01,2.32
2006-10-01,2.42
2006-11-01,2.3
2006-12-01,2.26
2007-01-01,2.44
2007-02-01,2.35
2007-03-01,2.16
2007-04-01,2.23
2007-05-01,2.35
2007-06-01,2.68
2007-07-01,2.65
2007-08-01,2.47
2007-09-01,2.27
2007-10-01,2.19
2007-11-01,1.72
2007-12-01,1.72
2008-01-01,1.32
2008-02-01,1.21
2008-03-01,0.87
2008-04-01,1.12
2008-05-01,1.25
2008-06-01,1.41
2008-07-01,1.34
2008-08-01,1.56
2008-09-01,1.74
2008-10-01,2.97
2008-11-01,3.82
2008-12-01,2.87
2009-01-01,2.36
2009-02-01,2.11
2009-03-01,1.99
2009-04-01,1.59
2009-05-01,1.72
2009-06-01,1.8
2009-07-01,1.79
2009-08-01,1.77
2009-09-01,1.46
2009-10-01,1.27
2009-11-01,0.94
2009-12-01,0.91
2010-01-01,0.85
2010-02-01,0.82
2010-03-01,0.85
2010-04-01,0.82
2010-05-01,0.63
2010-06-01,0.67
2010-07-01,0.64
2010-08-01,0.4
2010-09-01,0.34
2010-10-01,-0.15
2010-11-01,-0.13
2010-12-01,0.24
2011-01-01,0.04
2011-02-01,0.12
2011-03-01,-0.23
2011-04-01,-0.37
2011-05-01,-0.52
2011-06-01,-0.55
2011-07-01,-0.69
2011-08-01,-0.84
2011-09-01,-0.76
2011-10-01,-0.69
2011-11-01,-0.96
2011-12-01,-0.92
2012-01-01,-1.08
2012-02-01,-1.41
2012-03-01,-1.39
2012-04-01,-1.36
2012-05-01,-1.29
2012-06-01,-1.06
2012-07-01,-1.15
2012-08-01,-1.29
2012-09-01,-1.6
2012-10-01,-1.54
2012-11-01,-1.41
2012-12-01,-1.51
2013-01-01,-1.65
2013-02-01,-1.9
2013-03-01,-1.96
2013-04-01,-1.71
2013-05-01,-1.37
2013-06-01,-0.97
2013-07-01,-1.14
2013-08-01,-1.03
2013-09-01,-0.94
2013-10-01,-1.1
2013-11-01,-1.11
2013-12-01,-1.12
2014-01-01,-1.31
2014-02-01,-1.54
2014-03-01,-1.51
2014-04-01,-1.48
2014-05-01,-1.49
2014-06-01,-1.44
2014-07-01,-1.38
2014-08-01,-1.17
2014-09-01,-0.9
2014-10-01,-0.72
2014-11-01,-0.67
2014-12-01,0.18
2015-01-01,0.44
2015-02-01,-0.54
2015-03-01,-1.1
2015-04-01,-1.5
2015-05-01,-1.22
2015-06-01,-0.81
2015-07-01,0.04
2015-08-01,1.8
2015-09-01,2.7
2015-10-01,2.4
2015-11-01,2.01
2015-12-01,1.77
