"Date","NDRRCA60MCD"
2021-04-01,1.03
2021-05-01,0.99
2021-06-01,1.02
2021-07-01,1.01
2021-08-01,1.01
2021-09-01,1.02
2021-10-01,1.02
2021-11-01,1.02
2021-12-01,0.99
2022-01-01,1.03
2022-02-01,1.03
2022-03-01,1.03
2022-04-01,1.04
2022-05-01,1.07
2022-06-01,1.14
2022-07-01,1.32
2022-08-01,1.39
2022-09-01,1.49
2022-10-01,1.58
2022-11-01,1.73
2022-12-01,1.84
2023-01-01,1.96
2023-02-01,2.01
2023-03-01,2.1
2023-04-01,2.1
2023-05-01,2.12
2023-06-01,2.12
2023-07-01,2.12
2023-08-01,2.12
2023-09-01,2.13
2023-10-01,2.13
2023-11-01,2.13
