"Date","TP10J21"
2011-01-01,1.118
2011-02-01,1.23
2011-03-01,0.955
2011-04-01,0.821
2011-05-01,0.719
2011-06-01,0.687
2011-07-01,0.538
2011-08-01,0.037
2011-09-01,-0.009
2011-10-01,0.113
2011-11-01,-0.081
2011-12-01,-0.139
2012-01-01,-0.254
2012-02-01,-0.442
2012-03-01,-0.337
2012-04-01,-0.432
2012-05-01,-0.577
2012-06-01,-0.674
2012-07-01,-0.75
2012-08-01,-0.724
2012-09-01,-0.924
2012-10-01,-1
2012-11-01,-1.001
2012-12-01,-1.022
2013-01-01,-0.939
2013-02-01,-0.967
2013-03-01,-1.028
2013-04-01,-1.093
2013-05-01,-0.776
2013-06-01,-0.11
2013-07-01,0.098
2013-08-01,0.19
2013-09-01,0.292
2013-10-01,0.02
2013-11-01,0.089
2013-12-01,0.297
2014-01-01,0.194
2014-02-01,0.046
2014-03-01,0.084
2014-04-01,0.132
2014-05-01,-0.034
2014-06-01,-0.029
2014-07-01,-0.108
2014-08-01,-0.083
2014-09-01,0.211
2014-10-01,0.152
2014-11-01,0.194
2014-12-01,0.351
2015-01-01,0.133
2015-02-01,-0.013
2015-03-01,-0.027
2015-04-01,-0.277
2015-05-01,-0.052
2015-06-01,0.088
2015-07-01,0.133
2015-08-01,0.305
2015-09-01,0.363
2015-10-01,0.219
2015-11-01,0.384
2015-12-01,0.441
2016-01-01,0.308
2016-02-01,0.11
2016-03-01,-0.082
2016-04-01,-0.282
2016-05-01,-0.266
2016-06-01,-0.332
2016-07-01,-0.383
2016-08-01,-0.234
2016-09-01,-0.244
2016-10-01,-0.366
2016-11-01,-0.19
2016-12-01,-0.029
2017-01-01,-0.23
2017-02-01,-0.335
2017-03-01,-0.226
2017-04-01,-0.272
2017-05-01,-0.149
2017-06-01,-0.07
2017-07-01,0.02
2017-08-01,-0.078
2017-09-01,-0.16
2017-10-01,-0.043
2017-11-01,0.031
2017-12-01,0.196
2018-01-01,0.178
2018-02-01,0.317
2018-03-01,0.277
2018-04-01,0.385
2018-05-01,0.513
2018-06-01,0.599
2018-07-01,0.722
2018-08-01,0.805
2018-09-01,0.844
2018-10-01,0.959
2018-11-01,1.137
2018-12-01,1.285
2019-01-01,1.096
2019-02-01,0.742
2019-03-01,0.47
2019-04-01,0.401
2019-05-01,0.572
2019-06-01,0.608
2019-07-01,0.704
2019-08-01,0.772
2019-09-01,0.788
2019-10-01,0.666
2019-11-01,0.451
2019-12-01,0.284
2020-01-01,0.169
2020-02-01,0.029
2020-03-01,1.262
2020-04-01,2.106
2020-05-01,1.657
2020-06-01,0.003
2020-07-01,-0.999
