"Date","HQMCB16Y6M"
1984-01-01,12
1984-02-01,12.16
1984-03-01,12.53
1984-04-01,12.58
1984-05-01,12.97
1984-06-01,12.92
1984-07-01,12.97
1984-08-01,12.61
1984-09-01,12.55
1984-10-01,12.43
1984-11-01,12.18
1984-12-01,12.21
1985-01-01,12.04
1985-02-01,11.96
1985-03-01,12.27
1985-04-01,11.98
1985-05-01,11.73
1985-06-01,11.36
1985-07-01,11.49
1985-08-01,11.4
1985-09-01,11.46
1985-10-01,11.23
1985-11-01,10.82
1985-12-01,10.55
1986-01-01,10.03
1986-02-01,9.92
1986-03-01,9.48
1986-04-01,9.13
1986-05-01,9.2
1986-06-01,9.4
1986-07-01,9.51
1986-08-01,9.41
1986-09-01,9.49
1986-10-01,9.64
1986-11-01,9.53
1986-12-01,9.28
1987-01-01,8.89
1987-02-01,8.92
1987-03-01,8.82
1987-04-01,9.44
1987-05-01,9.92
1987-06-01,9.91
1987-07-01,10.04
1987-08-01,10.27
1987-09-01,10.73
1987-10-01,10.85
1987-11-01,10.3
1987-12-01,10.35
1988-01-01,10.01
1988-02-01,9.59
1988-03-01,9.67
1988-04-01,9.96
1988-05-01,10.28
1988-06-01,10.14
1988-07-01,10.22
1988-08-01,10.29
1988-09-01,10.07
1988-10-01,9.87
1988-11-01,9.87
1988-12-01,9.88
1989-01-01,9.82
1989-02-01,9.86
1989-03-01,9.98
1989-04-01,9.82
1989-05-01,9.65
1989-06-01,9.23
1989-07-01,9.03
1989-08-01,9.02
1989-09-01,9.08
1989-10-01,8.98
1989-11-01,8.91
1989-12-01,8.95
1990-01-01,9.17
1990-02-01,9.4
1990-03-01,9.45
1990-04-01,9.59
1990-05-01,9.64
1990-06-01,9.46
1990-07-01,9.47
1990-08-01,9.84
1990-09-01,10
1990-10-01,10.02
1990-11-01,9.89
1990-12-01,9.66
1991-01-01,9.63
1991-02-01,9.39
1991-03-01,9.55
1991-04-01,9.39
1991-05-01,9.4
1991-06-01,9.53
1991-07-01,9.52
1991-08-01,9.29
1991-09-01,9.14
1991-10-01,9.16
1991-11-01,9.15
1991-12-01,8.84
1992-01-01,8.68
1992-02-01,8.89
1992-03-01,8.95
1992-04-01,8.89
1992-05-01,8.83
1992-06-01,8.71
1992-07-01,8.52
1992-08-01,8.32
1992-09-01,8.24
1992-10-01,8.42
1992-11-01,8.53
1992-12-01,8.36
1993-01-01,8.25
1993-02-01,7.94
1993-03-01,7.68
1993-04-01,7.7
1993-05-01,7.76
1993-06-01,7.65
1993-07-01,7.44
1993-08-01,7.21
1993-09-01,6.94
1993-10-01,6.91
1993-11-01,7.22
1993-12-01,7.22
1994-01-01,7.22
1994-02-01,7.38
1994-03-01,7.81
1994-04-01,8.23
1994-05-01,8.35
1994-06-01,8.33
1994-07-01,8.49
1994-08-01,8.41
1994-09-01,8.65
1994-10-01,8.87
1994-11-01,8.96
1994-12-01,8.7
1995-01-01,8.66
1995-02-01,8.44
1995-03-01,8.31
1995-04-01,8.22
1995-05-01,7.81
1995-06-01,7.42
1995-07-01,7.55
1995-08-01,7.73
1995-09-01,7.43
1995-10-01,7.23
1995-11-01,7.13
1995-12-01,6.9
1996-01-01,6.89
1996-02-01,7.15
1996-03-01,7.51
1996-04-01,7.68
1996-05-01,7.84
1996-06-01,7.97
1996-07-01,7.92
1996-08-01,7.7
1996-09-01,7.89
1996-10-01,7.62
1996-11-01,7.28
1996-12-01,7.38
1997-01-01,7.63
1997-02-01,7.48
1997-03-01,7.72
1997-04-01,7.9
1997-05-01,7.76
1997-06-01,7.55
1997-07-01,7.25
1997-08-01,7.33
1997-09-01,7.22
1997-10-01,7.08
1997-11-01,6.95
1997-12-01,6.84
1998-01-01,6.7
1998-02-01,6.77
1998-03-01,6.81
1998-04-01,6.77
1998-05-01,6.77
1998-06-01,6.58
1998-07-01,6.62
1998-08-01,6.65
1998-09-01,6.56
1998-10-01,6.54
1998-11-01,6.68
1998-12-01,6.44
1999-01-01,6.45
1999-02-01,6.62
1999-03-01,6.82
1999-04-01,6.8
1999-05-01,7.15
1999-06-01,7.51
1999-07-01,7.46
1999-08-01,7.66
1999-09-01,7.66
1999-10-01,7.79
1999-11-01,7.59
1999-12-01,7.8
2000-01-01,8.06
2000-02-01,7.92
2000-03-01,7.91
2000-04-01,7.89
2000-05-01,8.37
2000-06-01,8.04
2000-07-01,7.94
2000-08-01,7.83
2000-09-01,7.98
2000-10-01,8.02
2000-11-01,7.97
2000-12-01,7.69
2001-01-01,7.5
2001-02-01,7.4
2001-03-01,7.27
2001-04-01,7.55
2001-05-01,7.55
2001-06-01,7.4
2001-07-01,7.36
2001-08-01,7.18
2001-09-01,7.45
2001-10-01,7.16
2001-11-01,6.88
2001-12-01,7.09
2002-01-01,6.97
2002-02-01,6.88
2002-03-01,7.15
2002-04-01,7.15
2002-05-01,7.18
2002-06-01,7
2002-07-01,7.07
2002-08-01,6.92
2002-09-01,6.57
2002-10-01,6.73
2002-11-01,6.54
2002-12-01,6.38
2003-01-01,6.28
2003-02-01,6.13
2003-03-01,6.08
2003-04-01,6.06
2003-05-01,5.62
2003-06-01,5.42
2003-07-01,6
2003-08-01,6.45
2003-09-01,6.24
2003-10-01,6.22
2003-11-01,6.15
2003-12-01,6.1
2004-01-01,5.98
2004-02-01,5.93
2004-03-01,5.72
2004-04-01,6.17
2004-05-01,6.51
2004-06-01,6.49
2004-07-01,6.29
2004-08-01,6.09
2004-09-01,5.91
2004-10-01,5.86
2004-11-01,5.86
2004-12-01,5.82
2005-01-01,5.7
2005-02-01,5.51
2005-03-01,5.76
2005-04-01,5.68
2005-05-01,5.53
2005-06-01,5.32
2005-07-01,5.44
2005-08-01,5.47
2005-09-01,5.49
2005-10-01,5.73
2005-11-01,5.82
2005-12-01,5.75
2006-01-01,5.69
2006-02-01,5.77
2006-03-01,5.94
2006-04-01,6.26
2006-05-01,6.4
2006-06-01,6.4
2006-07-01,6.38
2006-08-01,6.18
2006-09-01,6.01
2006-10-01,6
2006-11-01,5.82
2006-12-01,5.79
2007-01-01,5.95
2007-02-01,5.95
2007-03-01,5.9
2007-04-01,6.03
2007-05-01,6.05
2007-06-01,6.37
2007-07-01,6.38
2007-08-01,6.39
2007-09-01,6.32
2007-10-01,6.21
2007-11-01,6.23
2007-12-01,6.39
2008-01-01,6.37
2008-02-01,6.6
2008-03-01,6.77
2008-04-01,6.64
2008-05-01,6.7
2008-06-01,6.94
2008-07-01,7.11
2008-08-01,7.07
2008-09-01,7.44
2008-10-01,8.54
2008-11-01,8.37
2008-12-01,7.18
2009-01-01,6.98
2009-02-01,7.22
2009-03-01,7.62
2009-04-01,7.32
2009-05-01,7.27
2009-06-01,6.85
2009-07-01,6.65
2009-08-01,6.33
2009-09-01,6.04
2009-10-01,6
2009-11-01,6.05
2009-12-01,6.18
2010-01-01,6.17
2010-02-01,6.3
2010-03-01,6.18
2010-04-01,6.1
2010-05-01,5.88
2010-06-01,5.82
2010-07-01,5.63
2010-08-01,5.39
2010-09-01,5.34
2010-10-01,5.42
2010-11-01,5.61
2010-12-01,5.8
2011-01-01,5.83
2011-02-01,5.91
2011-03-01,5.82
2011-04-01,5.8
2011-05-01,5.59
2011-06-01,5.61
2011-07-01,5.59
2011-08-01,5.19
2011-09-01,5
2011-10-01,5.02
2011-11-01,4.95
2011-12-01,4.91
2012-01-01,4.87
2012-02-01,4.85
2012-03-01,4.96
2012-04-01,4.91
2012-05-01,4.7
2012-06-01,4.54
2012-07-01,4.28
2012-08-01,4.36
2012-09-01,4.41
2012-10-01,4.27
2012-11-01,4.2
2012-12-01,4.29
2013-01-01,4.46
2013-02-01,4.56
2013-03-01,4.58
2013-04-01,4.35
2013-05-01,4.51
