"Date","HQMCB5YR"
1984-01-01,12.09
1984-02-01,12.29
1984-03-01,12.63
1984-04-01,12.98
1984-05-01,13.72
1984-06-01,14.16
1984-07-01,14.06
1984-08-01,13.37
1984-09-01,13.22
1984-10-01,12.79
1984-11-01,12.27
1984-12-01,12.05
1985-01-01,11.96
1985-02-01,11.63
1985-03-01,11.96
1985-04-01,11.61
1985-05-01,11.18
1985-06-01,10.66
1985-07-01,10.7
1985-08-01,10.97
1985-09-01,10.96
1985-10-01,10.89
1985-11-01,10.57
1985-12-01,10.07
1986-01-01,9.9
1986-02-01,9.61
1986-03-01,9
1986-04-01,8.73
1986-05-01,8.87
1986-06-01,9.1
1986-07-01,8.55
1986-08-01,8.39
1986-09-01,8.37
1986-10-01,8.24
1986-11-01,7.94
1986-12-01,7.78
1987-01-01,7.73
1987-02-01,7.78
1987-03-01,7.75
1987-04-01,8.31
1987-05-01,8.92
1987-06-01,8.84
1987-07-01,8.79
1987-08-01,9.02
1987-09-01,9.61
1987-10-01,9.9
1987-11-01,9.4
1987-12-01,9.47
1988-01-01,9.25
1988-02-01,8.84
1988-03-01,8.89
1988-04-01,9.15
1988-05-01,9.32
1988-06-01,9.32
1988-07-01,9.42
1988-08-01,9.58
1988-09-01,9.46
1988-10-01,9.35
1988-11-01,9.57
1988-12-01,9.81
1989-01-01,9.9
1989-02-01,9.95
1989-03-01,10.2
1989-04-01,10.2
1989-05-01,9.89
1989-06-01,9.31
1989-07-01,8.99
1989-08-01,9.01
1989-09-01,9.15
1989-10-01,8.98
1989-11-01,8.84
1989-12-01,8.84
1990-01-01,9.13
1990-02-01,9.4
1990-03-01,9.5
1990-04-01,9.67
1990-05-01,9.69
1990-06-01,9.39
1990-07-01,9.4
1990-08-01,9.49
1990-09-01,9.59
1990-10-01,9.73
1990-11-01,9.61
1990-12-01,9.33
1991-01-01,9.3
1991-02-01,9.02
1991-03-01,9.01
1991-04-01,8.8
1991-05-01,8.78
1991-06-01,8.9
1991-07-01,8.95
1991-08-01,8.52
1991-09-01,8.18
1991-10-01,7.77
1991-11-01,7.65
1991-12-01,7.41
1992-01-01,7.34
1992-02-01,7.69
1992-03-01,7.91
1992-04-01,7.78
1992-05-01,7.68
1992-06-01,7.48
1992-07-01,6.96
1992-08-01,6.72
1992-09-01,6.5
1992-10-01,6.72
1992-11-01,7.13
1992-12-01,7.09
1993-01-01,6.91
1993-02-01,6.44
1993-03-01,6.16
1993-04-01,6.07
1993-05-01,6.1
1993-06-01,6.1
1993-07-01,5.92
1993-08-01,5.82
1993-09-01,5.52
1993-10-01,5.49
1993-11-01,5.8
1993-12-01,5.81
1994-01-01,5.7
1994-02-01,5.99
1994-03-01,6.54
1994-04-01,7.25
1994-05-01,7.48
1994-06-01,7.4
1994-07-01,7.58
1994-08-01,7.54
1994-09-01,7.74
1994-10-01,8.05
1994-11-01,8.36
1994-12-01,8.42
1995-01-01,8.43
1995-02-01,8.06
1995-03-01,7.7
1995-04-01,7.48
1995-05-01,7.01
1995-06-01,6.55
1995-07-01,6.66
1995-08-01,6.88
1995-09-01,6.62
1995-10-01,6.44
1995-11-01,6.28
1995-12-01,6.1
1996-01-01,5.96
1996-02-01,5.98
1996-03-01,6.58
1996-04-01,6.89
1996-05-01,7.04
1996-06-01,7.23
1996-07-01,7.16
1996-08-01,6.92
1996-09-01,7.13
1996-10-01,6.79
1996-11-01,6.49
1996-12-01,6.61
1997-01-01,6.87
1997-02-01,6.71
1997-03-01,7.03
1997-04-01,7.26
1997-05-01,7.07
1997-06-01,6.86
1997-07-01,6.6
1997-08-01,6.68
1997-09-01,6.61
1997-10-01,6.47
1997-11-01,6.42
1997-12-01,6.38
1998-01-01,6.05
1998-02-01,6.13
1998-03-01,6.22
1998-04-01,6.21
1998-05-01,6.22
1998-06-01,6.13
1998-07-01,6.09
1998-08-01,6
1998-09-01,5.61
1998-10-01,5.58
1998-11-01,5.8
1998-12-01,5.61
1999-01-01,5.67
1999-02-01,5.91
1999-03-01,6.13
1999-04-01,6.04
1999-05-01,6.39
1999-06-01,6.85
1999-07-01,6.77
1999-08-01,7.07
1999-09-01,7.02
1999-10-01,7.21
1999-11-01,7.04
1999-12-01,7.23
2000-01-01,7.6
2000-02-01,7.78
2000-03-01,7.7
2000-04-01,7.59
2000-05-01,8.13
2000-06-01,7.73
2000-07-01,7.63
2000-08-01,7.48
2000-09-01,7.32
2000-10-01,7.27
2000-11-01,7.31
2000-12-01,6.88
2001-01-01,6.55
2001-02-01,6.46
2001-03-01,6.21
2001-04-01,6.26
2001-05-01,6.38
2001-06-01,6.23
2001-07-01,6.16
2001-08-01,5.89
2001-09-01,5.69
2001-10-01,5.46
2001-11-01,5.44
2001-12-01,5.81
2002-01-01,5.68
2002-02-01,5.65
2002-03-01,5.98
2002-04-01,5.84
2002-05-01,5.72
2002-06-01,5.36
2002-07-01,5.14
2002-08-01,4.86
2002-09-01,4.46
2002-10-01,4.7
2002-11-01,4.61
2002-12-01,4.42
2003-01-01,4.32
2003-02-01,4.06
2003-03-01,3.91
2003-04-01,3.95
2003-05-01,3.45
2003-06-01,3.17
2003-07-01,3.71
2003-08-01,4.31
2003-09-01,4.06
2003-10-01,4.01
2003-11-01,4.06
2003-12-01,4.02
2004-01-01,3.84
2004-02-01,3.81
2004-03-01,3.52
2004-04-01,4.12
2004-05-01,4.65
2004-06-01,4.73
2004-07-01,4.48
2004-08-01,4.29
2004-09-01,4.11
2004-10-01,4.08
2004-11-01,4.19
2004-12-01,4.21
2005-01-01,4.3
2005-02-01,4.33
