"Date","M1319AUSM156NNBR"
1857-01-01,9.64
1857-02-01,9.58
1857-03-01,9.59
1857-04-01,9.63
1857-05-01,9.73
1857-06-01,9.95
1857-07-01,9.99
1857-08-01,10.09
1857-09-01,11.13
1857-10-01,11.93
1857-11-01,11.1
1857-12-01,10.66
1858-01-01,10.38
1858-02-01,9.86
1858-03-01,9.52
1858-04-01,9.48
1858-05-01,9.38
1858-06-01,9.32
1858-07-01,9.26
1858-08-01,9.26
1858-09-01,9.15
1858-10-01,8.91
1858-11-01,8.8
1858-12-01,8.77
1859-01-01,8.78
1859-02-01,8.76
1859-03-01,8.76
1859-04-01,8.73
1859-05-01,8.89
1859-06-01,9.12
1859-07-01,9.11
1859-08-01,9.05
1859-09-01,8.87
1859-10-01,8.92
1859-11-01,8.97
1859-12-01,8.94
1860-01-01,8.92
1860-02-01,8.86
1860-03-01,8.78
1860-04-01,8.67
1860-05-01,8.51
1860-06-01,8.36
1860-07-01,8.29
1860-08-01,8.26
1860-09-01,8.27
1860-10-01,8.33
1860-11-01,8.73
1860-12-01,9.12
1861-01-01,8.78
1861-02-01,8.69
1861-03-01,8.6
1861-04-01,8.68
1861-05-01,9.13
1861-06-01,9.06
1861-07-01,8.81
1861-08-01,8.83
1861-09-01,8.96
1861-10-01,9.04
1861-11-01,8.97
1861-12-01,8.95
1862-01-01,8.51
1862-02-01,8.17
1862-03-01,8.24
1862-04-01,8.16
1862-05-01,7.73
1862-06-01,7.52
1862-07-01,7.57
1862-08-01,7.4
1862-09-01,7.15
1862-10-01,6.86
1862-11-01,6.7
1862-12-01,6.74
1863-01-01,6.19
1863-02-01,5.98
1863-03-01,6.06
1863-04-01,6.32
1863-05-01,6.32
1863-06-01,6.38
1863-07-01,6.43
1863-08-01,6.46
1863-09-01,6.44
1863-10-01,6.38
1863-11-01,6.51
1863-12-01,6.62
1864-01-01,6.7
1864-02-01,6.64
1864-03-01,6.42
1864-04-01,6.17
1864-05-01,6.14
1864-06-01,6.02
1864-07-01,5.65
1864-08-01,5.66
1864-09-01,6.07
1864-10-01,6.55
1864-11-01,6.48
1864-12-01,6.66
1865-01-01,6.91
1865-02-01,7.1
1865-03-01,7.47
1865-04-01,7.58
1865-05-01,7.54
1865-06-01,7.85
1865-07-01,7.7
1865-08-01,7.73
1865-09-01,7.78
1865-10-01,7.87
1865-11-01,7.99
1865-12-01,8.05
1866-01-01,8.14
1866-02-01,8.19
1866-03-01,8.27
1866-04-01,8.2
1866-05-01,8.04
1866-06-01,7.99
1866-07-01,7.87
1866-08-01,7.8
1866-09-01,7.75
1866-10-01,7.72
1866-11-01,7.67
1866-12-01,7.79
1867-01-01,7.82
1867-02-01,7.84
1867-03-01,7.86
1867-04-01,7.91
1867-05-01,7.93
1867-06-01,7.93
1867-07-01,7.78
1867-08-01,7.77
1867-09-01,7.78
1867-10-01,7.88
1867-11-01,7.95
1867-12-01,7.98
1868-01-01,7.86
1868-02-01,7.77
1868-03-01,7.74
1868-04-01,7.78
1868-05-01,7.72
1868-06-01,7.7
1868-07-01,7.69
1868-08-01,7.71
1868-09-01,7.79
1868-10-01,7.87
1868-11-01,7.96
1868-12-01,8.03
1869-01-01,8.04
1869-02-01,8.05
1869-03-01,8.1
1869-04-01,8.13
1869-05-01,8.02
1869-06-01,8
1869-07-01,8.08
1869-08-01,8.06
1869-09-01,8.15
1869-10-01,8.26
1869-11-01,8.3
1869-12-01,8.35
1870-01-01,8.26
1870-02-01,8.01
1870-03-01,7.9
1870-04-01,7.93
1870-05-01,7.86
1870-06-01,7.8
1870-07-01,7.78
1870-08-01,7.86
1870-09-01,7.89
1870-10-01,7.9
1870-11-01,7.92
1870-12-01,7.96
1871-01-01,7.89
1871-02-01,7.84
1871-03-01,7.82
1871-04-01,7.8
1871-05-01,7.74
1871-06-01,7.73
1871-07-01,7.72
1871-08-01,7.68
1871-09-01,7.65
1871-10-01,7.8
1871-11-01,7.85
1871-12-01,7.79
1872-01-01,7.56
1872-02-01,7.52
1872-03-01,7.61
1872-04-01,7.6
1872-05-01,7.6
1872-06-01,7.56
1872-07-01,7.46
1872-08-01,7.54
1872-09-01,7.62
1872-10-01,7.67
1872-11-01,7.73
1872-12-01,7.74
1873-01-01,7.66
1873-02-01,7.64
1873-03-01,7.66
1873-04-01,7.69
1873-05-01,7.67
1873-06-01,7.63
1873-07-01,7.58
1873-08-01,7.59
1873-09-01,7.73
1873-10-01,8.15
1873-11-01,8.18
1873-12-01,7.95
1874-01-01,7.68
1874-02-01,7.57
1874-03-01,7.57
1874-04-01,7.55
1874-05-01,7.62
1874-06-01,7.56
1874-07-01,7.56
1874-08-01,7.56
1874-09-01,7.52
1874-10-01,7.46
1874-11-01,7.35
1874-12-01,7.34
1875-01-01,7.26
1875-02-01,7.21
1875-03-01,7.2
1875-04-01,7.1
1875-05-01,7.06
1875-06-01,7.09
1875-07-01,7.02
1875-08-01,7.01
1875-09-01,6.96
1875-10-01,7
1875-11-01,6.95
1875-12-01,6.87
1876-01-01,6.8
1876-02-01,6.72
1876-03-01,6.67
1876-04-01,6.7
1876-05-01,6.74
1876-06-01,6.7
1876-07-01,6.62
1876-08-01,6.58
1876-09-01,6.67
1876-10-01,6.68
1876-11-01,6.66
1876-12-01,6.65
1877-01-01,6.61
1877-02-01,6.65
1877-03-01,6.74
1877-04-01,6.75
1877-05-01,6.69
1877-06-01,6.6
1877-07-01,6.54
1877-08-01,6.57
1877-09-01,6.59
1877-10-01,6.62
1877-11-01,6.6
1877-12-01,6.55
1878-01-01,6.54
1878-02-01,6.53
1878-03-01,6.53
1878-04-01,6.53
1878-05-01,6.49
1878-06-01,6.4
1878-07-01,6.4
1878-08-01,6.44
1878-09-01,6.43
1878-10-01,6.4
1878-11-01,6.35
1878-12-01,6.32
1879-01-01,6.19
1879-02-01,6.02
1879-03-01,6.12
1879-04-01,6.12
1879-05-01,5.97
1879-06-01,5.92
1879-07-01,5.86
1879-08-01,5.86
1879-09-01,5.96
1879-10-01,5.94
1879-11-01,5.92
1879-12-01,5.88
1880-01-01,5.82
1880-02-01,5.75
1880-03-01,5.73
1880-04-01,5.75
1880-05-01,5.74
1880-06-01,5.69
1880-07-01,5.6
1880-08-01,5.54
1880-09-01,5.5
1880-10-01,5.45
1880-11-01,5.33
1880-12-01,5.24
1881-01-01,5.19
1881-02-01,5.25
1881-03-01,5.3
1881-04-01,5.28
1881-05-01,5.14
1881-06-01,5.06
1881-07-01,5.07
1881-08-01,5.11
1881-09-01,5.2
1881-10-01,5.25
1881-11-01,5.22
1881-12-01,5.25
1882-01-01,5.24
1882-02-01,5.27
1882-03-01,5.3
1882-04-01,5.24
1882-05-01,5.21
1882-06-01,5.21
1882-07-01,5.19
1882-08-01,5.23
1882-09-01,5.25
1882-10-01,5.23
1882-11-01,5.26
1882-12-01,5.25
1883-01-01,5.2
1883-02-01,5.24
1883-03-01,5.26
1883-04-01,5.23
1883-05-01,5.23
1883-06-01,5.22
1883-07-01,5.22
1883-08-01,5.26
1883-09-01,5.26
1883-10-01,5.25
1883-11-01,5.21
1883-12-01,5.18
1884-01-01,5.15
1884-02-01,5.1
1884-03-01,5.05
1884-04-01,5.02
1884-05-01,5.12
1884-06-01,5.24
1884-07-01,5.25
1884-08-01,5.17
1884-09-01,5.18
1884-10-01,5.17
1884-11-01,5.18
1884-12-01,5.13
1885-01-01,5.08
1885-02-01,5.03
1885-03-01,4.99
1885-04-01,4.97
1885-05-01,4.95
1885-06-01,4.89
1885-07-01,4.86
1885-08-01,4.85
1885-09-01,4.83
1885-10-01,4.78
1885-11-01,4.75
1885-12-01,4.72
1886-01-01,4.64
1886-02-01,4.56
1886-03-01,4.55
1886-04-01,4.56
1886-05-01,4.55
1886-06-01,4.52
1886-07-01,4.48
1886-08-01,4.5
1886-09-01,4.56
1886-10-01,4.56
1886-11-01,4.56
1886-12-01,4.59
1887-01-01,4.56
1887-02-01,4.58
1887-03-01,4.6
1887-04-01,4.6
1887-05-01,4.59
1887-06-01,4.59
1887-07-01,4.62
1887-08-01,4.66
1887-09-01,4.74
1887-10-01,4.78
1887-11-01,4.73
1887-12-01,4.72
1888-01-01,4.64
1888-02-01,4.61
1888-03-01,4.64
1888-04-01,4.64
1888-05-01,4.62
1888-06-01,4.6
1888-07-01,4.54
1888-08-01,4.54
1888-09-01,4.57
1888-10-01,4.58
1888-11-01,4.56
1888-12-01,4.55
1889-01-01,4.5
1889-02-01,4.44
1889-03-01,4.46
1889-04-01,4.45
1889-05-01,4.4
1889-06-01,4.35
1889-07-01,4.37
1889-08-01,4.38
1889-09-01,4.39
1889-10-01,4.44
1889-11-01,4.48
1889-12-01,4.49
1890-01-01,4.47
1890-02-01,4.47
1890-03-01,4.49
1890-04-01,4.5
1890-05-01,4.49
1890-06-01,4.51
1890-07-01,4.52
1890-08-01,4.56
1890-09-01,4.59
1890-10-01,4.62
1890-11-01,4.68
1890-12-01,4.73
1891-01-01,4.62
1891-02-01,4.62
1891-03-01,4.68
1891-04-01,4.69
1891-05-01,4.73
1891-06-01,4.79
1891-07-01,4.78
1891-08-01,4.78
1891-09-01,4.76
1891-10-01,4.71
1891-11-01,4.68
1891-12-01,4.63
1892-01-01,4.58
1892-02-01,4.55
1892-03-01,4.55
1892-04-01,4.53
1892-05-01,4.51
1892-06-01,4.49
1892-07-01,4.48
1892-08-01,4.49
1892-09-01,4.53
1892-10-01,4.53
1892-11-01,4.54
1892-12-01,4.56
1893-01-01,4.53
1893-02-01,4.5
1893-03-01,4.53
1893-04-01,4.54
1893-05-01,4.59
1893-06-01,4.67
1893-07-01,4.82
1893-08-01,4.94
1893-09-01,4.79
1893-10-01,4.73
1893-11-01,4.62
1893-12-01,4.55
1894-01-01,4.55
1894-02-01,4.49
1894-03-01,4.45
1894-04-01,4.4
1894-05-01,4.41
1894-06-01,4.41
1894-07-01,4.43
1894-08-01,4.4
1894-09-01,4.37
1894-10-01,4.33
1894-11-01,4.3
1894-12-01,4.3
1895-01-01,4.31
1895-02-01,4.35
1895-03-01,4.37
1895-04-01,4.37
1895-05-01,4.32
1895-06-01,4.25
1895-07-01,4.22
1895-08-01,4.17
1895-09-01,4.18
1895-10-01,4.19
1895-11-01,4.21
1895-12-01,4.27
1896-01-01,4.33
1896-02-01,4.28
1896-03-01,4.29
1896-04-01,4.29
