"Date","TP5L02"
1997-07-01,3.66
1997-08-01,3.59
1997-09-01,3.61
1997-10-01,3.6
1997-11-01,3.56
1997-12-01,3.63
1998-01-01,3.73
1998-02-01,3.72
1998-03-01,3.79
1998-04-01,3.87
1998-05-01,3.92
1998-06-01,3.89
1998-07-01,3.88
1998-08-01,3.86
1998-09-01,3.65
1998-10-01,3.52
1998-11-01,3.76
1998-12-01,3.74
1999-01-01,3.75
1999-02-01,3.7
1999-03-01,3.85
1999-04-01,3.72
1999-05-01,3.66
1999-06-01,3.8
1999-07-01,3.95
1999-08-01,3.97
1999-09-01,3.9
1999-10-01,3.86
1999-11-01,3.87
1999-12-01,3.98
2000-01-01,4.06
2000-02-01,4.07
2000-03-01,3.87
2000-04-01,3.69
2000-05-01,3.94
2000-06-01,4
2000-07-01,3.9
2000-08-01,3.76
2000-09-01,3.71
2000-10-01,3.53
2000-11-01,3.52
2000-12-01,3.61
2001-01-01,3.11
2001-02-01,2.66
2001-03-01,2.23
2001-04-01,1.96
2001-05-01,1.61
2001-06-01,1.31
2001-07-01,1.54
2001-08-01,1.71
2001-09-01,1.65
2001-10-01,1.17
2001-11-01,1.44
2001-12-01,2.03
2002-01-01,1.41
