"Date","MSWP5"
2000-07-01,7.17
2000-08-01,7.02
2000-09-01,6.86
2000-10-01,6.73
2000-11-01,6.7
2000-12-01,6.14
2001-01-01,5.74
2001-02-01,5.68
2001-03-01,5.46
2001-04-01,5.5
2001-05-01,5.64
2001-06-01,5.58
2001-07-01,5.57
2001-08-01,5.29
2001-09-01,4.82
2001-10-01,4.5
2001-11-01,4.57
2001-12-01,5.11
2002-01-01,4.98
2002-02-01,4.87
2002-03-01,5.26
2002-04-01,5.13
2002-05-01,4.93
2002-06-01,4.65
2002-07-01,4.31
2002-08-01,3.88
2002-09-01,3.51
2002-10-01,3.53
2002-11-01,3.52
2002-12-01,3.47
2003-01-01,3.44
2003-02-01,3.29
2003-03-01,3.17
2003-04-01,3.29
2003-05-01,2.84
2003-06-01,2.56
2003-07-01,3.15
2003-08-01,3.82
2003-09-01,3.61
2003-10-01,3.6
2003-11-01,3.67
2003-12-01,3.66
2004-01-01,3.48
2004-02-01,3.45
2004-03-01,3.16
2004-04-01,3.78
2004-05-01,4.33
2004-06-01,4.4
2004-07-01,4.16
2004-08-01,3.93
2004-09-01,3.79
2004-10-01,3.76
2004-11-01,3.93
2004-12-01,3.99
2005-01-01,4.09
2005-02-01,4.14
2005-03-01,4.56
2005-04-01,4.46
2005-05-01,4.29
2005-06-01,4.17
2005-07-01,4.41
2005-08-01,4.56
2005-09-01,4.43
2005-10-01,4.78
2005-11-01,4.94
2005-12-01,4.92
2006-01-01,4.83
2006-02-01,5.06
2006-03-01,5.19
2006-04-01,5.39
2006-05-01,5.48
2006-06-01,5.59
2006-07-01,5.6
2006-08-01,5.33
2006-09-01,5.15
2006-10-01,5.16
2006-11-01,5.02
2006-12-01,4.94
2007-01-01,5.16
2007-02-01,5.15
2007-03-01,4.95
2007-04-01,5.05
2007-05-01,5.14
2007-06-01,5.55
2007-07-01,5.48
2007-08-01,5.13
2007-09-01,4.86
2007-10-01,4.85
2007-11-01,4.5
2007-12-01,4.31
2008-01-01,3.68
2008-02-01,3.61
2008-03-01,3.39
2008-04-01,3.66
2008-05-01,3.93
2008-06-01,4.37
2008-07-01,4.23
2008-08-01,4.13
2008-09-01,3.88
2008-10-01,3.8
2008-11-01,3.3
2008-12-01,2.34
2009-01-01,2.16
2009-02-01,2.52
2009-03-01,2.46
2009-04-01,2.42
2009-05-01,2.6
2009-06-01,3.15
2009-07-01,2.88
2009-08-01,2.98
2009-09-01,2.72
2009-10-01,2.68
2009-11-01,2.56
2009-12-01,2.69
2010-01-01,2.76
2010-02-01,2.68
2010-03-01,2.65
2010-04-01,2.74
2010-05-01,2.46
2010-06-01,2.29
2010-07-01,1.98
2010-08-01,1.67
2010-09-01,1.62
2010-10-01,1.43
2010-11-01,1.61
2010-12-01,2.13
2011-01-01,2.21
2011-02-01,2.46
2011-03-01,2.31
2011-04-01,2.35
2011-05-01,2.05
2011-06-01,1.85
2011-07-01,1.83
2011-08-01,1.31
2011-09-01,1.19
2011-10-01,1.38
2011-11-01,1.3
2011-12-01,1.29
2012-01-01,1.16
2012-02-01,1.1
2012-03-01,1.25
2012-04-01,1.17
2012-05-01,1.09
2012-06-01,0.99
2012-07-01,0.85
2012-08-01,0.9
2012-09-01,0.81
2012-10-01,0.83
2012-11-01,0.78
2012-12-01,0.81
2013-01-01,0.92
2013-02-01,1
2013-03-01,0.98
2013-04-01,0.88
2013-05-01,1
2013-06-01,1.38
2013-07-01,1.58
2013-08-01,1.68
2013-09-01,1.76
2013-10-01,1.51
2013-11-01,1.47
2013-12-01,1.64
2014-01-01,1.73
2014-02-01,1.62
2014-03-01,1.72
2014-04-01,1.79
2014-05-01,1.67
2014-06-01,1.75
2014-07-01,1.8
2014-08-01,1.77
2014-09-01,1.91
2014-10-01,1.71
2014-11-01,1.75
2014-12-01,1.76
2015-01-01,1.52
2015-02-01,1.63
2015-03-01,1.67
2015-04-01,1.52
2015-05-01,1.68
2015-06-01,1.81
2015-07-01,1.76
2015-08-01,1.65
2015-09-01,1.55
2015-10-01,1.4
2015-11-01,1.6
2015-12-01,1.66
2016-01-01,1.46
2016-02-01,1.16
2016-03-01,1.31
2016-04-01,1.22
2016-05-01,1.26
2016-06-01,1.13
2016-07-01,1.07
2016-08-01,1.15
2016-09-01,1.19
