"Date","M1329BUSM193NNBR"
1931-01-01,0.949
1931-02-01,1.207
1931-03-01,1.465
1931-04-01,1.313
1931-05-01,1.014
1931-06-01,0.631
1931-07-01,0.485
1931-08-01,0.598
1931-09-01,1.217
1931-10-01,2.468
1931-11-01,2.225
1931-12-01,3.253
1932-01-01,2.681
1932-02-01,2.655
1932-03-01,2.079
1932-04-01,0.767
1932-05-01,0.428
1932-06-01,0.408
1932-07-01,0.417
1932-08-01,0.44
1932-09-01,0.233
1932-10-01,0.176
1932-11-01,0.181
1932-12-01,0.085
1933-01-01,0.207
1933-02-01,0.485
1933-03-01,2.289
1933-04-01,0.565
1933-05-01,0.418
1933-06-01,0.267
1933-07-01,0.367
1933-08-01,0.211
1933-09-01,0.102
1933-10-01,0.157
1933-11-01,0.419
1933-12-01,0.695
1934-01-01,0.67
1934-02-01,0.628
1934-03-01,0.273
1934-04-01,0.179
1934-05-01,0.138
1934-06-01,0.07
1934-07-01,0.072
1934-08-01,0.198
1934-09-01,0.27
1934-10-01,0.208
1934-11-01,0.217
1934-12-01,0.143
1935-01-01,0.136
1935-02-01,0.114
1935-03-01,0.154
1935-04-01,0.169
1935-05-01,0.145
1935-06-01,0.128
1935-07-01,0.065
1935-08-01,0.101
1935-09-01,0.214
1935-10-01,0.189
1935-11-01,0.135
1935-12-01,0.089
1936-01-01,0.099
1936-02-01,0.081
1936-03-01,0.113
1936-04-01,0.099
1936-05-01,0.182
1936-06-01,0.226
1936-07-01,0.141
1936-08-01,0.182
1936-09-01,0.155
1936-10-01,0.132
1936-11-01,0.095
1936-12-01,0.209
1937-01-01,0.36
1937-02-01,0.384
1937-03-01,0.583
1937-04-01,0.696
1937-05-01,0.647
1937-06-01,0.561
1937-07-01,0.492
1937-08-01,0.519
1937-09-01,0.53
1937-10-01,0.343
1937-11-01,0.145
1937-12-01,0.104
1938-01-01,0.099
1938-02-01,0.084
1938-03-01,0.074
1938-04-01,0.083
1938-05-01,0.027
1938-06-01,0.023
1938-07-01,0.053
1938-08-01,0.047
1938-09-01,0.096
1938-10-01,0.023
1938-11-01,0.024
1938-12-01,0.007
1939-01-01,0.002
1939-02-01,0.004
1939-03-01,0.005
1939-04-01,0.019
1939-05-01,0.006
1939-06-01,0.006
1939-07-01,0.017
1939-08-01,0.058
1939-09-01,0.101
1939-10-01,0.028
1939-11-01,0.018
1939-12-01,0.01
1940-01-01,0.001
1940-02-01,0.004
1940-03-01,0.001
1940-04-01,0.003
1940-05-01,0.042
1940-06-01,0.071
1940-07-01,0.009
1940-08-01,0.019
1940-09-01,0.021
1940-10-01,0.001
1940-11-01,0.003
1940-12-01,0.001
1941-01-01,0.001
1941-02-01,0.034
1941-03-01,0.089
1941-04-01,0.092
1941-05-01,0.082
1941-06-01,0.089
1941-07-01,0.097
1941-08-01,0.108
1941-09-01,0.055
1941-10-01,0.049
1941-11-01,0.242
1941-12-01,0.298
1942-01-01,0.214
1942-02-01,0.25
1942-03-01,0.212
1942-04-01,0.299
1942-05-01,0.364
1942-06-01,0.363
1942-07-01,0.368
1942-08-01,0.37
1942-09-01,0.37
1942-10-01,0.372
1942-11-01,0.371
1942-12-01,0.363
1943-01-01,0.367
1943-02-01,0.372
1943-03-01,0.373
1943-04-01,0.373
1943-05-01,0.373
1943-06-01,0.374
1943-07-01,0.374
1943-08-01,0.375
1943-09-01,0.375
1943-10-01,0.375
1943-11-01,0.375
1943-12-01,0.375
1944-01-01,0.374
1944-02-01,0.375
1944-03-01,0.375
1944-04-01,0.375
1944-05-01,0.375
1944-06-01,0.375
1944-07-01,0.375
1944-08-01,0.375
1944-09-01,0.375
1944-10-01,0.375
1944-11-01,0.375
1944-12-01,0.375
1945-01-01,0.375
1945-02-01,0.375
1945-03-01,0.375
