"Date","TY36MCD"
2021-04-01,0.3
2021-05-01,0.35
2021-06-01,0.35
2021-07-01,0.46
2021-08-01,0.46
2021-09-01,0.4
2021-10-01,0.53
2021-11-01,0.53
2021-12-01,0.75
2022-01-01,0.81
2022-02-01,1.39
2022-03-01,1.39
2022-04-01,1.62
2022-05-01,2.45
2022-06-01,2.87
2022-07-01,2.99
2022-08-01,2.83
2022-09-01,3.46
2022-10-01,4.25
2022-11-01,4.45
2022-12-01,4.13
2023-01-01,4.22
2023-02-01,3.9
2023-03-01,4.51
2023-04-01,4.51
2023-05-01,3.81
2023-06-01,3.75
2023-07-01,4.49
2023-08-01,4.49
2023-09-01,4.54
2023-10-01,4.8
2023-11-01,4.8
