"Date","ATLSBUEGUI"
2015-01-01,119.3518
2015-02-01,117.0888
2015-03-01,119.8912
2015-04-01,119.8912
2015-05-01,117.209
2015-06-01,117.7788
2015-07-01,116.1066
2015-08-01,111.4804
2015-09-01,111.568
2015-10-01,109.9841
2015-11-01,110.3284
2015-12-01,105.5236
2016-01-01,105.5236
2016-02-01,107.7526
2016-03-01,103.4407
2016-04-01,102.042
2016-05-01,105.2051
2016-06-01,98.64024
2016-07-01,102.7039
2016-08-01,102.1374
2016-09-01,100.433
2016-10-01,100.6007
2016-11-01,95.68058
2016-12-01,92.49881
2017-01-01,92.24885
2017-02-01,92.08672
2017-03-01,94.39489
2017-04-01,96.82005
2017-05-01,96.21572
2017-06-01,93.80738
2017-07-01,92.00509
2017-08-01,91.74959
2017-09-01,92.0049
2017-10-01,91.69733
2017-11-01,92.53123
2017-12-01,91.48273
2018-01-01,91.60703
2018-02-01,88.86412
2018-03-01,91.71368
2018-04-01,89.01917
2018-05-01,91.29935
2018-06-01,87.50918
2018-07-01,90.81571
2018-08-01,91.10979
2018-09-01,93.36619
2018-10-01,91.20831
2018-11-01,92.07053
2018-12-01,91.51183
2019-01-01,90.22976
2019-02-01,87.02413
2019-03-01,85.49262
2019-04-01,88.59099
2019-05-01,92.34274
2019-06-01,94.39187
2019-07-01,92.30564
2019-08-01,90.24474
2019-09-01,89.1983
2019-10-01,91.27663
2019-11-01,93.44428
2019-12-01,95.16804
2020-01-01,93.61899
2020-02-01,93.49876
2020-03-01,94.36415
2020-04-01,107.292
2020-05-01,118.2157
2020-06-01,122.2467
2020-07-01,115.7684
