"Date","TP10L12"
2002-08-01,2.52
2002-09-01,2.25
2002-10-01,2.4
2002-11-01,2.43
2002-12-01,2.42
2003-01-01,2.26
2003-02-01,1.95
2003-03-01,1.88
2003-04-01,2.11
2003-05-01,1.83
2003-06-01,1.62
2003-07-01,2
2003-08-01,2.24
2003-09-01,2.09
2003-10-01,1.96
2003-11-01,1.84
2003-12-01,1.86
2004-01-01,1.73
2004-02-01,1.56
2004-03-01,1.23
2004-04-01,1.68
2004-05-01,1.93
2004-06-01,1.95
2004-07-01,1.82
2004-08-01,1.65
2004-09-01,1.58
2004-10-01,1.47
2004-11-01,1.38
2004-12-01,1.35
2005-01-01,1.45
2005-02-01,1.37
2005-03-01,1.53
2005-04-01,1.43
2005-05-01,1.41
2005-06-01,1.49
2005-07-01,1.74
2005-08-01,1.78
2005-09-01,1.54
2005-10-01,1.8
2005-11-01,2.01
2005-12-01,2.09
2006-01-01,1.95
2006-02-01,2
2006-03-01,2.12
2006-04-01,2.3
2006-05-01,2.31
2006-06-01,2.44
2006-07-01,2.45
2006-08-01,2.26
2006-09-01,2.34
2006-10-01,2.47
2006-11-01,2.36
2006-12-01,2.26
2007-01-01,2.44
2007-02-01,2.32
2007-03-01,2.02
2007-04-01,2.09
2007-05-01,2.22
2007-06-01,2.63
2007-07-01,2.59
2007-08-01,2.38
2007-09-01,2.12
2007-10-01,1.99
2007-11-01,1.31
2007-12-01,1.21
2008-01-01,0.76
2008-02-01,0.49
2008-03-01,0.11
2008-04-01,0.49
2008-05-01,0.64
2008-06-01,0.8
2008-07-01,0.66
2008-08-01,1
2008-09-01,1.47
2008-10-01,2.8
2008-11-01,3.64
2008-12-01,3.78
2009-01-01,2.78
2009-02-01,1.77
2009-03-01,1.61
2009-04-01,1.09
2009-05-01,1.1
2009-06-01,0.91
2009-07-01,1.06
2009-08-01,1.15
2009-09-01,0.87
2009-10-01,0.49
2009-11-01,0.02
2009-12-01,-0.03
2010-01-01,-0.28
2010-02-01,-0.42
2010-03-01,-0.43
2010-04-01,-0.53
2010-05-01,-0.4
2010-06-01,0.01
2010-07-01,-0.08
2010-08-01,-0.28
2010-09-01,-0.31
2010-10-01,-0.77
2010-11-01,-0.6
2010-12-01,-0.78
2011-01-01,-1.29
2011-02-01,-1.56
2011-03-01,-2.34
2011-04-01,-2.63
2011-05-01,-2.15
2011-06-01,-1.5
2011-07-01,-1.29
2011-08-01,-0.68
2011-09-01,-1.07
2011-10-01,-1.08
2011-11-01,-0.76
2011-12-01,-0.88
2012-01-01,-1.72
2012-02-01,-3.41
2012-03-01,-4.88
2012-04-01,-4.69
2012-05-01,-3.21
2012-06-01,-0.32
