"Date","MSWP30"
2000-07-01,7.2
2000-08-01,7.05
2000-09-01,7.04
2000-10-01,6.94
2000-11-01,6.91
2000-12-01,6.41
2001-01-01,6.26
2001-02-01,6.29
2001-03-01,6.14
2001-04-01,6.41
2001-05-01,6.49
2001-06-01,6.41
2001-07-01,6.38
2001-08-01,6.18
2001-09-01,6.04
2001-10-01,5.84
2001-11-01,5.74
2001-12-01,6.2
2002-01-01,6.11
2002-02-01,6.08
2002-03-01,6.31
2002-04-01,6.23
2002-05-01,6.17
2002-06-01,6.01
2002-07-01,5.87
2002-08-01,5.54
2002-09-01,5.2
2002-10-01,5.35
2002-11-01,5.37
2002-12-01,5.31
2003-01-01,5.31
2003-02-01,5.17
2003-03-01,5.1
2003-04-01,5.18
2003-05-01,4.81
2003-06-01,4.64
2003-07-01,5.21
2003-08-01,5.71
2003-09-01,5.49
2003-10-01,5.47
2003-11-01,5.42
2003-12-01,5.38
2004-01-01,5.29
2004-02-01,5.25
2004-03-01,5.05
2004-04-01,5.47
2004-05-01,5.8
2004-06-01,5.8
2004-07-01,5.58
2004-08-01,5.42
2004-09-01,5.26
2004-10-01,5.2
2004-11-01,5.25
2004-12-01,5.25
2005-01-01,5.12
2005-02-01,4.95
2005-03-01,5.26
2005-04-01,5.14
2005-05-01,4.94
2005-06-01,4.72
2005-07-01,4.87
2005-08-01,4.93
2005-09-01,4.9
2005-10-01,5.15
2005-11-01,5.27
2005-12-01,5.19
2006-01-01,5.08
2006-02-01,5.13
2006-03-01,5.32
2006-04-01,5.65
2006-05-01,5.77
2006-06-01,5.76
2006-07-01,5.76
2006-08-01,5.54
2006-09-01,5.37
2006-10-01,5.4
2006-11-01,5.23
2006-12-01,5.18
2007-01-01,5.37
2007-02-01,5.37
2007-03-01,5.28
2007-04-01,5.42
2007-05-01,5.48
2007-06-01,5.86
2007-07-01,5.84
2007-08-01,5.62
2007-09-01,5.41
2007-10-01,5.38
2007-11-01,5.18
2007-12-01,5.1
2008-01-01,4.82
2008-02-01,4.99
2008-03-01,4.78
2008-04-01,4.8
2008-05-01,4.92
2008-06-01,5.12
2008-07-01,5.02
2008-08-01,4.95
2008-09-01,4.65
2008-10-01,4.3
2008-11-01,3.83
2008-12-01,2.69
2009-01-01,2.96
2009-02-01,3.31
2009-03-01,3.34
2009-04-01,3.41
2009-05-01,3.84
2009-06-01,4.34
2009-07-01,4.21
2009-08-01,4.28
2009-09-01,4.07
2009-10-01,4.08
2009-11-01,4.19
2009-12-01,4.35
2010-01-01,4.48
2010-02-01,4.48
2010-03-01,4.48
2010-04-01,4.5
2010-05-01,4.09
2010-06-01,3.95
2010-07-01,3.76
2010-08-01,3.45
2010-09-01,3.41
2010-10-01,3.49
2010-11-01,3.84
2010-12-01,4.14
2011-01-01,4.26
2011-02-01,4.42
2011-03-01,4.29
2011-04-01,4.27
2011-05-01,4.05
2011-06-01,3.96
2011-07-01,3.96
2011-08-01,3.31
2011-09-01,2.93
2011-10-01,2.9
2011-11-01,2.77
2011-12-01,2.7
2012-01-01,2.73
2012-02-01,2.8
2012-03-01,2.96
2012-04-01,2.89
2012-05-01,2.65
2012-06-01,2.44
2012-07-01,2.35
2012-08-01,2.55
2012-09-01,2.64
2012-10-01,2.67
2012-11-01,2.55
2012-12-01,2.67
2013-01-01,2.89
2013-02-01,3.01
2013-03-01,3.03
2013-04-01,2.85
2013-05-01,3.03
2013-06-01,3.31
2013-07-01,3.59
2013-08-01,3.74
2013-09-01,3.78
2013-10-01,3.64
2013-11-01,3.72
2013-12-01,3.81
2014-01-01,3.76
2014-02-01,3.65
2014-03-01,3.6
2014-04-01,3.51
2014-05-01,3.36
2014-06-01,3.39
2014-07-01,3.3
2014-08-01,3.18
2014-09-01,3.24
2014-10-01,3.03
2014-11-01,3.02
2014-12-01,2.8
2015-01-01,2.39
2015-02-01,2.47
2015-03-01,2.49
2015-04-01,2.4
2015-05-01,2.7
2015-06-01,2.89
2015-07-01,2.87
2015-08-01,2.65
2015-09-01,2.68
2015-10-01,2.53
2015-11-01,2.59
2015-12-01,2.6
2016-01-01,2.41
2016-02-01,2.14
2016-03-01,2.18
2016-04-01,2.16
2016-05-01,2.15
2016-06-01,1.97
2016-07-01,1.8
2016-08-01,1.75
2016-09-01,1.8
