"Date","TY12MCD"
2021-04-01,0.08
2021-05-01,0.07
2021-06-01,0.05
2021-07-01,0.07
2021-08-01,0.07
2021-09-01,0.07
2021-10-01,0.09
2021-11-01,0.09
2021-12-01,0.15
2022-01-01,0.24
2022-02-01,0.78
2022-03-01,0.78
2022-04-01,1.01
2022-05-01,1.63
2022-06-01,2.1
2022-07-01,2.8
2022-08-01,2.98
2022-09-01,3.5
2022-10-01,4.05
2022-11-01,4.66
2022-12-01,4.74
2023-01-01,4.73
2023-02-01,4.68
2023-03-01,5.02
2023-04-01,5.02
2023-05-01,4.64
2023-06-01,4.8
2023-07-01,5.4
2023-08-01,5.4
2023-09-01,5.37
2023-10-01,5.46
2023-11-01,5.46
