"Date","M128AAUSM144SNBR"
1875-01-01,32.4
1875-02-01,32.5
1875-03-01,32.6
1875-04-01,32.7
1875-05-01,32.9
1875-06-01,33
1875-07-01,33.2
1875-08-01,33.4
1875-09-01,33.5
1875-10-01,33.5
1875-11-01,33.5
1875-12-01,33.4
1876-01-01,33.4
1876-02-01,33.3
1876-03-01,33.2
1876-04-01,33.2
1876-05-01,33.2
1876-06-01,33.1
1876-07-01,33.1
1876-08-01,33.1
1876-09-01,33
1876-10-01,33
1876-11-01,32.9
1876-12-01,32.8
1877-01-01,32.8
1877-02-01,32.8
1877-03-01,32.8
1877-04-01,32.9
1877-05-01,32.9
1877-06-01,33
1877-07-01,33
1877-08-01,33
1877-09-01,32.9
1877-10-01,32.9
1877-11-01,32.8
1877-12-01,32.7
1878-01-01,32.6
1878-02-01,32.5
1878-03-01,32.4
1878-04-01,32.4
1878-05-01,32.3
1878-06-01,32.3
1878-07-01,32.3
1878-08-01,32.3
1878-09-01,32.4
1878-10-01,32.5
1878-11-01,32.7
1878-12-01,33.1
1879-01-01,33.5
1879-02-01,33.9
1879-03-01,34.5
1879-04-01,35.3
1879-05-01,36.1
1879-06-01,37.1
1879-07-01,38.2
1879-08-01,39.2
1879-09-01,40.3
1879-10-01,41.3
1879-11-01,42.1
1879-12-01,42.8
1880-01-01,43.3
1880-02-01,43.6
1880-03-01,43.7
1880-04-01,43.8
1880-05-01,43.8
1880-06-01,43.8
1880-07-01,43.8
1880-08-01,44
1880-09-01,44.4
1880-10-01,45
1880-11-01,45.8
1880-12-01,46.8
1881-01-01,48.1
1881-02-01,49.4
1881-03-01,50.7
1881-04-01,52
1881-05-01,53
1881-06-01,53.7
1881-07-01,54.1
1881-08-01,54.2
1881-09-01,54.1
1881-10-01,53.8
1881-11-01,53.4
1881-12-01,53
1882-01-01,52.6
1882-02-01,52.3
1882-03-01,52
1882-04-01,51.8
1882-05-01,51.7
1882-06-01,51.7
1882-07-01,51.9
1882-08-01,52.1
1882-09-01,52.4
1882-10-01,52.7
1882-11-01,53
1882-12-01,53.3
1883-01-01,53.5
1883-02-01,53.7
1883-03-01,53.9
1883-04-01,53.9
1883-05-01,54.1
1883-06-01,54.2
1883-07-01,54.3
1883-08-01,54.5
1883-09-01,54.6
1883-10-01,54.7
1883-11-01,54.6
1883-12-01,54.5
1884-01-01,54.4
1884-02-01,54
1884-03-01,53.5
1884-04-01,52.9
1884-05-01,52.2
1884-06-01,51.5
1884-07-01,50.8
1884-08-01,50.2
1884-09-01,49.7
1884-10-01,49.2
1884-11-01,48.9
1884-12-01,48.8
1885-01-01,48.8
1885-02-01,49
1885-03-01,49.5
1885-04-01,50.1
1885-05-01,50.8
1885-06-01,51.6
1885-07-01,52.4
1885-08-01,53.3
1885-09-01,54.1
1885-10-01,55
1885-11-01,55.7
1885-12-01,56.5
1886-01-01,57.1
1886-02-01,57.7
1886-03-01,58.3
1886-04-01,58.7
1886-05-01,59.2
1886-06-01,59.7
1886-07-01,60.3
1886-08-01,61
1886-09-01,61.9
1886-10-01,62.9
1886-11-01,64.1
1886-12-01,65.3
1887-01-01,66.4
1887-02-01,67.5
1887-03-01,68.5
1887-04-01,69.2
1887-05-01,69.6
1887-06-01,69.9
1887-07-01,69.9
1887-08-01,69.7
1887-09-01,69.3
1887-10-01,68.9
1887-11-01,68.4
1887-12-01,68
1888-01-01,67.7
1888-02-01,67.5
1888-03-01,67.5
1888-04-01,67.8
1888-05-01,68.2
