"Date","NDRRCP48MCD"
2021-04-01,0.98
2021-05-01,0.94
2021-06-01,0.97
2021-07-01,0.96
2021-08-01,0.96
2021-09-01,0.97
2021-10-01,0.97
2021-11-01,0.97
2021-12-01,0.94
2022-01-01,0.97
2022-02-01,0.97
2022-03-01,0.97
2022-04-01,0.98
2022-05-01,1.01
2022-06-01,1.06
2022-07-01,1.2
2022-08-01,1.3
2022-09-01,1.38
2022-10-01,1.48
2022-11-01,1.61
2022-12-01,1.72
2023-01-01,1.86
2023-02-01,1.9
2023-03-01,2
2023-04-01,2
2023-05-01,2.04
2023-06-01,2.05
2023-07-01,2.05
2023-08-01,2.05
2023-09-01,2.06
2023-10-01,2.05
2023-11-01,2.05
