"Date","M010BBUSM508NNBR"
1877-01-01,81.3
1877-02-01,82.3
1877-03-01,82
1877-04-01,81.9
1877-05-01,80.6
1877-06-01,78.6
1877-07-01,77.1
1877-08-01,77.7
1877-09-01,78.6
1877-10-01,81
1877-11-01,83
1877-12-01,86.6
1878-01-01,90.3
1878-02-01,92.5
1878-03-01,92.7
1878-04-01,90.8
1878-05-01,88.3
1878-06-01,85.3
1878-07-01,82.1
1878-08-01,79.4
1878-09-01,78.3
1878-10-01,78.3
1878-11-01,78.9
1878-12-01,79.6
1879-01-01,79.5
1879-02-01,79.4
1879-03-01,79.7
1879-04-01,79.9
1879-05-01,80.7
1879-06-01,83.1
1879-07-01,88.6
1879-08-01,93.7
1879-09-01,99.3
1879-10-01,105.6
1879-11-01,111.6
1879-12-01,117.5
1880-01-01,122
1880-02-01,125.6
1880-03-01,127.1
1880-04-01,126.5
1880-05-01,122.5
1880-06-01,115.7
1880-07-01,109.6
1880-08-01,106.4
1880-09-01,107.4
1880-10-01,109.9
1880-11-01,111.9
1880-12-01,114.6
1881-01-01,117.2
1881-02-01,119.1
1881-03-01,119.7
1881-04-01,118.7
1881-05-01,115.8
1881-06-01,112.9
1881-07-01,109.7
1881-08-01,108.9
1881-09-01,109.4
1881-10-01,109.6
1881-11-01,112.4
1881-12-01,116.4
1882-01-01,121.7
1882-02-01,124.7
1882-03-01,123.1
1882-04-01,120.5
1882-05-01,116.2
1882-06-01,113.7
1882-07-01,109.5
1882-08-01,108
1882-09-01,110.1
1882-10-01,116.6
1882-11-01,119
1882-12-01,121.8
1883-01-01,122
1883-02-01,121.4
1883-03-01,119.5
1883-04-01,114.2
1883-05-01,110.7
1883-06-01,109.6
1883-07-01,107.8
1883-08-01,106.2
1883-09-01,105.2
1883-10-01,103.2
1883-11-01,100.7
1883-12-01,97.7
1884-01-01,92.7
1884-02-01,89.9
1884-03-01,90.9
1884-04-01,93.5
1884-05-01,95.4
1884-06-01,96.1
1884-07-01,96.4
1884-08-01,90.6
1884-09-01,86.9
1884-10-01,86.9
1884-11-01,88.2
1884-12-01,81.4
1885-01-01,77.8
1885-02-01,83.2
1885-03-01,85.4
1885-04-01,83.6
1885-05-01,80.9
1885-06-01,79.2
1885-07-01,81.2
1885-08-01,81.4
1885-09-01,79.9
1885-10-01,82.3
1885-11-01,89.4
1885-12-01,96.5
1886-01-01,96.3
1886-02-01,93.9
1886-03-01,100.1
1886-04-01,109.7
1886-05-01,115.5
1886-06-01,116.3
1886-07-01,115
1886-08-01,111.6
1886-09-01,111.4
1886-10-01,114.4
1886-11-01,115.3
1886-12-01,115.7
1887-01-01,118.2
1887-02-01,120.1
1887-03-01,119.3
1887-04-01,121.3
1887-05-01,104
1887-06-01,84.9
1887-07-01,90
1887-08-01,107.3
1887-09-01,120.4
1887-10-01,125.2
1887-11-01,124.5
1887-12-01,121.3
1888-01-01,109
1888-02-01,96.8
1888-03-01,95.6
1888-04-01,99.7
1888-05-01,101.4
1888-06-01,98.3
1888-07-01,97.4
1888-08-01,101.7
1888-09-01,105.8
1888-10-01,111
1888-11-01,117
1888-12-01,121.5
1889-01-01,120.9
1889-02-01,117.4
1889-03-01,117.4
1889-04-01,113.8
1889-05-01,107.8
1889-06-01,105.2
1889-07-01,107
1889-08-01,106.8
1889-09-01,109.2
1889-10-01,117.2
1889-11-01,122.9
1889-12-01,127.3
1890-01-01,129.2
1890-02-01,131.3
1890-03-01,132.8
1890-04-01,134.4
1890-05-01,134.7
1890-06-01,131.6
1890-07-01,125
1890-08-01,123.1
1890-09-01,126.1
1890-10-01,127.3
1890-11-01,128.1
1890-12-01,121.9
1891-01-01,105.1
1891-02-01,90.7
1891-03-01,78
1891-04-01,71.9
1891-05-01,83.4
1891-06-01,104.3
1891-07-01,116.3
1891-08-01,117.5
1891-09-01,121.7
1891-10-01,127.9
1891-11-01,130.2
1891-12-01,128.3
1892-01-01,125.7
1892-02-01,124.6
1892-03-01,121.9
1892-04-01,116.5
1892-05-01,111
1892-06-01,107.8
1892-07-01,103.4
1892-08-01,97.2
1892-09-01,97.2
1892-10-01,103
1892-11-01,108.4
1892-12-01,107.9
1893-01-01,106
1893-02-01,106
1893-03-01,107.4
1893-04-01,108.7
1893-05-01,107
1893-06-01,98.3
1893-07-01,77.8
1893-08-01,55.9
1893-09-01,45.3
1893-10-01,44.4
1893-11-01,52.5
1893-12-01,58.5
1894-01-01,59
1894-02-01,62.4
1894-03-01,70.4
