"Date","TP30A28"
1998-04-01,3.686
1998-05-01,3.665
1998-06-01,3.657
1998-07-01,3.684
1998-08-01,3.724
1998-09-01,3.703
1998-10-01,3.635
1998-11-01,3.692
1998-12-01,3.73
1999-01-01,3.733
1999-02-01,3.704
1999-03-01,3.83
1999-04-01,3.87
1999-05-01,3.863
1999-06-01,3.92
1999-07-01,3.984
1999-08-01,4.006
1999-09-01,4.056
1999-10-01,4.125
1999-11-01,4.106
1999-12-01,4.211
2000-01-01,4.339
2000-02-01,4.154
2000-03-01,4.075
2000-04-01,3.886
2000-05-01,3.972
2000-06-01,3.919
2000-07-01,3.863
2000-08-01,3.869
2000-09-01,3.921
2000-10-01,3.89
2000-11-01,3.845
2000-12-01,3.744
2001-01-01,3.63
2001-02-01,3.522
2001-03-01,3.47
2001-04-01,3.547
2001-05-01,3.475
2001-06-01,3.467
2001-07-01,3.478
2001-08-01,3.415
2001-09-01,3.427
2001-10-01,3.439
2001-11-01,3.305
2001-12-01,3.524
2002-01-01,3.493
2002-02-01,3.473
2002-03-01,3.512
2002-04-01,3.401
2002-05-01,3.344
2002-06-01,3.196
2002-07-01,3.136
2002-08-01,2.912
2002-09-01,2.707
2002-10-01,2.895
2002-11-01,2.929
2002-12-01,2.853
2003-01-01,2.75
2003-02-01,2.535
2003-03-01,2.529
2003-04-01,2.753
2003-05-01,2.441
2003-06-01,2.301
2003-07-01,2.672
2003-08-01,2.82
2003-09-01,2.702
2003-10-01,2.606
2003-11-01,2.429
2003-12-01,2.348
2004-01-01,2.27
2004-02-01,2.177
2004-03-01,1.965
2004-04-01,2.3
2004-05-01,2.481
2004-06-01,2.458
2004-07-01,2.385
2004-08-01,2.275
2004-09-01,2.203
2004-10-01,2.172
2004-11-01,2.124
2004-12-01,2.027
2005-01-01,1.967
2005-02-01,1.857
2005-03-01,1.958
2005-04-01,1.878
2005-05-01,1.806
2005-06-01,1.77
2005-07-01,1.963
2005-08-01,1.999
2005-09-01,1.909
2005-10-01,2.077
2005-11-01,2.131
2005-12-01,2.106
2006-01-01,2.008
2006-02-01,1.961
2006-03-01,2.131
2006-04-01,2.393
2006-05-01,2.449
2006-06-01,2.49
2006-07-01,2.462
2006-08-01,2.264
2006-09-01,2.254
2006-10-01,2.331
2006-11-01,2.183
2006-12-01,2.228
2007-01-01,2.398
2007-02-01,2.357
2007-03-01,2.25
2007-04-01,2.341
2007-05-01,2.438
2007-06-01,2.661
2007-07-01,2.608
2007-08-01,2.467
2007-09-01,2.287
2007-10-01,2.255
2007-11-01,1.983
2007-12-01,2.069
2008-01-01,1.81
2008-02-01,1.894
2008-03-01,1.806
2008-04-01,1.953
2008-05-01,2.044
2008-06-01,2.229
2008-07-01,2.132
2008-08-01,2.169
2008-09-01,2.293
2008-10-01,2.941
2008-11-01,3.124
2008-12-01,2.487
2009-01-01,2.582
2009-02-01,2.478
2009-03-01,2.41
2009-04-01,2.401
2009-05-01,2.486
2009-06-01,2.456
2009-07-01,2.364
2009-08-01,2.288
2009-09-01,2.188
2009-10-01,2.09
2009-11-01,1.935
2009-12-01,2.021
2010-01-01,2.024
2010-02-01,2.098
2010-03-01,2.153
2010-04-01,2.049
2010-05-01,1.804
2010-06-01,1.769
2010-07-01,1.833
2010-08-01,1.633
2010-09-01,1.46
2010-10-01,1.241
2010-11-01,1.342
2010-12-01,1.697
2011-01-01,1.762
2011-02-01,1.931
2011-03-01,1.665
2011-04-01,1.549
2011-05-01,1.466
2011-06-01,1.464
2011-07-01,1.297
2011-08-01,0.727
2011-09-01,0.678
2011-10-01,0.729
2011-11-01,0.5
2011-12-01,0.498
2012-01-01,0.432
2012-02-01,0.327
2012-03-01,0.449
2012-04-01,0.346
2012-05-01,0.171
2012-06-01,0.033
2012-07-01,-0.06
2012-08-01,0.002
2012-09-01,-0.092
2012-10-01,-0.173
2012-11-01,-0.226
2012-12-01,-0.248
2013-01-01,-0.108
2013-02-01,-0.042
2013-03-01,-0.061
2013-04-01,-0.209
