"Date","MED3"
1971-01-01,5.92
1971-02-01,5.54
1971-03-01,5.11
1971-04-01,5.92
1971-05-01,7.04
1971-06-01,7.15
1971-07-01,6.45
1971-08-01,8.03
1971-09-01,8.32
1971-10-01,6.61
1971-11-01,6.29
1971-12-01,6.75
1972-01-01,5.37
1972-02-01,5.02
1972-03-01,5.3
1972-04-01,5.24
1972-05-01,4.86
1972-06-01,5.06
1972-07-01,5.57
1972-08-01,5.46
1972-09-01,5.42
1972-10-01,5.98
1972-11-01,5.76
1972-12-01,6.05
1973-01-01,6.14
1973-02-01,7.45
1973-03-01,8.52
1973-04-01,8.14
1973-05-01,8.46
1973-06-01,8.81
1973-07-01,10.36
1973-08-01,11.44
1973-09-01,11.18
1973-10-01,9.98
1973-11-01,9.86
1973-12-01,10.66
1974-01-01,9.37
1974-02-01,8.48
1974-03-01,9.24
1974-04-01,10.53
1974-05-01,11.7
1974-06-01,12.14
1974-07-01,13.52
1974-08-01,13.57
1974-09-01,12.35
1974-10-01,10.95
1974-11-01,10.08
1974-12-01,10.28
1975-01-01,8.53
1975-02-01,7.27
1975-03-01,6.85
1975-04-01,7.04
1975-05-01,6.27
1975-06-01,6.1
1975-07-01,7.15
1975-08-01,7.22
1975-09-01,7.4
1975-10-01,7.15
1975-11-01,6.76
1975-12-01,6.47
1976-01-01,5.49
1976-02-01,5.5
1976-03-01,5.57
1976-04-01,5.39
1976-05-01,5.97
1976-06-01,6.22
1976-07-01,5.79
1976-08-01,5.68
1976-09-01,5.53
1976-10-01,5.46
1976-11-01,5.29
1976-12-01,5.01
1977-01-01,5.14
1977-02-01,5.08
1977-03-01,5.13
1977-04-01,5.16
1977-05-01,5.8
1977-06-01,5.78
1977-07-01,5.8
1977-08-01,6.3
1977-09-01,6.56
1977-10-01,7.14
1977-11-01,7.09
1977-12-01,7.12
1978-01-01,7.32
1978-02-01,7.28
1978-03-01,7.29
1978-04-01,7.38
1978-05-01,7.82
1978-06-01,8.33
1978-07-01,8.52
1978-08-01,8.48
1978-09-01,9.12
1978-10-01,10.12
1978-11-01,11.51
1978-12-01,11.62
1979-01-01,11.16
1979-02-01,10.79
1979-03-01,10.64
1979-04-01,10.6
1979-05-01,10.74
1979-06-01,10.52
1979-07-01,10.87
1979-08-01,11.53
1979-09-01,12.61
1979-10-01,14.59
1979-11-01,15
1979-12-01,14.51
1980-01-01,14.33
1980-02-01,15.32
1980-03-01,18.71
1980-04-01,17.81
1980-05-01,11.2
1980-06-01,9.41
1980-07-01,9.33
1980-08-01,10.82
1980-09-01,12.07
1980-10-01,13.55
1980-11-01,16.46
1980-12-01,19.47
1981-01-01,18.07
1981-02-01,17.18
1981-03-01,15.36
1981-04-01,15.95
1981-05-01,19.06
1981-06-01,17.86
1981-07-01,18.49
1981-08-01,18.79
1981-09-01,17.8
1981-10-01,16.34
1981-11-01,13.32
1981-12-01,13.24
1982-01-01,14.29
1982-02-01,15.75
1982-03-01,14.9
1982-04-01,15.18
1982-05-01,14.53
1982-06-01,15.45
1982-07-01,14.37
1982-08-01,11.57
1982-09-01,11.74
1982-10-01,10.43
1982-11-01,9.77
1982-12-01,9.47
1983-01-01,8.97
1983-02-01,9.14
1983-03-01,9.25
1983-04-01,9.23
1983-05-01,8.98
1983-06-01,9.66
1983-07-01,10
1983-08-01,10.27
1983-09-01,9.82
1983-10-01,9.54
1983-11-01,9.79
1983-12-01,10.08
1984-01-01,9.78
1984-02-01,9.91
1984-03-01,10.4
1984-04-01,10.83
1984-05-01,11.53
1984-06-01,11.68
1984-07-01,12.02
1984-08-01,11.8
1984-09-01,11.67
1984-10-01,10.77
1984-11-01,9.5
1984-12-01,8.9
1985-01-01,8.37
1985-02-01,9.05
1985-03-01,9.32
1985-04-01,8.74
1985-05-01,8.13
1985-06-01,7.6
1985-07-01,7.89
1985-08-01,8.02
1985-09-01,8.14
1985-10-01,8.08
1985-11-01,8.02
1985-12-01,7.99
1986-01-01,8.02
1986-02-01,7.89
1986-03-01,7.42
1986-04-01,6.8
1986-05-01,6.86
1986-06-01,6.95
1986-07-01,6.54
1986-08-01,6.06
1986-09-01,5.88
1986-10-01,5.88
1986-11-01,5.96
1986-12-01,6.23
1987-01-01,6.1
