"Date","IR3TED01USM156N"
1960-01-01,4.88
1960-02-01,4.56
1960-03-01,4.34
1960-04-01,4.25
1960-05-01,4.16
1960-06-01,4.13
1960-07-01,3.86
1960-08-01,3.69
1960-09-01,3.81
1960-10-01,4.06
1960-11-01,4.13
1960-12-01,4.31
1961-01-01,3.75
1961-02-01,3.69
1961-03-01,3.69
1961-04-01,3.59
1961-05-01,3.53
1961-06-01,3.34
1961-07-01,3.38
1961-08-01,3.31
1961-09-01,3.38
1961-10-01,3.47
1961-11-01,3.63
1961-12-01,3.13
1962-01-01,3.44
1962-02-01,3.5
1962-03-01,3.66
1962-04-01,3.41
1962-05-01,3.81
1962-06-01,3.75
1962-07-01,3.84
1962-08-01,3.78
1962-09-01,3.94
1962-10-01,4.13
1962-11-01,4
1962-12-01,3.94
1963-01-01,3.38
1963-02-01,3.5
1963-03-01,3.63
1963-04-01,3.72
1963-05-01,3.81
1963-06-01,3.88
1963-07-01,4
1963-08-01,4
1963-09-01,4.19
1963-10-01,4.13
1963-11-01,4.25
1963-12-01,4.25
1964-01-01,4.06
1964-02-01,4.19
1964-03-01,4.25
1964-04-01,4.19
1964-05-01,4.25
1964-06-01,4.31
1964-07-01,4.25
1964-08-01,4.25
1964-09-01,4.44
1964-10-01,4.53
1964-11-01,5
1964-12-01,4.56
1965-01-01,4.56
1965-02-01,4.63
1965-03-01,4.88
1965-04-01,4.88
1965-05-01,5.31
1965-06-01,4.94
1965-07-01,4.69
1965-08-01,4.56
1965-09-01,4.94
1965-10-01,5.06
1965-11-01,5.31
1965-12-01,5.31
1966-01-01,5.38
1966-02-01,5.41
1966-03-01,5.81
1966-04-01,5.78
1966-05-01,5.84
1966-06-01,6.09
1966-07-01,6.44
1966-08-01,6.84
1966-09-01,7.06
1966-10-01,7.06
1966-11-01,7.13
1966-12-01,6.56
1967-01-01,5.56
1967-02-01,5.69
1967-03-01,5.38
1967-04-01,4.69
1967-05-01,5.13
1967-06-01,5.38
1967-07-01,5.13
1967-08-01,5.03
1967-09-01,5.78
1967-10-01,5.78
1967-11-01,6.56
1967-12-01,6.31
1968-01-01,5.44
1968-02-01,5.66
1968-03-01,6.38
