"Date","NDR60MCD"
2021-04-01,0.28
2021-05-01,0.24
2021-06-01,0.27
2021-07-01,0.26
2021-08-01,0.26
2021-09-01,0.27
2021-10-01,0.27
2021-11-01,0.27
2021-12-01,0.24
2022-01-01,0.28
2022-02-01,0.28
2022-03-01,0.28
2022-04-01,0.29
2022-05-01,0.32
2022-06-01,0.39
2022-07-01,0.57
2022-08-01,0.64
2022-09-01,0.74
2022-10-01,0.83
2022-11-01,0.98
2022-12-01,1.09
2023-01-01,1.21
2023-02-01,1.26
2023-03-01,1.35
2023-04-01,1.35
2023-05-01,1.37
2023-06-01,1.37
2023-07-01,1.37
2023-08-01,1.37
2023-09-01,1.38
2023-10-01,1.38
2023-11-01,1.38
