"Date","H0RIFSPPFM01NM"
1956-04-01,2.88
1956-05-01,2.88
1956-06-01,2.88
1956-07-01,2.76
1956-08-01,2.85
1956-09-01,3
1956-10-01,3.24
1956-11-01,3.25
1956-12-01,3.25
1957-01-01,3.25
1957-02-01,3.25
1957-03-01,3.25
1957-04-01,3.25
1957-05-01,3.25
1957-06-01,3.34
1957-07-01,3.5
1957-08-01,3.5
1957-09-01,3.71
1957-10-01,3.75
1957-11-01,3.71
1957-12-01,3.43
1958-01-01,3.1
1958-02-01,2.07
1958-03-01,1.73
1958-04-01,1.47
1958-05-01,1.25
1958-06-01,1.25
1958-07-01,1.19
1958-08-01,1.38
1958-09-01,2.35
1958-10-01,2.25
1958-11-01,1.75
1958-12-01,2.11
1959-01-01,2.63
1959-02-01,2.74
1959-03-01,2.68
1959-04-01,2.84
1959-05-01,3
1959-06-01,3.17
1959-07-01,3.25
1959-08-01,3.32
1959-09-01,4.08
1959-10-01,4.02
1959-11-01,3.5
1959-12-01,4.34
1960-01-01,4.44
1960-02-01,3.84
1960-03-01,3.62
1960-04-01,3.42
1960-05-01,3.5
1960-06-01,2.76
1960-07-01,2.4
1960-08-01,2.26
1960-09-01,2.79
1960-10-01,2.5
1960-11-01,2.13
1960-12-01,2.3
1961-01-01,2.55
1961-02-01,2.42
1961-03-01,2.59
1961-04-01,2.2
1961-05-01,2.05
1961-06-01,2.53
1961-07-01,2.23
1961-08-01,2.14
1961-09-01,2.25
1961-10-01,2.23
1961-11-01,2.24
1961-12-01,2.63
1962-01-01,2.8
1962-02-01,2.67
1962-03-01,2.77
1962-04-01,2.89
1962-05-01,2.76
1962-06-01,2.92
1962-07-01,3.09
1962-08-01,2.91
1962-09-01,2.88
1962-10-01,2.77
1962-11-01,2.77
1962-12-01,2.99
1963-01-01,3.05
1963-02-01,3
1963-03-01,3.06
1963-04-01,3.04
1963-05-01,3.08
1963-06-01,3.18
1963-07-01,3.29
1963-08-01,3.43
1963-09-01,3.55
1963-10-01,3.56
1963-11-01,3.6
1963-12-01,3.66
1964-01-01,3.7
1964-02-01,3.66
1964-03-01,3.76
1964-04-01,3.69
1964-05-01,3.76
1964-06-01,3.83
1964-07-01,3.72
1964-08-01,3.68
1964-09-01,3.7
1964-10-01,3.75
1964-11-01,3.76
1964-12-01,3.97
1965-01-01,3.99
1965-02-01,4.04
1965-03-01,4.17
1965-04-01,4.22
1965-05-01,4.15
1965-06-01,4.25
1965-07-01,4.13
1965-08-01,4.13
1965-09-01,4.17
