"Date","HQMCB49YR"
1984-01-01,9.1
1984-02-01,10.62
1984-03-01,11
1984-04-01,11.29
1984-05-01,12.3
1984-06-01,12.54
1984-07-01,12.41
1984-08-01,11.91
1984-09-01,12.36
1984-10-01,10.34
1984-11-01,10.22
1984-12-01,11.21
1985-01-01,10.86
1985-02-01,9.83
1985-03-01,10.08
1985-04-01,9.96
1985-05-01,9.91
1985-06-01,9.5
1985-07-01,10.6
1985-08-01,10.97
1985-09-01,11.51
1985-10-01,11.4
1985-11-01,10.92
1985-12-01,10.31
1986-01-01,9.41
1986-02-01,9.55
1986-03-01,8.6
1986-04-01,8.29
1986-05-01,9.26
1986-06-01,9.99
1986-07-01,9.58
1986-08-01,9.79
1986-09-01,9.96
1986-10-01,10.07
1986-11-01,9.79
1986-12-01,9.51
1987-01-01,9.47
1987-02-01,9.41
1987-03-01,9.41
1987-04-01,10.25
1987-05-01,10.98
1987-06-01,10.48
1987-07-01,10.22
1987-08-01,10.28
1987-09-01,10.5
1987-10-01,10.5
1987-11-01,9.89
1987-12-01,10.02
1988-01-01,9.46
1988-02-01,9.28
1988-03-01,9.55
1988-04-01,10.17
1988-05-01,10.57
1988-06-01,10.22
1988-07-01,10.4
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.9
1988-11-01,9.84
1988-12-01,9.78
1989-01-01,9.84
1989-02-01,9.94
1989-03-01,9.91
1989-04-01,9.72
1989-05-01,9.62
1989-06-01,9.25
1989-07-01,9.28
1989-08-01,9.26
1989-09-01,9.24
1989-10-01,9.14
1989-11-01,9.03
1989-12-01,8.96
1990-01-01,9.03
1990-02-01,9.28
1990-03-01,9.5
1990-04-01,9.62
1990-05-01,9.89
1990-06-01,9.7
1990-07-01,9.76
1990-08-01,10.48
1990-09-01,10.69
1990-10-01,10.78
1990-11-01,10.46
1990-12-01,10.11
1991-01-01,10.06
1991-02-01,9.68
1991-03-01,9.98
1991-04-01,9.78
1991-05-01,9.95
1991-06-01,10.2
1991-07-01,10.14
1991-08-01,9.84
1991-09-01,9.72
1991-10-01,9.97
1991-11-01,10.06
1991-12-01,10.11
1992-01-01,10.08
1992-02-01,10.02
1992-03-01,9.94
1992-04-01,9.89
1992-05-01,9.73
1992-06-01,9.71
1992-07-01,9.79
1992-08-01,9.76
1992-09-01,9.86
1992-10-01,10.24
1992-11-01,9.98
1992-12-01,9.52
1993-01-01,9.49
1993-02-01,9.23
1993-03-01,8.94
1993-04-01,9.12
1993-05-01,9.27
1993-06-01,9.09
1993-07-01,8.77
1993-08-01,8.24
1993-09-01,8.15
1993-10-01,8.17
1993-11-01,8.38
1993-12-01,8.3
1994-01-01,8.31
1994-02-01,8.36
1994-03-01,8.58
1994-04-01,8.83
1994-05-01,8.77
1994-06-01,8.89
1994-07-01,8.99
1994-08-01,8.93
1994-09-01,9.24
1994-10-01,9.31
1994-11-01,9.29
1994-12-01,8.85
1995-01-01,8.9
1995-02-01,8.88
1995-03-01,8.98
1995-04-01,8.99
1995-05-01,8.56
1995-06-01,8.25
1995-07-01,8.47
1995-08-01,8.57
1995-09-01,8.35
1995-10-01,8.05
1995-11-01,7.89
1995-12-01,7.68
1996-01-01,7.68
1996-02-01,8.04
1996-03-01,8.36
1996-04-01,8.47
1996-05-01,8.41
1996-06-01,8.47
1996-07-01,8.4
