"Date","HQMCB11YR"
1984-01-01,12.87
1984-02-01,12.69
1984-03-01,13.08
1984-04-01,13.13
1984-05-01,13.46
1984-06-01,13.47
1984-07-01,13.5
1984-08-01,13.08
1984-09-01,12.85
1984-10-01,13.12
1984-11-01,12.77
1984-12-01,12.48
1985-01-01,12.37
1985-02-01,12.48
1985-03-01,12.83
1985-04-01,12.5
1985-05-01,12.16
1985-06-01,11.78
1985-07-01,11.63
1985-08-01,11.54
1985-09-01,11.46
1985-10-01,11.26
1985-11-01,10.88
1985-12-01,10.64
1986-01-01,10.29
1986-02-01,10.07
1986-03-01,9.7
1986-04-01,9.36
1986-05-01,9.22
1986-06-01,9.3
1986-07-01,9.34
1986-08-01,9.13
1986-09-01,9.17
1986-10-01,9.25
1986-11-01,9.13
1986-12-01,8.91
1987-01-01,8.54
1987-02-01,8.58
1987-03-01,8.47
1987-04-01,9.02
1987-05-01,9.48
1987-06-01,9.57
1987-07-01,9.74
1987-08-01,10.01
1987-09-01,10.56
1987-10-01,10.79
1987-11-01,10.28
1987-12-01,10.31
1988-01-01,10.07
1988-02-01,9.57
1988-03-01,9.6
1988-04-01,9.8
1988-05-01,10.07
1988-06-01,10
1988-07-01,10.05
1988-08-01,10.17
1988-09-01,9.97
1988-10-01,9.78
1988-11-01,9.84
1988-12-01,9.92
1989-01-01,9.85
1989-02-01,9.89
1989-03-01,10.06
1989-04-01,9.94
1989-05-01,9.72
1989-06-01,9.24
1989-07-01,8.96
1989-08-01,8.96
1989-09-01,9.07
1989-10-01,8.95
1989-11-01,8.88
1989-12-01,8.94
1990-01-01,9.21
1990-02-01,9.46
1990-03-01,9.48
1990-04-01,9.62
1990-05-01,9.61
1990-06-01,9.4
1990-07-01,9.41
1990-08-01,9.63
1990-09-01,9.78
1990-10-01,9.84
1990-11-01,9.74
1990-12-01,9.53
1991-01-01,9.49
1991-02-01,9.26
1991-03-01,9.33
1991-04-01,9.19
1991-05-01,9.18
1991-06-01,9.28
1991-07-01,9.29
1991-08-01,9.04
1991-09-01,8.83
1991-10-01,8.72
1991-11-01,8.67
1991-12-01,8.33
1992-01-01,8.17
1992-02-01,8.45
1992-03-01,8.57
1992-04-01,8.51
1992-05-01,8.47
1992-06-01,8.3
1992-07-01,7.98
1992-08-01,7.72
1992-09-01,7.56
1992-10-01,7.71
1992-11-01,7.99
1992-12-01,7.9
1993-01-01,7.75
1993-02-01,7.38
1993-03-01,7.13
1993-04-01,7.08
1993-05-01,7.1
1993-06-01,7.02
1993-07-01,6.83
1993-08-01,6.7
1993-09-01,6.36
1993-10-01,6.32
1993-11-01,6.66
1993-12-01,6.69
1994-01-01,6.65
1994-02-01,6.87
1994-03-01,7.38
1994-04-01,7.94
1994-05-01,8.11
1994-06-01,8.02
1994-07-01,8.2
1994-08-01,8.11
1994-09-01,8.34
1994-10-01,8.61
1994-11-01,8.76
1994-12-01,8.6
1995-01-01,8.56
1995-02-01,8.26
1995-03-01,8.02
1995-04-01,7.88
1995-05-01,7.45
1995-06-01,7.03
1995-07-01,7.14
1995-08-01,7.34
1995-09-01,7.03
1995-10-01,6.85
1995-11-01,6.76
1995-12-01,6.54
1996-01-01,6.51
1996-02-01,6.7
1996-03-01,7.11
1996-04-01,7.32
1996-05-01,7.54
1996-06-01,7.7
1996-07-01,7.65
1996-08-01,7.42
1996-09-01,7.61
1996-10-01,7.3
1996-11-01,6.96
1996-12-01,7.07
1997-01-01,7.34
1997-02-01,7.17
1997-03-01,7.43
1997-04-01,7.61
1997-05-01,7.46
1997-06-01,7.22
1997-07-01,6.94
1997-08-01,7.03
1997-09-01,6.92
1997-10-01,6.78
1997-11-01,6.68
1997-12-01,6.61
1998-01-01,6.4
1998-02-01,6.48
1998-03-01,6.53
1998-04-01,6.51
1998-05-01,6.52
1998-06-01,6.36
1998-07-01,6.37
1998-08-01,6.38
1998-09-01,6.13
1998-10-01,6.07
1998-11-01,6.25
1998-12-01,6.02
1999-01-01,6.03
1999-02-01,6.27
1999-03-01,6.5
1999-04-01,6.46
1999-05-01,6.86
1999-06-01,7.28
1999-07-01,7.22
1999-08-01,7.44
1999-09-01,7.39
1999-10-01,7.54
1999-11-01,7.36
1999-12-01,7.59
2000-01-01,7.95
2000-02-01,7.88
2000-03-01,7.8
2000-04-01,7.74
2000-05-01,8.28
2000-06-01,7.95
2000-07-01,7.87
2000-08-01,7.7
2000-09-01,7.75
2000-10-01,7.76
2000-11-01,7.73
2000-12-01,7.34
2001-01-01,7.16
2001-02-01,7.05
2001-03-01,6.86
2001-04-01,7.1
2001-05-01,7.2
2001-06-01,7.05
2001-07-01,7.01
2001-08-01,6.78
2001-09-01,6.9
2001-10-01,6.64
2001-11-01,6.46
2001-12-01,6.8
2002-01-01,6.7
2002-02-01,6.61
2002-03-01,6.87
2002-04-01,6.83
2002-05-01,6.82
2002-06-01,6.57
2002-07-01,6.53
2002-08-01,6.32
2002-09-01,5.96
2002-10-01,6.08
2002-11-01,5.92
2002-12-01,5.77
2003-01-01,5.64
2003-02-01,5.5
2003-03-01,5.4
2003-04-01,5.4
2003-05-01,4.96
2003-06-01,4.7
2003-07-01,5.29
2003-08-01,5.8
2003-09-01,5.6
2003-10-01,5.57
2003-11-01,5.53
2003-12-01,5.48
2004-01-01,5.34
2004-02-01,5.28
2004-03-01,5.03
2004-04-01,5.55
2004-05-01,5.98
2004-06-01,6
2004-07-01,5.75
2004-08-01,5.53
2004-09-01,5.33
2004-10-01,5.28
2004-11-01,5.33
2004-12-01,5.31
2005-01-01,5.26
2005-02-01,5.13
2005-03-01,5.43
2005-04-01,5.33
2005-05-01,5.15
2005-06-01,4.97
2005-07-01,5.11
2005-08-01,5.16
2005-09-01,5.14
2005-10-01,5.41
2005-11-01,5.51
2005-12-01,5.45
2006-01-01,5.41
2006-02-01,5.56
2006-03-01,5.71
2006-04-01,5.99
2006-05-01,6.12
2006-06-01,6.15
2006-07-01,6.13
2006-08-01,5.91
2006-09-01,5.75
2006-10-01,5.75
2006-11-01,5.6
2006-12-01,5.55
2007-01-01,5.73
2007-02-01,5.73
2007-03-01,5.64
2007-04-01,5.76
2007-05-01,5.81
2007-06-01,6.18
2007-07-01,6.2
2007-08-01,6.17
2007-09-01,6.1
2007-10-01,6.01
2007-11-01,6.01
2007-12-01,6.11
2008-01-01,5.99
2008-02-01,6.15
2008-03-01,6.38
2008-04-01,6.25
2008-05-01,6.37
2008-06-01,6.66
2008-07-01,6.92
2008-08-01,6.94
2008-09-01,7.5
2008-10-01,8.89
2008-11-01,8.42
2008-12-01,7.27
2009-01-01,6.97
2009-02-01,7.15
2009-03-01,7.54
2009-04-01,7.28
2009-05-01,7.18
2009-06-01,6.72
2009-07-01,6.4
2009-08-01,6.03
2009-09-01,5.69
2009-10-01,5.64
2009-11-01,5.6
2009-12-01,5.68
2010-01-01,5.67
2010-02-01,5.79
2010-03-01,5.66
2010-04-01,5.62
2010-05-01,5.42
2010-06-01,5.34
2010-07-01,5.08
2010-08-01,4.79
2010-09-01,4.7
2010-10-01,4.66
2010-11-01,4.81
2010-12-01,5.17
2011-01-01,5.21
2011-02-01,5.3
2011-03-01,5.19
2011-04-01,5.19
2011-05-01,4.96
2011-06-01,4.93
2011-07-01,4.92
2011-08-01,4.52
2011-09-01,4.38
2011-10-01,4.51
2011-11-01,4.46
2011-12-01,4.44
2012-01-01,4.35
2012-02-01,4.29
2012-03-01,4.38
2012-04-01,4.31
2012-05-01,4.11
2012-06-01,3.94
2012-07-01,3.67
2012-08-01,3.74
2012-09-01,3.72
2012-10-01,3.56
2012-11-01,3.47
2012-12-01,3.53
2013-01-01,3.71
2013-02-01,3.79
2013-03-01,3.77
2013-04-01,3.57
2013-05-01,3.73
2013-06-01,4.22
2013-07-01,4.47
2013-08-01,4.62
2013-09-01,4.67
2013-10-01,4.47
2013-11-01,4.54
2013-12-01,4.59
2014-01-01,4.43
2014-02-01,4.28
2014-03-01,4.21
2014-04-01,4.11
2014-05-01,3.96
2014-06-01,3.98
2014-07-01,3.9
2014-08-01,3.8
2014-09-01,3.93
2014-10-01,3.76
2014-11-01,3.82
2014-12-01,3.71
2015-01-01,3.42
2015-02-01,3.47
2015-03-01,3.54
2015-04-01,3.48
2015-05-01,3.83
2015-06-01,4.08
2015-07-01,4.11
2015-08-01,4.01
2015-09-01,4.08
2015-10-01,3.99
2015-11-01,4.11
2015-12-01,4.1
2016-01-01,4.06
2016-02-01,3.94
2016-03-01,3.84
2016-04-01,3.62
2016-05-01,3.55
2016-06-01,3.41
2016-07-01,3.22
2016-08-01,3.24
2016-09-01,3.3
2016-10-01,3.4
2016-11-01,3.76
2016-12-01,4
2017-01-01,3.88
2017-02-01,3.88
2017-03-01,3.92
2017-04-01,3.74
2017-05-01,3.73
2017-06-01,3.56
2017-07-01,3.63
2017-08-01,3.53
2017-09-01,3.54
2017-10-01,3.59
2017-11-01,3.53
2017-12-01,3.52
2018-01-01,3.63
2018-02-01,3.94
2018-03-01,3.97
2018-04-01,4.03
2018-05-01,4.18
2018-06-01,4.19
2018-07-01,4.21
2018-08-01,4.16
2018-09-01,4.28
2018-10-01,4.39
2018-11-01,4.45
2018-12-01,4.31
2019-01-01,4.26
2019-02-01,4.13
2019-03-01,4
2019-04-01,3.88
2019-05-01,3.73
2019-06-01,3.48
2019-07-01,3.34
2019-08-01,2.96
2019-09-01,3.04
2019-10-01,3.04
2019-11-01,3.06
2019-12-01,3.04
2020-01-01,2.9
2020-02-01,2.68
2020-03-01,3.03
2020-04-01,2.91
2020-05-01,2.78
2020-06-01,2.57
2020-07-01,2.23
2020-08-01,2.2
2020-09-01,2.29
2020-10-01,2.35
2020-11-01,2.3
2020-12-01,2.25
2021-01-01,2.37
2021-02-01,2.51
2021-03-01,2.92
2021-04-01,2.87
2021-05-01,2.86
2021-06-01,2.72
2021-07-01,2.52
2021-08-01,2.51
2021-09-01,2.58
2021-10-01,2.77
2021-11-01,2.76
2021-12-01,2.74
2022-01-01,3.05
2022-02-01,3.37
2022-03-01,3.73
2022-04-01,4.29
2022-05-01,4.64
2022-06-01,4.87
2022-07-01,4.72
2022-08-01,4.66
2022-09-01,5.35
2022-10-01,5.91
2022-11-01,5.68
2022-12-01,5.23
2023-01-01,5.04
2023-02-01,5.18
2023-03-01,5.23
2023-04-01,4.98
2023-05-01,5.15
2023-06-01,5.27
2023-07-01,5.33
2023-08-01,5.55
