"Date","TP10J14"
2004-02-01,1.74
2004-03-01,1.44
2004-04-01,1.86
2004-05-01,2.07
2004-06-01,2.11
2004-07-01,1.98
2004-08-01,1.8
2004-09-01,1.76
2004-10-01,1.67
2004-11-01,1.6
2004-12-01,1.57
2005-01-01,1.63
2005-02-01,1.55
2005-03-01,1.69
2005-04-01,1.61
2005-05-01,1.58
2005-06-01,1.6
2005-07-01,1.82
2005-08-01,1.84
2005-09-01,1.64
2005-10-01,1.89
2005-11-01,2.05
2005-12-01,2.12
2006-01-01,1.99
2006-02-01,2.04
2006-03-01,2.18
2006-04-01,2.37
2006-05-01,2.4
2006-06-01,2.5
2006-07-01,2.49
2006-08-01,2.29
2006-09-01,2.34
2006-10-01,2.44
2006-11-01,2.34
2006-12-01,2.27
2007-01-01,2.46
2007-02-01,2.37
2007-03-01,2.13
2007-04-01,2.2
2007-05-01,2.32
2007-06-01,2.68
2007-07-01,2.65
2007-08-01,2.47
2007-09-01,2.24
2007-10-01,2.13
2007-11-01,1.57
2007-12-01,1.5
2008-01-01,1.06
2008-02-01,0.9
2008-03-01,0.52
2008-04-01,0.82
2008-05-01,0.97
2008-06-01,1.1
2008-07-01,0.98
2008-08-01,1.26
2008-09-01,1.6
2008-10-01,2.81
2008-11-01,3.72
2008-12-01,3.38
2009-01-01,2.55
2009-02-01,1.93
2009-03-01,1.79
2009-04-01,1.47
2009-05-01,1.49
2009-06-01,1.44
2009-07-01,1.48
2009-08-01,1.58
2009-09-01,1.26
2009-10-01,0.99
2009-11-01,0.54
2009-12-01,0.45
2010-01-01,0.34
2010-02-01,0.24
2010-03-01,0.28
2010-04-01,0.27
2010-05-01,0.16
2010-06-01,0.26
2010-07-01,0.23
2010-08-01,0.01
2010-09-01,-0.03
2010-10-01,-0.55
2010-11-01,-0.47
2010-12-01,-0.29
2011-01-01,-0.68
2011-02-01,-0.68
2011-03-01,-1.18
2011-04-01,-1.4
2011-05-01,-1.4
2011-06-01,-1.2
2011-07-01,-1.28
2011-08-01,-1.06
2011-09-01,-1.03
2011-10-01,-0.9
2011-11-01,-1.09
2011-12-01,-0.94
2012-01-01,-1.25
2012-02-01,-1.7
2012-03-01,-1.94
2012-04-01,-1.66
2012-05-01,-1.23
2012-06-01,-0.64
2012-07-01,-0.77
2012-08-01,-1.16
2012-09-01,-1.49
2012-10-01,-1.3
2012-11-01,-0.93
2012-12-01,-1.01
2013-01-01,-1.44
2013-02-01,-2.13
2013-03-01,-2.27
2013-04-01,-1.41
2013-05-01,-0.69
2013-06-01,-0.44
2013-07-01,-1.05
2013-08-01,-0.83
2013-09-01,-0.32
2013-10-01,0.37
2013-11-01,1.74
2013-12-01,2.87
