"Date","ATLSBUIRUI"
2015-01-01,108.5922
2015-02-01,101.9462
2015-03-01,105.0647
2015-04-01,103.6481
2015-05-01,100.1225
2015-06-01,97.20638
2015-07-01,93.20482
2015-08-01,109.4596
2015-09-01,110.0902
2015-10-01,107.65
2015-11-01,106.3424
2015-12-01,101.3036
2016-01-01,99.09952
2016-02-01,102.0565
2016-03-01,103.755
2016-04-01,106.0205
2016-05-01,83.33857
2016-06-01,78.24085
2016-07-01,76.46952
2016-08-01,79.66798
2016-09-01,82.67326
2016-10-01,87.30209
2016-11-01,90.86138
2016-12-01,96.77575
2017-01-01,90.69393
2017-02-01,101.4831
2017-03-01,91.75069
2017-04-01,105.386
2017-05-01,95.26043
2017-06-01,102.1132
2017-07-01,90.24464
2017-08-01,109.1268
2017-09-01,104.038
2017-10-01,107.9264
2017-11-01,87.51086
2017-12-01,103.014
2018-01-01,98.48028
2018-02-01,117.3642
2018-03-01,97.97311
2018-04-01,109.9491
2018-05-01,94.56051
2018-06-01,110.1346
2018-07-01,99.98231
2018-08-01,109.6661
2018-09-01,101.5909
2018-10-01,118.9034
2018-11-01,106.5171
2018-12-01,115.4386
2019-01-01,98.72257
2019-02-01,103.8022
2019-03-01,92.53117
2019-04-01,99.88216
2019-05-01,97.69474
2019-06-01,95.41099
2019-07-01,93.95958
2019-08-01,97.26256
2019-09-01,102.1375
2019-10-01,97.72048
2019-11-01,89.08939
2019-12-01,102.7978
2020-01-01,112.181
2020-02-01,117.0696
2020-03-01,110.6078
2020-04-01,111.0993
2020-05-01,111.3976
2020-06-01,110.6925
2020-07-01,106.7588
