"Date","ATLSBUBUI"
2015-01-01,125.9959
2015-02-01,121.2822
2015-03-01,121.4061
2015-04-01,118.9372
2015-05-01,114.6112
2015-06-01,112.1915
2015-07-01,107.8741
2015-08-01,111.9228
2015-09-01,111.0901
2015-10-01,107.6138
2015-11-01,105.5112
2015-12-01,100.2093
2016-01-01,97.97992
2016-02-01,99.60931
2016-03-01,98.93388
2016-04-01,98.19465
2016-05-01,88.77381
2016-06-01,85.19549
2016-07-01,89.12893
2016-08-01,89.68027
2016-09-01,96.70313
2016-10-01,103.1656
2016-11-01,107.5034
2016-12-01,101.1448
2017-01-01,97.6064
2017-02-01,98.42664
2017-03-01,96.74265
2017-04-01,99.10352
2017-05-01,88.6889
2017-06-01,92.32583
2017-07-01,86.16557
2017-08-01,102.7387
2017-09-01,98.07069
2017-10-01,99.68811
2017-11-01,86.22243
2017-12-01,92.2378
2018-01-01,96.22539
2018-02-01,96.15253
2018-03-01,91.03157
2018-04-01,90.19571
2018-05-01,89.40188
2018-06-01,90.77168
2018-07-01,91.61881
2018-08-01,93.74069
2018-09-01,95.58144
2018-10-01,99.34119
2018-11-01,102.1532
2018-12-01,111.1103
2019-01-01,100.4117
2019-02-01,98.20862
2019-03-01,80.59769
2019-04-01,96.87588
2019-05-01,92.74996
2019-06-01,105.3859
2019-07-01,92.28261
2019-08-01,98.07636
2019-09-01,92.61324
2019-10-01,93.87809
2019-11-01,99.63879
2019-12-01,113.0538
2020-01-01,113.5262
2020-02-01,113.7222
2020-03-01,138.14
2020-04-01,225.8428
2020-05-01,279.1022
2020-06-01,305.358
2020-07-01,271.2264
