"Date","TY60MCD"
2021-04-01,0.75
2021-05-01,0.92
2021-06-01,0.86
2021-07-01,0.87
2021-08-01,0.87
2021-09-01,0.77
2021-10-01,0.98
2021-11-01,0.98
2021-12-01,1.18
2022-01-01,1.14
2022-02-01,1.62
2022-03-01,1.62
2022-04-01,1.71
2022-05-01,2.42
2022-06-01,2.92
2022-07-01,3.01
2022-08-01,2.7
2022-09-01,3.3
2022-10-01,4.06
2022-11-01,4.27
2022-12-01,3.82
2023-01-01,3.99
2023-02-01,3.63
2023-03-01,4.18
2023-04-01,4.18
2023-05-01,3.6
2023-06-01,3.51
2023-07-01,4.13
2023-08-01,4.13
2023-09-01,4.23
2023-10-01,4.6
2023-11-01,4.6
