"Date","HQMCB43Y6M"
1984-01-01,9.28
1984-02-01,10.71
1984-03-01,11.1
1984-04-01,11.37
1984-05-01,12.34
1984-06-01,12.57
1984-07-01,12.44
1984-08-01,11.95
1984-09-01,12.37
1984-10-01,10.47
1984-11-01,10.34
1984-12-01,11.27
1985-01-01,10.93
1985-02-01,9.96
1985-03-01,10.22
1985-04-01,10.08
1985-05-01,10.02
1985-06-01,9.61
1985-07-01,10.65
1985-08-01,11
1985-09-01,11.51
1985-10-01,11.39
1985-11-01,10.92
1985-12-01,10.32
1986-01-01,9.44
1986-02-01,9.57
1986-03-01,8.65
1986-04-01,8.34
1986-05-01,9.26
1986-06-01,9.95
1986-07-01,9.57
1986-08-01,9.77
1986-09-01,9.93
1986-10-01,10.04
1986-11-01,9.77
1986-12-01,9.49
1987-01-01,9.43
1987-02-01,9.38
1987-03-01,9.37
1987-04-01,10.2
1987-05-01,10.91
1987-06-01,10.45
1987-07-01,10.21
1987-08-01,10.28
1987-09-01,10.51
1987-10-01,10.52
1987-11-01,9.92
1987-12-01,10.04
1988-01-01,9.49
1988-02-01,9.3
1988-03-01,9.56
1988-04-01,10.16
1988-05-01,10.55
1988-06-01,10.21
1988-07-01,10.39
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.9
1988-11-01,9.84
1988-12-01,9.79
1989-01-01,9.84
1989-02-01,9.93
1989-03-01,9.92
1989-04-01,9.73
1989-05-01,9.63
1989-06-01,9.25
1989-07-01,9.27
1989-08-01,9.25
1989-09-01,9.23
1989-10-01,9.13
1989-11-01,9.02
1989-12-01,8.96
1990-01-01,9.04
1990-02-01,9.29
1990-03-01,9.5
1990-04-01,9.62
1990-05-01,9.87
1990-06-01,9.69
1990-07-01,9.74
1990-08-01,10.44
1990-09-01,10.65
1990-10-01,10.73
1990-11-01,10.42
1990-12-01,10.08
1991-01-01,10.03
1991-02-01,9.66
1991-03-01,9.95
1991-04-01,9.76
1991-05-01,9.91
1991-06-01,10.16
1991-07-01,10.1
1991-08-01,9.8
1991-09-01,9.68
1991-10-01,9.92
1991-11-01,10
1991-12-01,10.03
1992-01-01,9.99
1992-02-01,9.95
1992-03-01,9.88
1992-04-01,9.82
1992-05-01,9.68
1992-06-01,9.65
1992-07-01,9.71
1992-08-01,9.67
1992-09-01,9.76
1992-10-01,10.13
1992-11-01,9.89
1992-12-01,9.45
1993-01-01,9.41
1993-02-01,9.15
1993-03-01,8.86
1993-04-01,9.03
1993-05-01,9.18
1993-06-01,9
1993-07-01,8.69
1993-08-01,8.17
1993-09-01,8.07
1993-10-01,8.09
1993-11-01,8.31
1993-12-01,8.23
1994-01-01,8.24
1994-02-01,8.3
1994-03-01,8.54
1994-04-01,8.79
1994-05-01,8.74
1994-06-01,8.86
1994-07-01,8.96
1994-08-01,8.89
1994-09-01,9.2
1994-10-01,9.28
1994-11-01,9.27
1994-12-01,8.84
1995-01-01,8.88
