"Date","TP10J09"
1999-01-01,3.8
1999-02-01,3.79
1999-03-01,3.89
1999-04-01,3.9
1999-05-01,3.85
1999-06-01,3.95
1999-07-01,4.01
1999-08-01,4.03
1999-09-01,4.05
1999-10-01,4.12
1999-11-01,4.1
1999-12-01,4.25
2000-01-01,4.37
2000-02-01,4.3
2000-03-01,4.18
2000-04-01,3.99
2000-05-01,4.17
2000-06-01,4.11
2000-07-01,4.05
2000-08-01,4.02
2000-09-01,4
2000-10-01,3.92
2000-11-01,3.86
2000-12-01,3.77
2001-01-01,3.52
2001-02-01,3.4
2001-03-01,3.29
2001-04-01,3.3
2001-05-01,3.2
2001-06-01,3.2
2001-07-01,3.34
2001-08-01,3.27
2001-09-01,3.12
2001-10-01,3.02
2001-11-01,3.14
2001-12-01,3.47
2002-01-01,3.39
2002-02-01,3.23
2002-03-01,3.27
2002-04-01,3.02
2002-05-01,2.88
2002-06-01,2.85
2002-07-01,2.66
2002-08-01,2.26
2002-09-01,1.98
2002-10-01,2.08
2002-11-01,2.18
2002-12-01,2.13
2003-01-01,1.86
2003-02-01,1.49
2003-03-01,1.35
2003-04-01,1.57
2003-05-01,1.35
2003-06-01,1.06
2003-07-01,1.42
2003-08-01,1.6
2003-09-01,1.43
2003-10-01,1.27
2003-11-01,1.3
2003-12-01,1.24
2004-01-01,1.06
2004-02-01,0.82
2004-03-01,0.46
2004-04-01,0.93
2004-05-01,1.24
2004-06-01,1.28
2004-07-01,1.14
2004-08-01,0.96
2004-09-01,0.93
2004-10-01,0.78
2004-11-01,0.71
2004-12-01,0.73
2005-01-01,0.99
2005-02-01,0.94
2005-03-01,1.08
2005-04-01,0.99
2005-05-01,1.05
2005-06-01,1.24
2005-07-01,1.54
2005-08-01,1.56
2005-09-01,1.14
2005-10-01,1.44
2005-11-01,1.87
2005-12-01,2.12
2006-01-01,1.93
2006-02-01,1.89
2006-03-01,1.97
2006-04-01,2.04
2006-05-01,2.06
2006-06-01,2.31
2006-07-01,2.41
2006-08-01,2.3
2006-09-01,2.57
2006-10-01,2.81
2006-11-01,2.75
2006-12-01,2.36
2007-01-01,2.51
2007-02-01,2.29
2007-03-01,1.82
2007-04-01,1.87
2007-05-01,2.2
2007-06-01,2.78
2007-07-01,2.97
2007-08-01,2.93
2007-09-01,2.44
2007-10-01,1.96
2007-11-01,0.89
2007-12-01,1.03
2008-01-01,0.43
2008-02-01,0.05
2008-03-01,-0.84
2008-04-01,-0.78
2008-05-01,-1.07
2008-06-01,-1.55
2008-07-01,-1.28
2008-08-01,1.25
2008-09-01,4.3
2008-10-01,8.43
2008-11-01,13.3
2008-12-01,20.16
