"Date","ATLSBUSGUI"
2015-01-01,117.6656
2015-02-01,118.3045
2015-03-01,112.6008
2015-04-01,109.6858
2015-05-01,108.3037
2015-06-01,106.4046
2015-07-01,104.5035
2015-08-01,99.97832
2015-09-01,97.79914
2015-10-01,95.72423
2015-11-01,92.99848
2015-12-01,93.54001
2016-01-01,91.83264
2016-02-01,89.50545
2016-03-01,90.93378
2016-04-01,88.77006
2016-05-01,91.76014
2016-06-01,97.14455
2016-07-01,101.7534
2016-08-01,100.0887
2016-09-01,111.1095
2016-10-01,117.6513
2016-11-01,126.6226
2016-12-01,112.7339
2017-01-01,112.8577
2017-02-01,103.6697
2017-03-01,108.1394
2017-04-01,96.22113
2017-05-01,88.67865
2017-06-01,90.61513
2017-07-01,93.47792
2017-08-01,103.9286
2017-09-01,100.5722
2017-10-01,99.82902
2017-11-01,95.78532
2017-12-01,91.8846
2018-01-01,103.2902
2018-02-01,87.0213
2018-03-01,94.5782
2018-04-01,83.83019
2018-05-01,95.54585
2018-06-01,86.16521
2018-07-01,94.49729
2018-08-01,88.24221
2018-09-01,97.29062
2018-10-01,88.73238
2018-11-01,105.1901
2018-12-01,112.5424
2019-01-01,111.77
2019-02-01,106.0308
2019-03-01,87.93507
2019-04-01,106.0456
2019-05-01,97.24242
2019-06-01,119.6467
2019-07-01,100.1947
2019-08-01,109.1177
2019-09-01,95.7042
2019-10-01,100.2621
2019-11-01,116.8326
2019-12-01,124.9368
2020-01-01,117.9315
2020-02-01,113.507
2020-03-01,161.9442
2020-04-01,302.3985
2020-05-01,384.6194
2020-06-01,427.3591
2020-07-01,377.8877
