"Date","MSWP7"
2000-07-01,7.2
2000-08-01,7.04
2000-09-01,6.92
2000-10-01,6.8
2000-11-01,6.78
2000-12-01,6.2
2001-01-01,5.87
2001-02-01,5.84
2001-03-01,5.65
2001-04-01,5.75
2001-05-01,5.9
2001-06-01,5.85
2001-07-01,5.84
2001-08-01,5.57
2001-09-01,5.18
2001-10-01,4.9
2001-11-01,4.95
2001-12-01,5.5
2002-01-01,5.37
2002-02-01,5.28
2002-03-01,5.64
2002-04-01,5.51
2002-05-01,5.33
2002-06-01,5.06
2002-07-01,4.76
2002-08-01,4.37
2002-09-01,3.99
2002-10-01,4.05
2002-11-01,4.03
2002-12-01,3.99
2003-01-01,3.97
2003-02-01,3.82
2003-03-01,3.7
2003-04-01,3.83
2003-05-01,3.38
2003-06-01,3.11
2003-07-01,3.76
2003-08-01,4.42
2003-09-01,4.19
2003-10-01,4.17
2003-11-01,4.19
2003-12-01,4.16
2004-01-01,4.01
2004-02-01,3.97
2004-03-01,3.68
2004-04-01,4.28
2004-05-01,4.79
2004-06-01,4.83
2004-07-01,4.57
2004-08-01,4.34
2004-09-01,4.17
2004-10-01,4.13
2004-11-01,4.26
2004-12-01,4.29
2005-01-01,4.33
2005-02-01,4.32
2005-03-01,4.73
2005-04-01,4.61
2005-05-01,4.42
2005-06-01,4.27
2005-07-01,4.49
2005-08-01,4.62
2005-09-01,4.52
2005-10-01,4.84
2005-11-01,5
2005-12-01,4.96
2006-01-01,4.87
2006-02-01,5.08
2006-03-01,5.22
2006-04-01,5.45
2006-05-01,5.55
2006-06-01,5.62
2006-07-01,5.63
2006-08-01,5.37
2006-09-01,5.2
2006-10-01,5.21
2006-11-01,5.05
2006-12-01,4.97
2007-01-01,5.19
2007-02-01,5.18
2007-03-01,5.01
2007-04-01,5.12
2007-05-01,5.2
2007-06-01,5.62
2007-07-01,5.57
2007-08-01,5.25
2007-09-01,5
2007-10-01,4.99
2007-11-01,4.69
2007-12-01,4.52
2008-01-01,4
2008-02-01,4.01
2008-03-01,3.8
2008-04-01,3.99
2008-05-01,4.21
2008-06-01,4.58
2008-07-01,4.47
2008-08-01,4.38
2008-09-01,4.11
2008-10-01,4.09
2008-11-01,3.63
2008-12-01,2.54
2009-01-01,2.42
2009-02-01,2.84
2009-03-01,2.8
2009-04-01,2.76
2009-05-01,3.04
2009-06-01,3.63
2009-07-01,3.37
2009-08-01,3.46
2009-09-01,3.2
2009-10-01,3.15
2009-11-01,3.08
2009-12-01,3.24
2010-01-01,3.33
2010-02-01,3.27
2010-03-01,3.24
2010-04-01,3.33
2010-05-01,3
2010-06-01,2.82
2010-07-01,2.53
2010-08-01,2.2
2010-09-01,2.16
2010-10-01,2.02
2010-11-01,2.25
2010-12-01,2.8
2011-01-01,2.87
2011-02-01,3.11
2011-03-01,2.96
2011-04-01,2.97
2011-05-01,2.67
2011-06-01,2.5
2011-07-01,2.5
2011-08-01,1.89
2011-09-01,1.69
2011-10-01,1.87
2011-11-01,1.76
2011-12-01,1.72
2012-01-01,1.62
2012-02-01,1.57
2012-03-01,1.74
2012-04-01,1.64
2012-05-01,1.5
2012-06-01,1.36
2012-07-01,1.21
2012-08-01,1.32
2012-09-01,1.25
2012-10-01,1.26
2012-11-01,1.19
2012-12-01,1.23
2013-01-01,1.39
2013-02-01,1.49
2013-03-01,1.48
2013-04-01,1.35
2013-05-01,1.49
2013-06-01,1.92
2013-07-01,2.2
2013-08-01,2.32
2013-09-01,2.39
2013-10-01,2.13
2013-11-01,2.16
2013-12-01,2.33
2014-01-01,2.37
2014-02-01,2.24
2014-03-01,2.3
2014-04-01,2.33
2014-05-01,2.18
2014-06-01,2.24
2014-07-01,2.23
2014-08-01,2.18
2014-09-01,2.3
2014-10-01,2.09
2014-11-01,2.12
2014-12-01,2.06
2015-01-01,1.77
2015-02-01,1.87
2015-03-01,1.92
2015-04-01,1.78
2015-05-01,1.99
2015-06-01,2.15
2015-07-01,2.1
2015-08-01,1.95
2015-09-01,1.87
2015-10-01,1.71
2015-11-01,1.87
2015-12-01,1.9
2016-01-01,1.7
2016-02-01,1.39
2016-03-01,1.51
2016-04-01,1.43
2016-05-01,1.44
2016-06-01,1.3
2016-07-01,1.21
2016-08-01,1.27
2016-09-01,1.32
