"Date","M0130AUSM561NNBR"
1877-01-01,4.71
1877-02-01,4.78
1877-03-01,4.83
1877-04-01,4.85
1877-05-01,4.8
1877-06-01,4.72
1877-07-01,4.7
1877-08-01,4.74
1877-09-01,4.84
1877-10-01,5
1877-11-01,5.2
1877-12-01,5.43
1878-01-01,5.7
1878-02-01,5.9
1878-03-01,5.98
1878-04-01,5.9
1878-05-01,5.76
1878-06-01,5.63
1878-07-01,5.45
1878-08-01,5.32
1878-09-01,5.25
1878-10-01,5.32
1878-11-01,5.4
1878-12-01,5.47
1879-01-01,5.51
1879-02-01,5.54
1879-03-01,5.58
1879-04-01,5.63
1879-05-01,5.74
1879-06-01,5.98
1879-07-01,6.4
1879-08-01,6.84
1879-09-01,7.31
1879-10-01,7.83
1879-11-01,8.33
1879-12-01,8.83
1880-01-01,9.25
1880-02-01,9.59
1880-03-01,9.75
1880-04-01,9.74
1880-05-01,9.5
1880-06-01,9.07
1880-07-01,8.6
1880-08-01,8.45
1880-09-01,8.6
1880-10-01,8.89
1880-11-01,9.15
1880-12-01,9.42
1881-01-01,9.71
1881-02-01,9.93
1881-03-01,10.03
1881-04-01,9.97
1881-05-01,9.8
1881-06-01,9.64
1881-07-01,9.49
1881-08-01,9.44
1881-09-01,9.54
1881-10-01,9.69
1881-11-01,9.95
1881-12-01,10.36
1882-01-01,10.98
1882-02-01,11.34
1882-03-01,11.25
1882-04-01,11.03
1882-05-01,10.8
1882-06-01,10.57
1882-07-01,10.3
1882-08-01,10.24
1882-09-01,10.48
1882-10-01,11.15
1882-11-01,11.56
1882-12-01,11.83
1883-01-01,12
1883-02-01,12.02
1883-03-01,11.88
1883-04-01,11.49
1883-05-01,11.18
1883-06-01,11.08
1883-07-01,11.04
1883-08-01,10.98
1883-09-01,10.92
1883-10-01,10.77
1883-11-01,10.62
1883-12-01,10.38
1884-01-01,9.94
1884-02-01,9.67
1884-03-01,9.82
1884-04-01,10.22
1884-05-01,10.45
1884-06-01,10.59
1884-07-01,10.74
1884-08-01,10.23
1884-09-01,9.85
1884-10-01,9.9
1884-11-01,10.09
1884-12-01,9.44
1885-01-01,9.05
1885-02-01,9.8
1885-03-01,10.1
1885-04-01,9.9
1885-05-01,9.71
1885-06-01,9.6
1885-07-01,9.84
1885-08-01,9.9
1885-09-01,9.8
1885-10-01,10.23
1885-11-01,11.2
1885-12-01,12.1
1886-01-01,12.19
1886-02-01,11.96
1886-03-01,12.81
1886-04-01,14.23
1886-05-01,15.03
1886-06-01,15.3
1886-07-01,15.13
1886-08-01,14.78
1886-09-01,14.88
1886-10-01,15.39
1886-11-01,15.63
1886-12-01,15.84
1887-01-01,16.26
1887-02-01,16.54
1887-03-01,16.71
1887-04-01,17.03
1887-05-01,14.65
1887-06-01,12.13
1887-07-01,12.97
1887-08-01,15.42
1887-09-01,17.57
1887-10-01,18.35
1887-11-01,18.47
1887-12-01,17.97
1888-01-01,16.26
1888-02-01,14.59
1888-03-01,14.48
1888-04-01,15.17
1888-05-01,15.61
1888-06-01,15.23
1888-07-01,15.19
1888-08-01,16
1888-09-01,16.7
1888-10-01,17.58
1888-11-01,18.72
1888-12-01,19.65
1889-01-01,19.55
1889-02-01,19.18
1889-03-01,19.23
1889-04-01,18.77
1889-05-01,17.94
1889-06-01,17.67
1889-07-01,18.03
1889-08-01,18.18
1889-09-01,18.75
1889-10-01,20.18
1889-11-01,21.43
1889-12-01,22.16
1890-01-01,22.67
1890-02-01,23.23
1890-03-01,23.77
1890-04-01,24.02
1890-05-01,24.24
1890-06-01,23.92
1890-07-01,22.94
1890-08-01,22.65
1890-09-01,23.49
1890-10-01,23.85
1890-11-01,24.07
1890-12-01,23.07
1891-01-01,19.95
1891-02-01,17.37
1891-03-01,15.09
1891-04-01,13.92
1891-05-01,16.24
1891-06-01,20.53
1891-07-01,23.04
1891-08-01,23.55
1891-09-01,24.56
1891-10-01,25.93
1891-11-01,26.49
1891-12-01,26.28
1892-01-01,25.81
1892-02-01,25.86
1892-03-01,25.55
1892-04-01,24.47
1892-05-01,23.42
1892-06-01,22.93
1892-07-01,22.07
1892-08-01,20.99
1892-09-01,21.2
1892-10-01,22.62
1892-11-01,23.84
1892-12-01,23.95
1893-01-01,23.54
1893-02-01,23.76
1893-03-01,24.33
1893-04-01,24.7
1893-05-01,24.45
1893-06-01,22.57
1893-07-01,17.95
1893-08-01,13.01
1893-09-01,10.65
1893-10-01,10.49
1893-11-01,12.45
1893-12-01,13.99
1894-01-01,14.16
1894-02-01,15.1
1894-03-01,17.2
1894-04-01,17.21
1894-05-01,12.44
1894-06-01,10.61
1894-07-01,14.43
1894-08-01,19.11
1894-09-01,21.56
1894-10-01,22.36
1894-11-01,23.5
1894-12-01,23.7
1895-01-01,23.09
1895-02-01,22.14
1895-03-01,21.62
1895-04-01,21.45
1895-05-01,21.35
1895-06-01,22.44
1895-07-01,24.31
1895-08-01,26.47
1895-09-01,28.35
1895-10-01,30.12
1895-11-01,31.21
1895-12-01,30.37
1896-01-01,28.81
1896-02-01,27.33
1896-03-01,26.43
1896-04-01,26.3
1896-05-01,25.76
1896-06-01,24.89
1896-07-01,22.96
1896-08-01,19.33
1896-09-01,16.13
1896-10-01,15.85
1896-11-01,18.14
1896-12-01,20.73
1897-01-01,22.36
1897-02-01,23.24
1897-03-01,24.07
1897-04-01,24.3
1897-05-01,24.12
1897-06-01,23.71
1897-07-01,23.4
1897-08-01,24.78
1897-09-01,27.18
1897-10-01,29.22
1897-11-01,30.8
1897-12-01,31.59
1898-01-01,31.65
1898-02-01,31.96
1898-03-01,32.16
1898-04-01,32
1898-05-01,31.39
1898-06-01,30.53
1898-07-01,29.65
1898-08-01,29.55
1898-09-01,30.37
1898-10-01,31.58
1898-11-01,32.9
1898-12-01,33.61
1899-01-01,33.59
1899-02-01,32.47
1899-03-01,32.96
1899-04-01,34.4
1899-05-01,34.92
1899-06-01,35.78
1899-07-01,36.71
1899-08-01,37.16
1899-09-01,38.11
1899-10-01,39.64
1899-11-01,40.96
1899-12-01,41.42
1900-01-01,41.52
1900-02-01,41.51
1900-03-01,40.96
1900-04-01,41.05
1900-05-01,41.48
1900-06-01,40.45
1900-07-01,36.55
1900-08-01,32.82
1900-09-01,31.32
1900-10-01,30.22
1900-11-01,30.76
1900-12-01,33.38
1901-01-01,37.43
1901-02-01,40.42
1901-03-01,41.14
1901-04-01,41.75
1901-05-01,43
1901-06-01,43.65
1901-07-01,44.1
1901-08-01,43.42
1901-09-01,43.67
1901-10-01,44.59
1901-11-01,45.4
1901-12-01,40.85
1902-01-01,46.38
1902-02-01,44.92
1902-03-01,46.61
1902-04-01,49.18
1902-05-01,49.77
1902-06-01,48.23
1902-07-01,46.51
1902-08-01,47.36
1902-09-01,47.29
1902-10-01,47.77
1902-11-01,47.76
1902-12-01,49.59
1903-01-01,47.51
1903-02-01,49.67
1903-03-01,51.31
1903-04-01,53.61
1903-05-01,55.28
1903-06-01,55.77
1903-07-01,49.88
1903-08-01,50.68
1903-09-01,51.79
