"Date","CROASTIER3"
2015-06-01,193.804705567247
2015-07-01,174.729115202975
2015-08-01,185.93521066616
2015-09-01,188.756299834247
2015-10-01,198.330192622368
2015-11-01,206.817721113365
2015-12-01,215.42476387346
2016-01-01,234.687870639356
2016-02-01,248.942726695378
2016-03-01,226.631642156919
2016-04-01,192.296384336326
2016-05-01,165.273583338832
2016-06-01,154.319095290754
2016-07-01,125.556062105305
2016-08-01,100.531246135751
2016-09-01,90.4283976157678
2016-10-01,122.766839509307
2016-11-01,144.829365380197
2016-12-01,137.499384294345
2017-01-01,130.794738800194
2017-02-01,121.818497652729
2017-03-01,113.502563936511
2017-04-01,95.9288849992173
2017-05-01,86.0623780516515
2017-06-01,79.1593053182468
2017-07-01,56.3652183185795
2017-08-01,60.0601166171566
2017-09-01,65.8181450627126
2017-10-01,55.5595204380621
2017-11-01,58.5735177995603
2017-12-01,49.9693402518256
2018-01-01,60.6588549141039
2018-02-01,69.9865109297644
2018-03-01,70.4433001885695
2018-04-01,76.621935484353
2018-05-01,73.0700622438978
2018-06-01,72.3066342571008
2018-07-01,78.8599928392597
2018-08-01,72.84967619512
2018-09-01,74.3175116160063
2018-10-01,83.2657650049967
2018-11-01,96.2140454990661
2018-12-01,126.726313256048
2019-01-01,116.656569500706
2019-02-01,111.892985849344
2019-03-01,107.384490544386
2019-04-01,105.546497630047
2019-05-01,95.4032196247085
2019-06-01,102.94757052932
2019-07-01,99.5343360815662
2019-08-01,108.170772330672
2019-09-01,118.522442351062
2019-10-01,122.041577818486
2019-11-01,128.466318118857
2019-12-01,128.142261742006
2020-01-01,118.801414779852
2020-02-01,120.142403214146
2020-03-01,825.776335878414
2020-04-01,916.14469591078
2020-05-01,546.737375427002
2020-06-01,351.553411761358
2020-07-01,317.511156905294
2020-08-01,208.768236415434
2020-09-01,268.620209676909
2020-10-01,248.410360772475
2020-11-01,253.105556898804
2020-12-01,222.142593394318
2021-01-01,189.225614446801
2021-02-01,179.437626421459
2021-03-01,179.461095488988
2021-04-01,149.414401354795
2021-05-01,161.629137894184
2021-06-01,137.266606815027
2021-07-01,147.580306973021
2021-08-01,133.436577969783
2021-09-01,134.291325538962
2021-10-01,112.280372081649
2021-11-01,122.195602963099
2021-12-01,132.026061952839
2022-01-01,113.240894261791
2022-02-01,156.179479641729
2022-03-01,221.720577255663
2022-04-01,193.086384146137
2022-05-01,293.535195715759
2022-06-01,358.696871147044
2022-07-01,309.846857678513
2022-08-01,273.144550877162
2022-09-01,371.87525343172
2022-10-01,383.536346725134
2022-11-01,312.426594791525
2022-12-01,276.669538991637
2023-01-01,250.20299315994
2023-02-01,252.124849142837
2023-03-01,277.857691725238
2023-04-01,250.946987755592
2023-05-01,247.30790641306
2023-06-01,248.458345377705
2023-07-01,210.59697700857
2023-08-01,233.763645623289
2023-09-01,221.971841713632
2023-10-01,223.561271416289
2023-11-01,212.070485738857
