"Date","HQMCB27YR"
1984-01-01,10.25
1984-02-01,11.24
1984-03-01,11.62
1984-04-01,11.81
1984-05-01,12.57
1984-06-01,12.71
1984-07-01,12.64
1984-08-01,12.2
1984-09-01,12.44
1984-10-01,11.18
1984-11-01,11
1984-12-01,11.61
1985-01-01,11.33
1985-02-01,10.68
1985-03-01,10.95
1985-04-01,10.76
1985-05-01,10.63
1985-06-01,10.24
1985-07-01,10.95
1985-08-01,11.14
1985-09-01,11.49
1985-10-01,11.33
1985-11-01,10.88
1985-12-01,10.4
1986-01-01,9.66
1986-02-01,9.7
1986-03-01,8.95
1986-04-01,8.63
1986-05-01,9.24
1986-06-01,9.76
1986-07-01,9.55
1986-08-01,9.63
1986-09-01,9.77
1986-10-01,9.89
1986-11-01,9.68
1986-12-01,9.41
1987-01-01,9.23
1987-02-01,9.21
1987-03-01,9.17
1987-04-01,9.92
1987-05-01,10.55
1987-06-01,10.25
1987-07-01,10.14
1987-08-01,10.27
1987-09-01,10.58
1987-10-01,10.63
1987-11-01,10.05
1987-12-01,10.14
1988-01-01,9.67
1988-02-01,9.4
1988-03-01,9.6
1988-04-01,10.08
1988-05-01,10.45
1988-06-01,10.19
1988-07-01,10.32
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.89
1988-11-01,9.85
1988-12-01,9.82
1989-01-01,9.84
1989-02-01,9.91
1989-03-01,9.94
1989-04-01,9.76
1989-05-01,9.64
1989-06-01,9.24
1989-07-01,9.18
1989-08-01,9.17
1989-09-01,9.18
1989-10-01,9.07
1989-11-01,8.98
1989-12-01,8.95
1990-01-01,9.09
1990-02-01,9.33
1990-03-01,9.48
1990-04-01,9.61
1990-05-01,9.79
1990-06-01,9.61
1990-07-01,9.65
1990-08-01,10.22
1990-09-01,10.42
1990-10-01,10.48
1990-11-01,10.23
1990-12-01,9.93
1991-01-01,9.88
1991-02-01,9.56
1991-03-01,9.8
1991-04-01,9.62
1991-05-01,9.73
1991-06-01,9.93
1991-07-01,9.89
1991-08-01,9.61
1991-09-01,9.48
1991-10-01,9.64
1991-11-01,9.69
1991-12-01,9.6
1992-01-01,9.51
1992-02-01,9.56
1992-03-01,9.54
1992-04-01,9.49
1992-05-01,9.37
1992-06-01,9.31
1992-07-01,9.27
1992-08-01,9.18
1992-09-01,9.2
1992-10-01,9.5
1992-11-01,9.4
1992-12-01,9.05
1993-01-01,8.99
1993-02-01,8.71
1993-03-01,8.43
1993-04-01,8.54
1993-05-01,8.66
1993-06-01,8.51
1993-07-01,8.23
1993-08-01,7.82
1993-09-01,7.65
1993-10-01,7.66
1993-11-01,7.91
1993-12-01,7.86
1994-01-01,7.87
1994-02-01,7.96
1994-03-01,8.27
1994-04-01,8.59
1994-05-01,8.6
1994-06-01,8.66
1994-07-01,8.78
1994-08-01,8.71
1994-09-01,9
1994-10-01,9.13
1994-11-01,9.16
1994-12-01,8.79
1995-01-01,8.8
1995-02-01,8.7
1995-03-01,8.7
1995-04-01,8.68
1995-05-01,8.25
1995-06-01,7.91
1995-07-01,8.1
1995-08-01,8.23
1995-09-01,7.98
1995-10-01,7.72
1995-11-01,7.58
1995-12-01,7.37
1996-01-01,7.36
1996-02-01,7.68
1996-03-01,8.01
1996-04-01,8.15
1996-05-01,8.17
1996-06-01,8.27
1996-07-01,8.21
1996-08-01,8.01
1996-09-01,8.21
1996-10-01,7.98
1996-11-01,7.67
1996-12-01,7.73
