"Date","HQMCB2YRP"
1984-01-01,11.36
1984-02-01,11.4
1984-03-01,11.87
1984-04-01,12.16
1984-05-01,12.83
1984-06-01,13.08
1984-07-01,13.07
1984-08-01,12.7
1984-09-01,12.61
1984-10-01,12.27
1984-11-01,11.75
1984-12-01,11.36
1985-01-01,11.11
1985-02-01,10.91
1985-03-01,11.22
1985-04-01,10.79
1985-05-01,10.21
1985-06-01,9.63
1985-07-01,9.61
1985-08-01,9.72
1985-09-01,9.68
1985-10-01,9.52
1985-11-01,9.21
1985-12-01,8.88
1986-01-01,8.95
1986-02-01,8.66
1986-03-01,8.21
1986-04-01,7.94
1986-05-01,7.99
1986-06-01,8.11
1986-07-01,7.85
1986-08-01,7.64
1986-09-01,7.53
1986-10-01,7.48
1986-11-01,7.34
1986-12-01,7.23
1987-01-01,7.08
1987-02-01,7.1
1987-03-01,7.06
1987-04-01,7.57
1987-05-01,8.13
1987-06-01,8.12
1987-07-01,8.06
1987-08-01,8.3
1987-09-01,8.88
1987-10-01,9.09
1987-11-01,8.44
1987-12-01,8.49
1988-01-01,8.33
1988-02-01,8.03
1988-03-01,8.01
1988-04-01,8.19
1988-05-01,8.37
1988-06-01,8.44
1988-07-01,8.64
1988-08-01,9
1988-09-01,9.04
1988-10-01,8.94
1988-11-01,9.21
1988-12-01,9.61
1989-01-01,9.74
1989-02-01,9.82
1989-03-01,10.25
1989-04-01,10.33
1989-05-01,9.9
1989-06-01,9.3
1989-07-01,8.9
1989-08-01,8.91
1989-09-01,9.09
1989-10-01,8.86
1989-11-01,8.67
1989-12-01,8.68
1990-01-01,8.97
1990-02-01,9.19
1990-03-01,9.22
1990-04-01,9.43
1990-05-01,9.42
1990-06-01,9.14
1990-07-01,9.05
1990-08-01,8.99
1990-09-01,8.98
1990-10-01,8.97
1990-11-01,8.9
1990-12-01,8.63
1991-01-01,8.56
1991-02-01,8.38
1991-03-01,8.39
1991-04-01,8.02
1991-05-01,7.77
1991-06-01,7.83
1991-07-01,7.85
1991-08-01,7.6
1991-09-01,7.95
1991-10-01,7.8
1991-11-01,7.43
1991-12-01,6.9
1992-01-01,6.49
1992-02-01,6.26
1992-03-01,6.52
1992-04-01,6.27
1992-05-01,6.13
1992-06-01,5.88
1992-07-01,5.21
1992-08-01,4.96
1992-09-01,4.7
1992-10-01,4.86
1992-11-01,5.32
1992-12-01,5.41
1993-01-01,5.21
1993-02-01,4.88
1993-03-01,4.64
1993-04-01,4.53
1993-05-01,4.63
1993-06-01,4.75
1993-07-01,4.67
1993-08-01,4.64
1993-09-01,4.5
1993-10-01,4.49
1993-11-01,4.71
1993-12-01,4.69
1994-01-01,4.53
1994-02-01,4.86
1994-03-01,5.39
1994-04-01,5.98
1994-05-01,6.4
1994-06-01,6.39
1994-07-01,6.57
1994-08-01,6.62
1994-09-01,6.8
1994-10-01,7.14
1994-11-01,7.58
1994-12-01,8.06
1995-01-01,8.02
1995-02-01,7.6
1995-03-01,7.21
1995-04-01,6.96
1995-05-01,6.59
1995-06-01,6.16
1995-07-01,6.2
1995-08-01,6.38
1995-09-01,6.21
1995-10-01,6.1
1995-11-01,5.9
1995-12-01,5.74
1996-01-01,5.52
1996-02-01,5.41
1996-03-01,6
1996-04-01,6.27
1996-05-01,6.41
1996-06-01,6.62
1996-07-01,6.59
1996-08-01,6.37
1996-09-01,6.57
1996-10-01,6.22
1996-11-01,6.02
1996-12-01,6.1
1997-01-01,6.31
1997-02-01,6.19
1997-03-01,6.48
1997-04-01,6.7
1997-05-01,6.55
1997-06-01,6.38
1997-07-01,6.16
1997-08-01,6.21
1997-09-01,6.16
1997-10-01,6.06
1997-11-01,6.09
1997-12-01,6.1
1998-01-01,5.76
1998-02-01,5.85
1998-03-01,5.97
1998-04-01,5.97
1998-05-01,5.98
1998-06-01,5.92
1998-07-01,5.91
1998-08-01,5.79
1998-09-01,5.42
1998-10-01,5.11
1998-11-01,5.5
1998-12-01,5.41
1999-01-01,5.46
1999-02-01,5.64
1999-03-01,5.75
1999-04-01,5.61
1999-05-01,5.9
1999-06-01,6.3
1999-07-01,6.24
1999-08-01,6.46
1999-09-01,6.46
