"Date","TERMAFCNCNSA"
1971-06-01,12.13
1971-07-01,12.1
1971-08-01,12.11
1971-09-01,12.1
1971-10-01,12.06
1971-11-01,12.06
1971-12-01,12.11
1972-01-01,12.07
1972-02-01,11.99
1972-03-01,11.92
1972-04-01,11.87
1972-05-01,11.86
1972-06-01,11.85
1972-07-01,11.84
1972-08-01,11.85
1972-09-01,11.88
1972-10-01,11.86
1972-11-01,11.89
1972-12-01,11.92
1973-01-01,11.89
1973-02-01,11.86
1973-03-01,11.85
1973-04-01,11.88
1973-05-01,11.91
1973-06-01,11.94
1973-07-01,12.02
1973-08-01,12.13
1973-09-01,12.28
1973-10-01,12.34
1973-11-01,12.4
1973-12-01,12.42
1974-01-01,12.39
1974-02-01,12.33
1974-03-01,12.29
1974-04-01,12.28
1974-05-01,12.36
1974-06-01,12.5
1974-07-01,12.58
1974-08-01,12.67
1974-09-01,12.84
1974-10-01,12.97
1974-11-01,13.06
1974-12-01,13.1
1975-01-01,13.08
1975-02-01,13.07
1975-03-01,13.07
1975-04-01,13.07
1975-05-01,13.09
1975-06-01,13.12
1975-07-01,13.09
1975-08-01,13.1
1975-09-01,13.18
1975-10-01,13.15
1975-11-01,13.17
1975-12-01,13.19
1976-01-01,13.18
1976-02-01,13.14
1976-03-01,13.13
1976-04-01,13.13
1976-05-01,13.15
1976-06-01,13.17
1976-07-01,13.16
1976-08-01,13.18
1976-09-01,13.21
1976-10-01,13.2
1976-11-01,13.22
1976-12-01,13.21
1977-01-01,13.17
1977-02-01,13.16
1977-03-01,13.15
1977-04-01,13.14
1977-05-01,13.11
1977-06-01,13.1
1977-07-01,13.1
1977-08-01,13.12
1977-09-01,13.15
1977-10-01,13.14
1977-11-01,13.17
1977-12-01,13.21
1978-01-01,13.19
1978-02-01,13.15
1978-03-01,13.14
1978-04-01,13.14
1978-05-01,13.14
1978-06-01,13.1
1978-07-01,13.11
1978-08-01,13.11
1978-09-01,13.14
1978-10-01,13.12
1978-11-01,13.16
1978-12-01,13.24
1979-01-01,13.27
1979-02-01,13.3
1979-03-01,13.36
1979-04-01,13.42
1979-05-01,13.4
1979-06-01,13.48
1979-07-01,13.38
1979-08-01,13.39
1979-09-01,13.53
1979-10-01,13.69
1979-11-01,13.82
1979-12-01,14.09
1980-01-01,14.07
1980-02-01,14.12
1980-03-01,14.43
1980-04-01,14.94
1980-05-01,15.14
1980-06-01,15.35
1980-07-01,15.09
1980-08-01,14.73
1980-09-01,14.43
1980-10-01,14.94
1980-11-01,15.25
1980-12-01,15.33
1981-01-01,15.19
1981-02-01,15.49
1981-03-01,15.88
1981-04-01,15.92
1981-05-01,16.07
1981-06-01,16.97
1981-07-01,17.22
1981-08-01,15.54
1981-09-01,15.31
1981-10-01,16.34
1981-11-01,16.55
1981-12-01,17.58
1982-01-01,17.69
1982-02-01,17.66
1982-03-01,17.73
1982-04-01,15.38
1982-05-01,14.78
1982-06-01,15.42
1982-07-01,17.83
1982-08-01,17.87
1982-09-01,17.35
1982-10-01,16.66
1982-11-01,12.82
1982-12-01,12.57
1983-01-01,12.25
1983-02-01,12.05
1983-03-01,12.07
1983-04-01,11.9
1983-05-01,11.94
1983-06-01,11.57
1983-07-01,11.84
1983-08-01,12.77
1983-09-01,13.62
1983-10-01,13.54
1983-11-01,13.5
1983-12-01,13.92
1984-01-01,14.18
1984-02-01,14.11
1984-03-01,14.05
1984-04-01,14.06
1984-05-01,14.17
1984-06-01,14.33
1984-07-01,14.68
1984-08-01,15.01
1984-09-01,15.16
1984-10-01,15.18
1984-11-01,15.24
1984-12-01,15.24
1985-01-01,15.11
1985-02-01,13.78
1985-03-01,12.65
1985-04-01,11.92
1985-05-01,11.87
1985-06-01,12.06
