"Date","TERMAFCNCNSA"
1985-07-01,12.46
1985-08-01,10.87
1985-09-01,8.84
1985-10-01,9.97
1985-11-01,11.71
1985-12-01,12.52
1986-01-01,9.99
1986-02-01,9.7
1986-03-01,10.51
1986-04-01,10.55
1986-05-01,9.49
1986-06-01,9.35
1986-07-01,9.31
1986-08-01,9.29
1986-09-01,5.4
1986-10-01,6.12
1986-11-01,11.83
1986-12-01,11.71
1987-01-01,11.65
1987-02-01,10.78
1987-03-01,10.59
1987-04-01,10.81
1987-05-01,10.69
1987-06-01,10.64
1987-07-01,10.52
1987-08-01,9.63
1987-09-01,8.71
1987-10-01,10.31
1987-11-01,12.24
1987-12-01,12.23
1988-01-01,12.19
1988-02-01,12.26
1988-03-01,12.24
1988-04-01,12.29
1988-05-01,12.29
1988-06-01,12.32
1988-07-01,12.44
1988-08-01,12.64
1988-09-01,12.93
1988-10-01,13.1
1988-11-01,13.2
1988-12-01,13.25
1989-01-01,13.27
1989-02-01,13.07
1989-03-01,13.07
1989-04-01,12.1
1989-05-01,11.8
1989-06-01,11.96
1989-07-01,11.94
1989-08-01,12.22
1989-09-01,12.42
1989-10-01,13.04
1989-11-01,13.27
1989-12-01,13.27
1990-01-01,12.64
1990-02-01,12.67
1990-03-01,12.31
1990-04-01,12.21
1990-05-01,12.23
1990-06-01,12.58
1990-07-01,12.68
1990-08-01,12.62
1990-09-01,12.34
1990-10-01,12.57
1990-11-01,12.74
1990-12-01,12.86
1991-01-01,12.99
1991-02-01,13.16
1991-03-01,13.14
1991-04-01,13.14
1991-05-01,12.95
1991-06-01,12.77
1991-07-01,12.55
1991-08-01,12.4
1991-09-01,12.38
1991-10-01,12.23
1991-11-01,10.79
1991-12-01,10.41
1992-01-01,10.04
1992-02-01,10.19
1992-03-01,10.92
1992-04-01,10.84
1992-05-01,10.67
1992-06-01,10.24
1992-07-01,9.94
1992-08-01,8.88
1992-09-01,8.65
1992-10-01,9.51
1992-11-01,9.65
1992-12-01,9.65
1993-01-01,10.21
1993-02-01,10.33
1993-03-01,10.05
1993-04-01,9.74
1993-05-01,9.66
1993-06-01,9.62
1993-07-01,9.52
1993-08-01,9.32
1993-09-01,9.29
1993-10-01,9.31
1993-11-01,9
1993-12-01,8.91
1994-01-01,7.73
1994-02-01,9.01
1994-03-01,9.19
1994-04-01,9.74
1994-05-01,9.91
1994-06-01,9.97
1994-07-01,10.12
1994-08-01,10.24
1994-09-01,9.89
1994-10-01,10.2
1994-11-01,10.32
1994-12-01,10.46
1995-01-01,11.21
1995-02-01,11.66
1995-03-01,11.79
1995-04-01,11.77
1995-05-01,11.49
1995-06-01,11
1995-07-01,10.93
1995-08-01,10.77
1995-09-01,10.72
1995-10-01,10.77
1995-11-01,10.67
1995-12-01,10.51
1996-01-01,9.81
1996-02-01,9.75
1996-03-01,9.7
1996-04-01,9.59
1996-05-01,9.41
1996-06-01,9.55
1996-07-01,9.91
1996-08-01,10.61
1996-09-01,10.58
1996-10-01,10.42
1996-11-01,10.33
1996-12-01,9.25
1997-01-01,7.5
1997-02-01,8.13
1997-03-01,8.78
1997-04-01,8.99
1997-05-01,7.81
1997-06-01,7.38
1997-07-01,6.9
1997-08-01,6.25
1997-09-01,6.5
1997-10-01,7.55
1997-11-01,7.08
1997-12-01,6.06
1998-01-01,6.11
1998-02-01,6.81
1998-03-01,6.92
1998-04-01,6.68
1998-05-01,6.41
1998-06-01,6.27
1998-07-01,6.29
1998-08-01,6.03
1998-09-01,5.66
1998-10-01,5.88
1998-11-01,6.65
1998-12-01,6.56
1999-01-01,6.36
1999-02-01,6.6
1999-03-01,6.49
1999-04-01,6.72
1999-05-01,6.69
1999-06-01,6.52
1999-07-01,6.62
1999-08-01,6.31
1999-09-01,6.43
1999-10-01,7.15
1999-11-01,7.47
1999-12-01,7.5
2000-01-01,7.33
2000-02-01,7.44
2000-03-01,6.92
2000-04-01,6.67
2000-05-01,6.72
2000-06-01,6.82
2000-07-01,6.98
2000-08-01,7.28
2000-09-01,7.1
2000-10-01,5.59
2000-11-01,5.84
2000-12-01,7.54
2001-01-01,7.46
2001-02-01,7.2
2001-03-01,6.88
2001-04-01,6.9
2001-05-01,6.7
2001-06-01,6.44
2001-07-01,6.38
2001-08-01,6.55
2001-09-01,5.59
2001-10-01,2.63
2001-11-01,2.96
2001-12-01,3.49
2002-01-01,4.16
2002-02-01,6.22
2002-03-01,6.12
2002-04-01,5.86
2002-05-01,6.31
2002-06-01,6.43
2002-07-01,3.82
2002-08-01,2.37
2002-09-01,2.29
2002-10-01,2.88
2002-11-01,3.74
2002-12-01,3.8
2003-01-01,3.47
2003-02-01,4.5
2003-03-01,4.35
2003-04-01,2.93
2003-05-01,2.74
2003-06-01,3.29
2003-07-01,3.67
2003-08-01,3.98
2003-09-01,4.12
2003-10-01,4.3
2003-11-01,4.31
2003-12-01,4.04
2004-01-01,3.69
2004-02-01,3.46
2004-03-01,4.04
2004-04-01,4.31
2004-05-01,4.21
2004-06-01,4.99
2004-07-01,5.91
2004-08-01,6.15
2004-09-01,6.04
2004-10-01,4.79
2004-11-01,5.95
2004-12-01,5.46
2005-01-01,5.75
2005-02-01,5.15
2005-03-01,4.96
2005-04-01,5.28
2005-05-01,5.73
2005-06-01,5.75
2005-07-01,5.88
2005-08-01,6.3
2005-09-01,6.74
2005-10-01,6.75
2005-11-01,7.34
2005-12-01,6.64
2006-01-01,6.62
2006-02-01,6.32
2006-03-01,5.32
2006-04-01,5.68
2006-05-01,6.18
2006-06-01,5.02
2006-07-01,2.1
2006-08-01,4
2006-09-01,3
2006-10-01,4.73
2006-11-01,5.14
2006-12-01,5.81
2007-01-01,6.24
2007-02-01,4.49
2007-03-01,4.22
2007-04-01,4.88
2007-05-01,5.18
2007-06-01,5.19
2007-07-01,5.06
2007-08-01,4.65
2007-09-01,4.83
2007-10-01,4.6
2007-11-01,4.72
2007-12-01,4.33
2008-01-01,4.97
2008-02-01,5.37
2008-03-01,4.19
2008-04-01,4.54
2008-05-01,5.82
2008-06-01,5.49
2008-07-01,3.28
2008-08-01,5.11
2008-09-01,6.24
2008-10-01,6.41
2008-11-01,6.43
2008-12-01,8.42
2009-01-01,8.23
2009-02-01,3.17
2009-03-01,2.72
2009-04-01,3
2009-05-01,3.47
2009-06-01,3.88
2009-07-01,3.43
2009-08-01,4.06
2009-09-01,3.5
2009-10-01,3.42
2009-11-01,3.73
2009-12-01,3.26
2010-01-01,3.94
2010-02-01,4.72
2010-03-01,4.28
2010-04-01,4.13
2010-05-01,4.13
2010-06-01,4.02
2010-07-01,3.87
2010-08-01,4.01
2010-09-01,4.35
2010-10-01,4.52
2010-11-01,4.63
2010-12-01,4.55
2011-01-01,4.73
