"Date","TP10L14"
2004-08-01,1.84
2004-09-01,1.78
2004-10-01,1.71
2004-11-01,1.65
2004-12-01,1.62
2005-01-01,1.68
2005-02-01,1.58
2005-03-01,1.74
2005-04-01,1.64
2005-05-01,1.6
2005-06-01,1.63
2005-07-01,1.83
2005-08-01,1.85
2005-09-01,1.64
2005-10-01,1.9
2005-11-01,2.05
2005-12-01,2.12
2006-01-01,1.99
2006-02-01,2.03
2006-03-01,2.17
2006-04-01,2.37
2006-05-01,2.39
2006-06-01,2.49
2006-07-01,2.49
2006-08-01,2.28
2006-09-01,2.33
2006-10-01,2.43
2006-11-01,2.32
2006-12-01,2.26
2007-01-01,2.44
2007-02-01,2.35
2007-03-01,2.12
2007-04-01,2.18
2007-05-01,2.3
2007-06-01,2.66
2007-07-01,2.63
2007-08-01,2.44
2007-09-01,2.21
2007-10-01,2.11
2007-11-01,1.57
2007-12-01,1.54
2008-01-01,1.13
2008-02-01,0.97
2008-03-01,0.59
2008-04-01,0.89
2008-05-01,1.02
2008-06-01,1.17
2008-07-01,1.04
2008-08-01,1.3
2008-09-01,1.61
2008-10-01,2.78
2008-11-01,3.71
2008-12-01,3.34
2009-01-01,2.52
2009-02-01,1.94
2009-03-01,1.8
2009-04-01,1.48
2009-05-01,1.51
2009-06-01,1.48
2009-07-01,1.54
2009-08-01,1.61
2009-09-01,1.27
2009-10-01,1
2009-11-01,0.59
2009-12-01,0.53
2010-01-01,0.45
2010-02-01,0.37
2010-03-01,0.41
2010-04-01,0.39
2010-05-01,0.24
2010-06-01,0.29
2010-07-01,0.29
2010-08-01,0.07
2010-09-01,0.03
2010-10-01,-0.5
2010-11-01,-0.42
2010-12-01,-0.17
2011-01-01,-0.53
2011-02-01,-0.51
2011-03-01,-0.96
2011-04-01,-1.16
2011-05-01,-1.21
2011-06-01,-1.09
2011-07-01,-1.18
2011-08-01,-1.06
2011-09-01,-1.01
2011-10-01,-0.91
2011-11-01,-1.18
2011-12-01,-1.09
2012-01-01,-1.34
2012-02-01,-1.76
2012-03-01,-1.96
2012-04-01,-1.75
2012-05-01,-1.45
2012-06-01,-1
2012-07-01,-1.14
2012-08-01,-1.44
2012-09-01,-1.75
2012-10-01,-1.61
2012-11-01,-1.32
2012-12-01,-1.47
2013-01-01,-1.87
2013-02-01,-2.36
2013-03-01,-2.49
2013-04-01,-1.94
2013-05-01,-1.41
2013-06-01,-1.08
2013-07-01,-1.46
2013-08-01,-1.37
2013-09-01,-1.3
2013-10-01,-1.34
2013-11-01,-1.22
2013-12-01,-1.66
2014-01-01,-2.37
2014-02-01,-3.27
2014-03-01,-3.73
2014-04-01,-4.26
2014-05-01,-4.15
2014-06-01,-3.5
2014-07-01,-2.4
