"Date","CP6M"
1994-03-01,4.08
1994-04-01,4.4
1994-05-01,4.92
1994-06-01,4.86
1994-07-01,5.13
1994-08-01,5.19
1994-09-01,5.32
1994-10-01,5.7
1994-11-01,6.01
1994-12-01,6.62
1995-01-01,6.63
1995-02-01,6.38
1995-03-01,6.3
1995-04-01,6.19
1995-05-01,6.07
1995-06-01,5.79
1995-07-01,5.68
1995-08-01,5.75
1995-09-01,5.66
1995-10-01,5.71
1995-11-01,5.59
1995-12-01,5.43
1996-01-01,5.23
1996-02-01,4.99
1996-03-01,5.26
1996-04-01,5.38
1996-05-01,5.42
1996-06-01,5.57
1996-07-01,5.67
1996-08-01,5.51
1996-09-01,5.66
1996-10-01,5.45
1996-11-01,5.4
1996-12-01,5.44
1997-01-01,5.48
1997-02-01,5.42
1997-03-01,5.61
1997-04-01,5.79
1997-05-01,5.78
1997-06-01,5.69
1997-07-01,5.6
1997-08-01,5.59
